Block,Time,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31052040/LT-31,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/30092023/26122029/SH-06,NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/30042040/GNA_LT_36,NR/25062024/25062024/IEX_240624_01295,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01102023/19072037/LT-05,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/IEPL01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/30062024/R2,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/06022042/L_NR_2012_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_35,NR/25062024/25062024/IEX_240624_01292,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/30092023/31122025/SH-07,NR/01062024/30062024/JPL-BRPL(PTC)GNA
1,00:00-00:15,0,0,0,0,0,0.000000,24.120000,30.870000,0.000000,100.500000,7.750000,261.920000,15.610000,21.750000,38.590000,24.120000,0.000000,19.780000,0.000000,31.290000,0.000000,115.720000,24.120000,67.530000,38.590000,272.770000,18.34,52.67,25.750000,24.120000,0,52.67,22.5,0,15.010000,24.120000,10.320000,10.360000,22.5,0,0,35.42,87.020000,0,0.000000,0.000000,67.5,0,0,30.870000,48.240000

2,00:15-00:30,0,0,0,0,0,0.000000,24.120000,30.870000,0.000000,100.500000,7.750000,261.920000,15.610000,21.750000,38.590000,24.120000,0.000000,19.780000,0.000000,31.290000,0.000000,115.720000,24.120000,67.530000,38.590000,272.770000,19,53.33,25.750000,24.120000,0,53.33,22.84,0,15.010000,24.120000,10.320000,10.360000,22.83,0,0,35.22,87.020000,0,0.000000,0.000000,68.5,0,0,30.870000,48.240000

3,00:30-00:45,0,0,0,0,0,0.000000,24.120000,30.870000,0.000000,100.500000,7.750000,261.920000,15.610000,21.750000,38.590000,24.120000,0.000000,19.780000,0.000000,29.780000,0.000000,93.030000,24.120000,67.530000,38.590000,272.770000,19,54,25.750000,24.120000,0,54,23.16,0,17.770000,24.120000,10.400000,10.590000,23.17,0,0,35.02,87.020000,0,0.000000,0.000000,69.5,0,0,30.870000,48.240000

4,00:45-01:00,0,0,0,0,0,0.000000,24.120000,30.870000,0.000000,100.500000,7.750000,261.920000,15.610000,21.750000,38.590000,24.120000,0.000000,19.780000,0.000000,29.780000,0.000000,93.030000,24.120000,67.530000,38.590000,272.770000,19.66,48,25.750000,24.120000,0,48,23.5,0,17.770000,24.120000,10.400000,10.590000,23.5,0,0,34.82,87.020000,0,0.000000,0.000000,70.5,0,0,30.870000,48.240000

5,01:00-01:15,0,0,0,0,0,0.000000,24.120000,30.870000,0.000000,100.500000,7.560000,261.920000,15.610000,21.750000,38.590000,24.120000,0.000000,19.780000,0.000000,30.280000,0.000000,93.030000,24.120000,67.530000,38.590000,272.770000,20,48.67,25.750000,24.120000,0,48.67,23.84,0,17.500000,24.120000,10.400000,10.590000,23.83,0,0,39.41,87.020000,0,0.000000,0.000000,71.5,0,0,30.870000,48.240000

