Block,Time,KISHANGANGA,KUDGI,NAPP,RSTPSU1TO6,SALAL,UNCHAHAR3,DADRI_RF,CHAMERA3,DADRT2,KGSU1AND2,KHSTPP-I,MAPS,NLCTS2EXP,RIHAND3,TelanganaSTPP,KKNPPU2,KOLDAM,NJPC,NLCIIST2,RAMPUR,RAPPB,SASAN,SEWA2,SIMHST2,URI2,AURY_LF,KHSTPP-II,PARBATI2,PARBATI3,RAPPD,SINGRAULI,TALA,UNCHAHAR1,UNCHAHAR4,AURY_GF,AURY_RF,DADRI_LF,DHAULIGNGA,FSTPP I & II,JHAJJAR,KGSU3AND4,NTPL,RIHAND1,RIHAND2,SINGRAULI_HYDRO,TANDA2,UNCHAHAR2,VALLURNTECL,ANTA_LF,ANTA_RF,AURY_CRF,DADRI_GF,DULHASTI,KOTESHWR,NLCIIST1,SIMHST1,TALST2,DADRI_CRF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,KKNP,TANAKPUR,NLCEXP,NNTPP,RAPPC,RSTPSU7,TEHRI,URI,ANTA_CRF,ANTA_GF
1,00:00-00:15,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,7.19,110.67,0,4.33,0,418.77,18.9,0,38.56,0,148.3,15.02,16.88,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,19.56,42.15,48.81,0,0,0,0,68.56,0,12.12,49.13,0,0

2,00:15-00:30,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,7.19,110.67,0,4.33,0,418.77,18.9,0,38.56,0,148.3,15.02,16.88,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,19.56,42.15,48.81,0,0,0,0,68.56,0,12.12,49.13,0,0

3,00:30-00:45,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,38.56,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,6.27,0,0,68.56,0,0,49.13,0,0

4,00:45-01:00,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,38.56,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,6.27,0,0,68.56,0,0,49.13,0,0

5,01:00-01:15,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,36.47,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,6.27,0,0,68.56,0,0,49.13,0,0

6,01:15-01:30,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,36.47,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,6.27,0,0,68.56,0,0,49.13,0,0

7,01:30-01:45,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,36.47,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,6.27,0,0,68.56,0,0,49.13,0,0

8,01:45-02:00,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,36.47,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,6.27,0,0,68.56,0,0,49.13,0,0

9,02:00-02:15,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,36.47,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,0.25,0,0,68.56,0,0,49.13,0,0

10,02:15-02:30,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.57,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,36.47,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,418.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,0.25,0,0,68.56,0,0,49.13,0,0

11,02:30-02:45,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.55,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,36.47,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,428.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,0.25,0,0,68.56,0,0,49.13,0,0

12,02:45-03:00,8.63,0,25.11,0,79.38,27.68,112.08,35.03,688.55,0,45.53,0,0,130.79,0,0,1.93,110.67,0,4.33,0,418.77,18.9,0,36.47,0,148.3,15.02,19.64,29.51,150.34,0,21.64,2.3,0,85.48,0,10.95,18.2,428.67,0,0,97.23,124.58,1,5.7,44.5,0,0,53.54,0,0,59.5,10.43,0,0,0,0,20,13.04,42.15,48.81,0,0.25,0,0,68.56,0,0,49.13,0,0

