Column1,Block,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,NR/2024/24434/A/48969,NR/2025/24857/C,NR/2025/24855/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/8058,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3514,GNA/WR/2025/01/01/9606,NR/2025/24850/C,GNA/NR/2025/01/15/4189,NR/2024/24418/A/48960,NR/2025/24856/C,NR/2024/24507/A/49228,NR/2024/24508/A/49231,WR/2024/25501/A/49248,NR/2024/24614/A/49232,NR/2024/24435/A/48968,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,NR/2025/24849/C,NR/2025/24840/C,GNA/NR/2025/01/02/1250,GNA/WR/2025/01/01/8625,NR/2024/24573/A/49010,NER/2024/2820/A/49237,Total
,,NDMC,BAWANA_GAS,IEXL,SJVNL,SJVNL,DELHI,NDMC,NDMC,IEXL,MANIKARAN,PUNJAB,IEXL,HPXL,NDMC,HPXL,APPCPL,NVVNL,HPXL,ITCLH,SJVNL,NVVNL,NVVNL,APPCPL,NVVNL,IEXL,IEXL,PXIL,NVVNL,TPDDL,IEXL,TPTCL,IEXL,APPCPL,
,,NA,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,ODISHA_STATE,NA,NA,NA,DELHI_UT,NA,Meghalaya_State,ANDHRA_PRADESH_STATE,UTTARPRADESH_STATE,NA,NA,DELHI_UT,NA,KARNATAKA_STATE,MP_State,NA,NA,NA,NA,DELHI_UT,KARNATAKA_STATE,DELHI_UT,
,,SKS_Raigarh,BAWANA_GAS,TESPL_BKN2,RSRPL_BKN,TPSL_BKN2,CHANJUII,JPL2,RKM_POWER,JPNIGRIE_JNSTPP,BRPL,BAWANA_GAS,NBVLIPP,JPNIGRIE_JNSTPP,RKM_POWER,SKS_Raigarh,BYPL,JIPL,Meghalaya_Ben,ITCWIND,BCMLUH,JIPL,TRN_ENERGY,BRPL,TRN_ENERGY,NSLSUGARALAND,JP_BINA,JPNIGRIE_JNSTPP,TRN_ENERGY,JHAJJAR,SKS_Raigarh,BYPL,NSLSUGAR,BYPL,
,,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,Manipur_State,
,,NDMC,HARYANA,MES_Delhi,NDMC,NDMC,TPDDL,NDMC,NDMC,BRPL,AEML,PUNJAB,BRPL,BRPL,NDMC,BRPL,AEML,NDMC,BRPL,ITCLH,NDMC,NDMC,NDMC,GOA_Beneficiary,NDMC,MES_Delhi,BRPL,BRPL,NDMC,TPDDL,BRPL,TPC_MSEB,MES_Delhi,Manipur_Ben,
,,West-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-West,North-North,East-North,West-North,West-North,West-North,North-West,East-North,North East-East-North,South-West-North,North-North,East-North,West-North,North-West,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,North-West,South-West-North,North-East-North East,
1,00:00-00:15,14.37,0,0,0,0,1.37,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,404.54999999999995

2,00:15-00:30,14.37,0,0,0,0,1.37,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,404.54999999999995

