Column1,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01082024/31082024/SKS-Raigarh,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01082024/30092024/LT_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01102023/06022042/L_NR_2012_02,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/31082024/jitpl,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/APL-Raigarh_august,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,12.67,36.66,34.16,12.67,100.94,0,0,12.48,0,32,5.59,70.6,0,26.243,48.44,57.84,0,0,0,38.76,96.89,206.91,21.32,14.61,273.96,24.77,29.26,24.22,96.89,0,40.41,0,0,34.17,0,0,0,102.5,0,0,0,0,0,0

2,00:15-00:30,14,37,34.16,14,100.94,0,0,12.48,0,32,5.59,70.6,0,26.243,48.44,57.84,0,0,0,38.76,96.89,189.56,21.32,14.61,273.96,24.77,29.26,24.22,96.89,0,39.81,0,0,34.17,0,0,0,102.5,0,0,0,0,0,0

3,00:30-00:45,17,37.34,34.16,17,82.36,0,0,12.48,0,26.9071,5.59,70.6,4.39,26.9071,48.44,57.84,0,0,0,38.76,96.89,172.12,21.32,14.61,273.96,24.77,29.26,24.22,96.89,0,39.81,0,0,34.17,0,0,0,102.5,0,0,0,0,0,0

4,00:45-01:00,66.67,37.66,34.16,66.67,82.36,0,0,12.48,0,26.9071,5.59,70.6,4.39,26.9071,48.44,57.84,0,0,0,38.76,96.89,172.12,21.32,14.61,273.96,24.77,29.26,24.22,96.89,0,39.21,0,0,34.17,0,0,0,102.5,0,0,0,0,0,0

5,01:00-01:15,66.67,38,34.16,66.67,82.36,0,0,12.48,0,26.9071,5.31,70.6,3.84,26.9071,48.44,62.01,0,0,0,38.76,96.89,172.12,21.32,14.61,273.96,24.77,29.26,24.22,96.89,0,39.01,0,0,34.17,0,0,0,102.5,0,0,0,0,0,0

6,01:15-01:30,66.67,38.34,34.16,66.67,82.36,0,0,12.48,0,26.9071,5.31,70.6,3.84,26.9071,48.44,62.01,0,0,0,38.76,96.89,172.12,21.32,14.61,273.96,24.77,29.26,24.22,96.89,0,38.01,0,0,34.17,0,0,0,102.5,0,0,0,0,0,0

