Time,Block,NR/2023/12813/F,NR/2023/14054/D,NR/2023/14049/D,NR/2023/14071/C,NR/2023/11709/A,NR/2023/14050/D,NR/2023/12924/F,NR/2023/10786/A,NR/2023/10959/A,ER/2023/8656/C,NR/2023/12872/F,NR/2023/12169/A,NR/2023/10947/A,NR/2023/12920/F,NR/2023/10436/A,NR/2023/11068/A,NR/2023/12919/F,NR/2023/13369/F,NR/2023/10650/A,NR/2023/12917/F,NR/2023/14052/D,NR/2023/11953/A,NR/2023/12923/F,NR/2023/10651/A,NR/2023/10432/A,NR/2023/14051/D,NR/2023/12814/F,NR/2023/11507/A,NR/2023/12661/A,NR/2023/10720/A,NR/2023/14061/C,NR/2023/14059/C,NR/2023/10956/A,NR/2023/10488/A,NR/2023/11712/A,NR/2023/12922/F,NR/2023/10460/A,NR/2023/14062/C,NR/2023/10705/A,NR/2023/13679/F,NR/2023/12706/A,NR/2023/12915/F,NR/2023/12916/F,NR/2023/11266/A,NR/2023/12921/F,NR/2023/10561/A,NR/2023/10435/A,Total
,,MANIKARAN,GMRETL,NVVNL,TPDDL,MANIKARAN,TS1PL_BKN,SHPPBPL,STATKRAFT,NVVNL,HPXL,ITCLH,APPCPL,APPCPL,SHPPBPL,APPCPL,APPCPL,SHPPBPL,SJVNL,KEIPL,SHPPBPL,TS1PL_BKN,KEIPL,SHPPBPL,KEIPL,TPTCL,KEIPL,MANIKARAN,TPTCL,NVVNL,KEIPL,NVVNL,GBHHPL,NVVNL,TPTCL,MANIKARAN,SHPPBPL,GMRETL,NVVNL,KEIPL,IEXL,HPXL,SHPPBPL,SHPPBPL,TPTCL,SHPPBPL,PTC,NVVNL,Total

,,HIMACHAL PRADESH,GOA,NA,HIMACHAL PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,TAMIL NADU,NA,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,UTTARAKHAND,HIMACHAL PRADESH,WEST BENGAL,KERALA,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,MEGHALAYA,ODISHA,UTTAR PRADESH,HIMACHAL PRADESH,NA,NA,TAMIL NADU,NA,HIMACHAL PRADESH,NA,NA,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,NA,KERALA,JAMMU AND KASHMIR,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,
,,HP,GOA_Beneficiary,SOLAPUR_SOLAR,CHANJUII,TANGEDCO,TS1PL_BKN,SHPPBPL,TANGEDCO,KAMENG,BYPL,ITCWIND,HP,HP,SHPPBPL,Meghalaya_Ben,UTTARAKHAND,SHPPBPL,IPCL_WB,KSEB,SHPPBPL,TS1PL_BKN,Meghalaya_Ben,SHPPBPL,Meghalaya_Ben,NBVLIPP,LAPL-UP,HP,JPL,SKS Raigarh,TANGEDCO,KAMENG,GBHHPL,JPNIGRIE_JNSTPP,APNRL,TANGEDCO,SHPPBPL,Meghalaya_Ben,SORANG_HEP,KSEB,SAPU1234,B_S_ISPAT_MH,SHPPBPL,SHPPBPL,KWHEP,SHPPBPL,JPNIGRIE_JNSTPP,SEIL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,MES (Delhi),TPDDL,BRPL,BRPL,UHL,BYPL,BRPL,VL-CPP 1215,ITCLH,BRPL,BYPL,BMDRC,BYPL,BYPL,AISHER,NDMC,BYPL,BAL234,BYPL,BYPL,MHIL,BYPL,TPDDL,BYPL,BRPL,BRPL,NDMC,BYPL,TPDDL,DIAPL,BRPL,TPDDL,BRPL,JHPL-DL,BYPL,TPDDL,BRPL,MES (Delhi),NDMC,BAL184,BAL224,BRPL,MAX-HPTL,TPDDL,TPDDL,
,,North-North,West-North,West-North,North-North,South-West-North,North-North,North-North,South-West-North,North East-East-North,North-East,South-West-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,East-North,South-West-North,North-North,North-North,North East-East-North,North-North,North East-East-North,East-North,North-North,North-North,West-North,West-North,South-West-North,North East-East-North,North-North,West-North,East-North,South-West-North,North-North,North East-East-North,North-North,South-West-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,South-West-North,
1,00:00-00:15,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.63

2,00:15-00:30,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.63
