Block,Time,SR/01102023/07102043/L_NR_2018_61,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01112023/30112023/HP-09,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,NR/01112023/30112023/HP-10,NR/01102023/15082037/GNA_NR_2012_01,NR/01112023/01112023/HPX-TAMCTG-311023-05130,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19
1,00:00-00:15,7.21,145.02,76.850000,2.750000,26.090000,2.250000,67.680000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,237.830000,2.160000,27.070000,74.130000,7,7.34,17.18,0,0,7.33,0,0,0,0,0,22,17.18,0,0,0,0,0,0,0

2,00:15-00:30,7.21,145.02,76.850000,2.750000,26.090000,2.250000,67.680000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,237.830000,2.160000,27.070000,74.130000,7,7.34,16.69,0,0,7.33,0,0,0,0,0,22,16.69,0,0,0,0,0,0,0

3,00:30-00:45,7.21,145.02,76.850000,2.750000,26.090000,2.250000,67.680000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,237.830000,2.160000,27.070000,74.130000,7,7.34,16.26,0,0,7.33,0,0,0,0,0,22,16.26,0,0,0,0,0,0,0

4,00:45-01:00,7.21,145.02,76.850000,2.750000,26.090000,2.250000,67.680000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,237.830000,2.160000,27.070000,74.130000,7,7.34,14,0,0,7.33,0,0,0,0,0,22,14,0,0,0,0,0,0,0

5,01:00-01:15,7.21,145.02,76.850000,2.750000,26.090000,2.250000,71.930000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,237.830000,2.160000,27.070000,59.120000,7,7.34,14,0,0,7.33,0,0,0,0,0,22,14,0,0,0,0,0,0,0

6,01:15-01:30,7.21,145.02,76.850000,2.750000,26.090000,2.250000,71.930000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,227.560000,2.160000,27.070000,59.120000,7,7.34,14,0,0,7.33,0,0,0,0,0,22,14,0,0,0,0,0,0,0

7,01:30-01:45,7.21,145.02,76.850000,2.750000,26.090000,2.250000,71.930000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,227.560000,2.160000,27.070000,59.120000,7,7.34,14,0,0,7.33,0,0,0,0,0,22,14,0,0,0,0,0,0,0

8,01:45-02:00,7.21,145.02,76.850000,2.750000,26.090000,2.250000,71.930000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,227.560000,2.160000,27.070000,59.120000,7,7.34,14,0,0,7.33,0,0,0,0,0,22,14,0,0,0,0,0,0,0

9,02:00-02:15,7.21,145.02,76.850000,2.750000,26.090000,2.250000,71.930000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,227.560000,2.160000,27.070000,59.120000,5,7.34,14,0,0,7.33,0,0,0,0,0,22,14,0,0,0,0,0,0,0

10,02:15-02:30,6.01,145.02,76.850000,2.750000,26.090000,2.250000,71.930000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,227.560000,2.160000,27.070000,59.120000,5,7.34,11.67,0,0,7.33,0,0,0,0,0,22,11.67,0,0,0,0,0,0,0

11,02:30-02:45,6.01,145.02,76.850000,2.750000,26.090000,2.250000,71.930000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,208.220000,2.160000,27.070000,59.120000,5,7.34,11.67,0,0,7.33,0,0,0,0,0,22,11.67,0,0,0,0,0,0,0

12,02:45-03:00,6.01,145.02,76.850000,2.750000,26.090000,2.250000,71.930000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,208.220000,2.160000,27.070000,59.120000,5,5,11.67,0,0,5,0,0,0,0,0,15,11.67,0,0,0,0,0,0,0

13,03:00-03:15,6.01,145.02,76.850000,2.750000,26.090000,2.250000,71.930000,0.000000,210.760000,49.320000,101.260000,0.000000,0.000000,0.000000,0.000000,26.090000,208.220000,2.080000,26.100000,59.120000,5,5,11.67,0,0,5,0,0,0,0,0,15,11.67,0,0,0,0,0,0,0

