Block,Time,FSTPP I & II,RAPPC,TANDA2,UNCHAHAR3,ANTA_LF,ANTA_RF,DULHASTI,KHSTPP-I,NLCEXP,RAPPB,RIHAND2,URI,VALLURNTECL,ANTA_GF,CHAMERA1,KGSU3AND4,KHSTPP-II,KOTESHWR,PARBATI3,SIMHST2,DADRI_LF,NAPP,RIHAND1,SIMHST1,DADRI_GF,BRBCL,KKNP,KOLDAM,MAPS,NLCIIST1,RAMPUR,RIHAND3,SINGRAULI_HYDRO,TelanganaSTPP,URI2,AURY_LF,BSIUL,CHAMERA2,DADRT2,DHAULIGNGA,KGSU1AND2,NJPC,SEWA2,SINGRAULI,TALA,TALST2,UNCHAHAR2,AURY_CRF,DADRI_CRF,DADRI_RF,JHAJJAR,KUDGI,NNTPP,NTPL,RSTPSU7,SALAL,SASAN,TEHRI,UNCHAHAR4,AURY_GF,CHAMERA3,KISHANGANGA,KKNPPU2,NLCIIST2,NLCTS2EXP,RSTPSU1TO6,TANAKPUR,UNCHAHAR1,ANTA_CRF,AURY_RF
1,00:00-00:15,18.2,25.38,0,26.4,0,28.46,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,24.21,0,6.52,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,12.78,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

2,00:15-00:30,18.2,25.38,0,26.4,0,28.46,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,24.21,0,13.04,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,12.78,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

3,00:30-00:45,18.2,25.38,0,26.4,0,28.46,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,33.23,0,13.04,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,13.95,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

4,00:45-01:00,18.2,25.38,0,26.4,0,28.46,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,33.23,0,13.04,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,70.88,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

5,01:00-01:15,18.2,25.38,0,26.4,0,28.46,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,33.23,0,13.04,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,70.88,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

6,01:15-01:30,18.2,25.38,0,26.4,0,28.66,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,33.23,0,13.04,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,70.88,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

7,01:30-01:45,18.2,25.38,0,26.4,0,28.66,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,33.23,0,13.04,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,70.88,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

8,01:45-02:00,18.2,25.38,0,26.4,0,28.66,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,33.23,0,13.04,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,13.95,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

9,02:00-02:15,18.2,25.38,0,26.4,0,28.66,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,33.23,0,13.04,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,26.73,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

10,02:15-02:30,18.2,25.38,0,26.4,0,28.66,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,33.23,0,13.04,13.17,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,26.73,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

11,02:30-02:45,18.2,25.38,0,26.4,0,28.66,16.48,45.83,0,0,118.76,34.78,0,0,0,0,148.3,6.41,3.57,0,0,42.72,92,0,0,20,0,0,0,0,0,124.33,0.79,0,24.21,0,13.04,3.34,683.14,0,0,0,10.53,139.69,0,0,42.39,0,0,59.73,561.33,0,0,0,0,26.73,411.75,0,0,0,0,0,0,0,0,0,0,20.85,0,52.67

