Block,Time Block,NLCEXP,NJPC,NAPP,DHAULIGNGA,FSTPP I & II,JHAJJAR,DULHASTI,CHAMERA1,DADRT2,CHAMERA3,CHAMERA2,KUDGI,BRBCL,BSIUL,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,SIMHST1,SALAL,SEWA2,SIMHST2,SASAN,UNCHAHAR2,URI2,VALLURNTECL,UNCHAHAR4,URI,UNCHAHAR3,ANTA_LF,ANTA_CRF,ANTA_GF,AURY_CRF,ANTA_RF,SINGRAULI_HYDRO,SINGRAULI,TelanganaSTPP,TALA,TEHRI,UNCHAHAR1,TANDA2,TALST2,TANAKPUR,MAPS,RSTPSU7,KKNPPU2,KKNP,KHSTPP-II,KGSU1AND2,KISHANGANGA,KGSU3AND4,KHSTPP-I,KOTESHWR,KOLDAM,RIHAND1,RIHAND3,RAMPUR,RAPPC,NLCIIST2,PARBATI3,NLCTS2EXP,RAPPB,RSTPSU1TO6,NNTPP,RIHAND2,NTPL,NLCIIST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,145.17,39.48,38.9,20.13,302.36,52.77,13.6,635.16,31.04,38.98,0,14.52,6.31,0,0,0,0,0,0,0,0,76.82,0,0,405.24,41.1,34.31,0,1.57,16.03,0,0,0,0,0,0,0,101.74,0,10.41,51.44,20.28,1.33,0,10.61,0,0,0,0,95.68,0,0,0,43.47,9.35,3.88,45.8,123.48,3.12,57.86,0,3.81,0,0,0,0,117.78,0,0,0,0,0,0,0

2,00:15-00:30,0,145.17,39.48,38.9,20.13,302.36,52.77,0,586.77,31.04,38.98,0,14.52,6.31,0,0,0,0,0,0,0,0,76.82,0,0,405.24,41.1,34.31,0,1.57,16.03,0,0,0,0,0,0,0,101.76,0,10.41,51.44,20.28,1.33,0,10.61,0,0,0,0,95.68,0,0,0,43.47,9.35,3.88,45.8,123.48,3.12,57.86,0,3.81,0,0,0,0,117.78,0,0,0,0,0,0,0

3,00:30-00:45,0,145.17,39.48,38.9,20.13,302.36,52.77,0,586.77,31.04,38.98,0,14.52,6.31,0,0,0,0,0,0,0,0,76.82,0,0,405.24,41.1,34.31,0,1.57,49.15,0,0,0,0,0,0,0,101.76,0,10.41,51.44,20.28,1.33,0,10.61,0,0,0,0,95.68,0,0,0,43.47,9.35,3.88,45.8,123.48,3.12,57.86,0,3.81,0,0,0,0,117.78,0,0,0,0,0,0,0

4,00:45-01:00,0,145.17,39.48,38.9,20.13,302.36,52.77,0,586.85,31.04,38.98,0,14.24,6.31,0,0,0,0,0,0,0,0,76.82,0,0,405.24,41.1,34.31,0,1.57,49.15,0,0,0,0,0,0,0,101.76,0,10.53,34.3,20.28,1.33,0,10.61,0,0,0,0,95.68,0,0,0,43.47,9.35,3.88,45.8,123.48,3.12,57.86,0,3.81,0,0,0,0,117.78,0,0,0,0,0,0,0

5,01:00-01:15,0,145.17,39.48,38.9,20.13,242.31,52.77,0,582.79,31.04,38.98,0,13.7,6.31,0,0,0,0,0,0,0,0,76.82,0,0,405.24,41.1,34.31,0,1.57,12.82,0,0,0,0,0,0,0,101.76,0,10.59,34.3,17.53,1.33,0,10.61,0,0,0,0,95.68,0,0,0,43.47,9.35,3.88,45.8,123.48,3.12,57.86,0,3.81,0,0,0,0,117.78,0,0,0,0,0,0,0

