Block,Time,DULHASTI,KISHANGANGA,NLCIIST1,RAPPD,RIHAND1,SIMHST1,TALST2,VALLURNTECL,ANTA_GF,CHAMERA2,DHAULIGNGA,KKNP,KKNPPU2,KOLDAM,PARBATI3,RSTPSU1TO6,SIMHST2,TEHRI,UNCHAHAR1,CHAMERA1,JHAJJAR,NLCIIST2,NNTPP,SINGRAULI,TANAKPUR,URI,DADRI_GF,BSIUL,DADRT2,KHSTPP-II,SALAL,SASAN,TALA,UNCHAHAR4,ANTA_LF,ANTA_RF,CHAMERA3,KGSU3AND4,KHSTPP-I,NJPC,NLCTS2EXP,RAPPB,TelanganaSTPP,URI2,ANTA_CRF,DADRI_LF,KGSU1AND2,NAPP,PARBATI2,RIHAND2,RSTPSU7,SEWA2,SINGRAULI_HYDRO,AURY_GF,DADRI_RF,FSTPP I & II,KUDGI,NLCEXP,NTPL,TANDA2,UNCHAHAR2,AURY_RF,DADRI_CRF,BRBCL,KOTESHWR,MAPS,RAMPUR,RAPPC,RIHAND3,TEHRIPSP,UNCHAHAR3,AURY_CRF,AURY_LF
1,00:00-00:15,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,52.36,0,19.56,689.38,98.87,84.83,418.77,20.02,1.62,0,52.09,33.94,0,45.53,175.79,0,0,0,37.42,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

2,00:15-00:30,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,52.36,0,19.56,689.38,98.87,84.83,418.77,20.02,3.22,0,52.09,33.94,0,45.53,175.79,0,0,0,37.42,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

3,00:30-00:45,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,30.91,0,19.56,689.38,98.87,84.83,418.77,19.85,3.22,0,52.09,33.94,0,45.53,175.79,0,0,0,37.42,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

4,00:45-01:00,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,30.91,0,19.56,689.38,98.87,84.83,418.77,19.85,3.22,0,52.09,33.94,0,45.53,175.79,0,0,0,37.42,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

5,01:00-01:15,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,35.33,0,13.04,689.38,98.87,84.83,418.77,25.43,3.22,0,52.34,33.94,0,45.53,175.79,0,0,0,24.94,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

6,01:15-01:30,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,35.33,0,13.04,689.38,98.87,84.83,418.77,25.43,3.22,0,52.34,33.94,0,45.53,175.79,0,0,0,24.94,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

7,01:30-01:45,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,35.33,0,13.04,689.38,98.87,84.83,418.77,25.66,3.22,0,52.34,33.94,0,45.53,175.79,0,0,0,37.42,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

8,01:45-02:00,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,35.33,0,13.04,689.38,98.87,84.83,418.77,25.66,3.22,0,52.34,33.94,0,45.53,175.79,0,0,0,37.42,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

9,02:00-02:15,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,35.33,0,13.04,689.38,98.87,84.83,418.77,25.87,3.22,0,52.59,33.94,0,45.53,175.79,0,0,0,24.94,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

10,02:15-02:30,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,35.33,0,13.04,689.38,98.87,84.83,418.77,25.87,3.22,0,52.59,33.94,0,45.53,175.79,0,0,0,24.94,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

11,02:30-02:45,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,30.91,0,13.04,689.38,98.87,84.83,418.77,25.87,3.22,0,52.59,33.94,0,45.53,175.79,0,0,0,24.94,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

12,02:45-03:00,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,13.06,30.91,0,13.04,689.38,98.87,84.83,418.77,25.87,3.22,0,52.59,33.94,0,45.53,175.79,0,0,0,24.94,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

13,03:00-03:15,53.88,4.64,0,24.52,48.09,0,0,0,0,47.12,42.46,0,0,8.62,56.49,0,0,75.56,21.65,42.15,667.25,0,0,113.75,11.91,26.49,0,13.04,689.38,98.87,82.5,418.77,25.87,3.22,0,52.59,33.94,0,45.53,175.79,0,0,0,24.94,0,0,0,24.62,49.26,125.27,0,18.34,0,0,106.04,19.11,0,0,0,5.73,45,81.3,0,24.99,40.57,0,5.67,65.59,130.84,0,27.69,0,0

