Block,Time,CHAMERA2,CHAMERA3,KGSU3AND4,SALAL,SIMHST2,UNCHAHAR3,URI,AURY_CRF,BSIUL,KHSTPP-I,KISHANGANGA,MAPS,NLCEXP,NLCIIST2,NNTPP,NTPL,TALA,URI2,VALLURNTECL,AURY_LF,NJPC,RIHAND2,RSTPSU1TO6,TANDA2,TEHRI,ANTA_RF,DADRI_GF,RAMPUR,RAPPB,RIHAND3,SEWA2,SINGRAULI_HYDRO,TelanganaSTPP,DADRI_LF,CHAMERA1,NLCIIST1,RSTPSU7,ANTA_GF,DADRI_CRF,BRBCL,DULHASTI,FSTPP I & II,KOTESHWR,KUDGI,NLCTS2EXP,RAPPC,SINGRAULI,TALST2,UNCHAHAR1,UNCHAHAR4,ANTA_LF,AURY_GF,AURY_RF,DADRT2,KGSU1AND2,KKNP,KKNPPU2,KOLDAM,NAPP,SASAN,SIMHST1,TANAKPUR,DHAULIGNGA,JHAJJAR,KHSTPP-II,PARBATI3,RIHAND1,UNCHAHAR2,ANTA_CRF,DADRI_RF
1,00:00-00:15,0,0,0,70.88,0,26.4,35.55,0,6.52,45.53,0,0,0,0,0,0,0,31.61,0,0,0,118.76,0,0,0,43.05,0,0,0,60.68,15.81,0,0,0,0,0,0,0,0,20,16.48,18.2,8.87,0,0,26.01,139.69,0,9.71,0,0,0,68.96,683.14,0,0,0,0,20.83,405,0,0,0,434.65,148.3,0,92,42.39,0,59.73

2,00:15-00:30,0,0,0,70.88,0,26.4,35.55,0,6.52,45.53,0,0,0,0,0,0,0,31.61,0,0,0,118.76,0,0,0,43.05,0,0,0,60.68,15.81,0,0,0,0,0,0,0,0,20,16.48,18.2,8.87,0,0,26.01,139.69,0,9.71,0,0,0,68.96,683.14,0,0,0,0,20.83,405,0,0,0,434.65,148.3,0,92,42.39,0,59.73

3,00:30-00:45,0,0,0,70.88,0,26.4,35.55,0,6.52,45.53,0,0,0,0,0,0,0,31.61,0,0,0,118.76,0,0,0,43.05,0,0,0,60.68,15.81,0,0,0,0,0,0,0,0,20,16.48,18.2,8.87,0,0,26.01,139.69,0,9.71,0,0,0,68.96,683.14,0,0,0,0,20.83,405,0,5.76,0,434.65,148.3,0,92,42.39,0,59.73

4,00:45-01:00,0,0,0,70.88,0,26.4,35.55,0,6.52,45.53,0,0,0,0,0,0,0,31.61,0,0,0,118.76,0,0,0,43.05,0,0,0,60.68,15.81,0,0,0,0,0,0,0,0,20,16.48,18.2,8.87,0,0,26.01,139.69,0,9.71,0,0,0,68.96,683.14,0,0,0,0,20.83,405,0,5.76,0,434.65,148.3,0,92,42.39,0,59.73

5,01:00-01:15,0,0,0,70.88,0,26.4,35.55,0,13.04,45.53,0,0,0,0,0,0,0,31.61,0,0,0,118.76,0,0,0,43.05,0,0,0,60.68,15.81,0.75,0,0,0,0,0,0,0,20,0,18.2,8.87,0,0,26.01,139.69,0,9.71,0,0,0,68.96,683.14,0,0,0,0,20.83,405,0,5.76,0,434.65,148.3,0,92,42.39,0,59.73

6,01:15-01:30,0,0,0,70.88,0,26.4,35.55,0,13.04,45.53,0,0,0,0,0,0,0,31.61,0,0,0,118.76,0,0,0,43.26,0,0,0,60.68,15.81,0.75,0,0,0,0,0,0,0,20,0,18.2,8.87,0,0,26.01,139.69,0,9.71,0,0,0,68.96,683.14,0,0,0,0,20.83,405,0,5.76,0,434.65,148.3,0,92,42.39,0,59.73

