Column1,Time,L_NR_2019_19,GNARE/SR/2025/01/13/4532,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,GNA/NR/2025/07/01/3109,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/07/5932,NR/30092023/26122029/SH-06,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,NR/01102023/31052040/LT-31,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/16/5917,NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/8154,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/8139,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/8128,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/2952,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,0,30.21,0,0,0,0,0,0,0,0,0,0,29,11.67,34.99,11,0,0,29,11.67,19.23,130.08,-0,32,163.44,15.24,49.03,0,3.24,43.7,81.72,10.47,134.12,0,115.33,20.74,10.73,17.3,0,6.99,134.84,0,12.64,86.72,8.51,25.74,100.16

2,00:15-00:30,0,30.61,0,0,0,0,0,0,0,0,0,0,29,11.67,34.99,10.67,0,0,29,11.67,19.23,130.08,-0,32,163.44,15.24,49.03,0,3.24,43.7,81.72,10.47,134.12,0,115.33,20.74,10.73,17.3,0,6.99,134.84,0,12.64,86.72,8.51,26.24,100.16

3,00:30-00:45,0,33.01,0,0,0,0,0,0,0,0,0,0,29.33,11.67,34.99,10.33,0,0,29.34,11.67,19.23,130.08,-0,30,163.44,15.24,49.03,0,3.24,43.7,81.72,10.47,134.12,26.17,115.33,20.74,10.73,15,0,8.15,134.84,0,12.64,86.72,8.51,26.24,100.16

4,00:45-01:00,0,33.81,0,0,0,0,0,0,0,0,0,0,29.67,11.5,34.5,10,0,0,29.66,11.5,19.23,130.08,-0,30,163.44,15.24,49.03,0,3.24,43.7,81.72,10.47,134.12,26.17,106.95,20.74,10.73,15,0,8.15,134.84,0,12.64,86.72,8.51,26.24,100.16

5,01:00-01:15,0,35.01,0,0,0,0,0,0,0,0,0,0,30,11.33,34.01,9.67,0,0,30,11.33,19.23,130.08,-0,30,163.44,15.24,49.03,0,3.24,43.7,81.72,10.47,134.12,26.17,115.33,20.74,10.73,15,0,7.92,134.84,0,12.64,86.72,8.51,26.24,100.16

6,01:15-01:30,0,35.21,0,0,0,0,0,0,0,0,0,0,30.33,11.17,33.49,9.33,0,0,30.34,11.17,19.23,130.08,-0,30,163.44,15.24,49.03,0,3.24,43.7,81.72,10.47,134.12,26.17,115.33,20.74,10.73,15,0,7.92,134.84,0,12.64,86.72,8.51,25.74,100.16

7,01:30-01:45,0,39.81,0,0,0,0,0,0,0,0,0,0,30.67,10.83,32.51,9,0,0,30.66,10.83,19.23,130.08,-0,30,163.44,15.24,49.03,0,0,43.7,81.72,10.47,134.12,26.17,95.36,20.74,10.73,15,0,7.92,134.84,0,12.64,86.72,8.51,25.23,100.16

8,01:45-02:00,0,39.81,0,0,0,0,0,0,0,0,0,0,30.67,10.33,31.01,8.33,0,0,30.66,10.33,19.23,130.08,-0,30,163.44,15.24,49.03,0,0,43.7,81.72,10.47,134.12,26.17,74.25,20.74,10.73,15,0,7.92,134.84,0,12.64,86.72,8.51,25.23,100.16

9,02:00-02:15,0,39.82,0,0,0,0,0,0,0,0,0,0,38.33,9.67,28.99,10.67,0,0,38.34,9.67,19.23,100.17,-0,30,163.44,15.24,49.03,0,0,43.7,81.72,10.47,134.12,26.17,70.11,20.74,10.73,17.3,0,7.69,134.84,0,9.77,68.34,6.62,25.23,100.16

