Block,Time Block,KHSTPP-II,KHSTPP-I,KGSU3AND4,NNTPP,PARBATI3,NTPL,KGSU1AND2,JHAJJAR,NLCIIST2,NLCTS2EXP,KKNPPU2,KOLDAM,MAPS,NJPC,KOTESHWR,NAPP,KUDGI,NLCEXP,NLCIIST1,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,BRBCL,TelanganaSTPP,TANDA2,UNCHAHAR1,TANAKPUR,TEHRI,UNCHAHAR3,URI2,UNCHAHAR4,UNCHAHAR2,URI,VALLURNTECL,KKNP,KISHANGANGA,DULHASTI,FSTPP I & II,TALST2,TALA,DHAULIGNGA,DADRT2,SINGRAULI_HYDRO,SINGRAULI,SIMHST2,RAMPUR,RAPPC,RSTPSU1TO6,SIMHST1,RAPPB,RSTPSU7,SEWA2,RIHAND3,SASAN,SALAL,RIHAND2,RIHAND1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,95.68,43.47,0,0,3.4,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,2.56,0,0,3.8,0,0,1.58,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,10.61,51.44,0,34.31,1.57,41.1,15.49,0,0,0,52.77,20.13,0,11.52,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

2,00:15-00:30,95.68,43.47,0,0,3.4,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,20.28,10.61,51.44,0,34.31,1.57,41.1,15.49,0,0,0,52.77,20.13,0,11.52,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

3,00:30-00:45,95.68,43.47,0,0,3.4,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,20.28,10.61,51.44,0,34.31,1.57,41.1,15.49,0,0,0,52.77,20.13,0,11.52,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

4,00:45-01:00,95.68,43.47,0,0,3.4,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,13.95,0,2.71,20.28,10.61,34.3,0,34.31,1.57,41.1,15.49,0,0,0,52.77,20.13,0,11.66,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

5,01:00-01:15,95.68,43.47,0,0,3.4,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,13.94,0,2.71,20.28,10.61,34.3,0,34.31,1.57,41.1,48.71,0,0,0,52.77,20.13,0,11.66,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

6,01:15-01:30,95.68,43.47,0,0,3.4,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,12.14,0,2.71,20.28,10.61,34.3,0,34.31,1.57,41.1,48.71,0,0,0,52.77,20.13,0,11.66,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

7,01:30-01:45,95.68,43.47,0,0,3.4,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,13.18,0,2.71,20.28,10.61,32.49,0,11.44,1.57,41.1,12.82,0,0,0,52.77,20.13,0,11.66,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

8,01:45-02:00,95.68,43.47,0,0,3.4,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,12.55,0,2.71,20.28,10.61,17.15,0,10.02,1.57,41.1,10.68,0,0,0,52.77,20.13,0,11.66,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

9,02:00-02:15,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,12.01,0,2.71,20.28,10.61,17.15,0,10.02,1.57,41.1,10.68,0,0,0,52.77,20.13,0,11.38,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

10,02:15-02:30,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,12.52,0,2.71,20.28,10.61,17.15,0,10.02,1.57,41.1,10.68,0,0,0,52.77,20.13,0,11.38,38.9,663.61,0,86.7,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

11,02:30-02:45,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,12.1,0,2.71,20.28,10.61,17.15,0,10.02,1.57,41.1,16.03,0,0,0,52.77,17.62,0,11.38,38.9,634.47,0,84.42,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

12,02:45-03:00,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.1,0,2.71,20.28,10.61,0,0,10.02,1.57,41.1,16.03,0,0,0,52.77,17.62,0,11.24,38.9,631.57,0,84.42,0,3.02,58,0,0,0,0,0,123.48,405.24,76.82,117.78,45.8,0,0,0,0,0

13,03:00-03:15,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,10.02,1.57,41.1,16.03,0,0,0,52.77,17.62,0,10.94,38.9,643.18,0,84.42,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

14,03:15-03:30,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,10.02,1.57,41.1,16.03,0,0,0,52.77,17.62,0,10.81,38.9,638.36,0,84.42,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

15,03:30-03:45,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,10.02,1.57,41.1,48.71,0,0,0,52.77,17.62,0,10.81,38.9,659.83,0,84.86,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

16,03:45-04:00,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,10.02,1.57,41.1,48.71,0,0,0,52.77,17.62,0,10.67,38.9,659.83,0,84.86,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

17,04:00-04:15,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,10.02,1.57,41.66,12.82,0,0,0,52.77,17.62,0,10.53,38.9,659.83,0,84.86,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

18,04:15-04:30,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,10.02,1.57,41.66,16.03,0,0,0,52.77,17.62,0,10.38,38.9,659.83,0,84.86,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

19,04:30-04:45,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.66,20.29,0,0,0,52.77,17.62,0,10.38,38.9,659.83,0,84.86,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

20,04:45-05:00,95.68,43.47,0,0,2.72,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.1,20.29,0,0,0,52.77,17.62,0,10.38,38.9,659.83,0,84.86,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

21,05:00-05:15,95.68,43.47,0,0,5.44,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,10.02,1.57,41.66,20.29,0,0,0,52.77,17.62,0,10.24,38.9,659.83,0,85.94,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

22,05:15-05:30,95.68,43.47,0,0,5.44,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,10.02,1.57,41.66,20.29,0,0,0,52.77,17.62,0,10.24,38.9,659.83,0,85.94,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

23,05:30-05:45,95.68,43.47,0,0,8.16,0,0,400.44,0,0,0,3.88,0,140.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.66,20.29,0,0,0,52.77,17.62,0,10.1,38.9,659.83,0,85.94,0,3.02,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

24,05:45-06:00,95.68,43.47,0,0,52.36,0,0,400.44,0,0,0,3.88,0,120.15,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.1,20.29,0,0,0,52.77,17.62,0,9.96,38.9,659.55,0,85.94,0,2.58,58,0,0,0,0,0,123.48,405.24,75.34,117.78,45.8,0,0,0,0,0

25,06:00-06:15,95.68,43.47,0,0,52.36,0,0,400.44,0,0,0,3.88,0,120.15,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.1,16.03,0,0,0,52.77,17.62,0,9.68,38.9,659.55,0,85.94,0,2.58,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

26,06:15-06:30,95.68,43.47,0,0,52.36,0,0,400.44,0,0,0,3.88,0,120.15,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.1,16.03,0,0,0,52.77,17.62,0,9.53,38.9,659.55,0,85.94,0,2.58,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

27,06:30-06:45,95.68,43.47,0,0,52.36,0,0,400.44,0,0,0,3.88,0,120.15,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.23,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.1,16.03,0,0,0,52.77,16.68,0,9.39,38.9,659.55,0,95.91,0,2.58,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

28,06:45-07:00,95.68,43.47,0,0,52.36,0,0,400.44,0,0,0,3.88,0,120.15,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.47,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.1,16.03,0,0,0,52.77,15.74,0,9.39,38.9,659.55,0,98,0,2.58,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

29,07:00-07:15,95.68,43.47,0,0,52.36,0,0,400.44,0,0,0,3.88,0,120.15,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.1,16.03,0,0,0,52.77,14.8,0,9.53,38.9,636.43,0,98,0,2.58,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

30,07:15-07:30,95.68,43.47,0,0,6.8,0,0,400.44,0,0,0,3.88,0,120.15,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,20.28,9.43,0,0,14.29,1.57,41.66,18.16,0,0,0,52.77,13.99,0,9.68,38.9,636.43,0,98,0,2.58,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

31,07:30-07:45,95.68,43.47,0,0,3.81,0,0,347.8,0,0,0,3.88,0,120.15,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,18.32,8.92,0,0,17.16,1.57,37.61,49.15,0,0,0,52.77,13.99,0,9.68,38.9,588.04,0,98,0,2.58,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

32,07:45-08:00,95.68,43.47,0,0,3.81,0,0,241.26,0,0,0,3.88,0,145.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,17.53,8.92,0,0,17.16,1.57,35.91,49.15,0,0,0,52.77,13.99,0,9.81,38.9,588.04,0,98,0,3.12,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

33,08:00-08:15,95.68,43.47,0,0,3.81,0,0,132.55,0,0,0,3.88,0,145.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,17.53,8.92,0,0,17.16,1.57,35.91,18.16,0,0,0,52.77,13.99,0,9.81,38.9,588.04,0,98,0,3.12,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

34,08:15-08:30,95.68,43.47,0,0,3.81,0,0,119.69,0,0,0,3.88,0,145.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,17.53,8.92,0,0,17.16,1.57,35.91,15.49,0,0,0,52.77,13.99,0,9.81,38.9,588.04,0,98,0,3.12,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

35,08:30-08:45,95.68,43.47,0,0,3.81,0,0,119.69,0,0,0,3.52,0,145.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,15.44,8.92,0,0,17.16,1.57,31.3,16.56,0,0,0,52.77,13.99,0,10.81,38.9,588.04,0,98,0,3.12,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

36,08:45-09:00,95.68,43.47,0,0,3.81,0,0,119.69,0,0,0,3.52,0,145.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,15.39,8.92,0,0,17.16,1.57,31.3,16.56,0,0,0,52.77,13.99,0,10.81,38.9,588.04,0,98,0,3.12,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

37,09:00-09:15,95.68,43.47,0,0,3.81,0,0,119.69,0,0,0,2.35,0,145.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,15.39,8.92,0,0,17.16,1.57,31.3,16.56,0,0,0,52.77,13.99,0,10.94,29.25,588.04,0,98,0,3.12,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

38,09:15-09:30,95.68,43.47,0,0,3.81,0,0,119.69,0,0,0,2.35,0,145.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,20.68,25.98,14.52,0,2.71,17.53,8.92,0,0,17.16,1.57,35.91,16.56,0,0,0,52.77,13.99,0,10.94,29.25,588.04,0,98,0,3.12,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

39,09:30-09:45,95.68,43.47,0,0,3.81,0,0,119.69,0,0,0,2.35,0,145.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,10.34,25.98,14.52,0,1.99,15.39,8.92,0,0,14.29,1.57,31.3,16.56,0,0,0.14,52.77,13.99,0,11.1,29.25,588.04,0,98,0,3.12,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

40,09:45-10:00,95.68,43.47,0,0,3.81,0,0,119.69,0,0,0,2.35,0,145.17,9.35,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,10.34,13,14.52,0,1.99,15.39,8.92,0,0,14.29,1.57,31.3,18.16,0,0,1.39,52.77,13.99,0,11.1,29.25,588.04,0,98,0,3.12,58,0,0,0,0,0,123.48,405.24,61.86,117.78,45.8,0,0,0,0,0

