Column1,Block,GNA/NR/2024/11/01/1868,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9061,GNA/WR/2024/11/01/4200,NR/2024/23769/A/43516,NR/2024/23809/A/43518,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,NR/2024/23963/A/43554,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/3646,WR/2024/24788/A/43679,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5474,NR/2024/24020/C,NR/2024/23918/A/43517,NR/2024/24019/C,NR/2024/23420/A/43522,Total
,,NDMC,APPCPL,NDMC,NDMC,MANIKARAN,IEXL,IEXL,PUNJAB,BAWANA_GAS,NDMC,NDMC,DIAPL,DELHI,PTC,APPCPL,NDMC,PTC,SJVNL,IEXL,SJVNL,ITCLH,
,,NA,DELHI_UT,NA,NA,DELHI_UT,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,NA,ANDHRA_PRADESH_STATE,
,,SKS_Raigarh,BYPL,RKM_POWER,JPL2,BRPL,NSLSUGAR,NSLSTUNGBHDRA,BAWANA_GAS,BAWANA_GAS,JITPL,TRN_ENERGY,GBHHPL,CHANJUII,BYPL,BRPL,RKM_POWER,BRPL,TPSL_BKN2,TESPL_BKN2,RSRPL_BKN,ITCWIND,
,,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,GOA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,AEML,NDMC,NDMC,AEML,MES_Delhi,MES_Delhi,PUNJAB,HARYANA,NDMC,NDMC,DIAPL,TPDDL,HP,GOA_Beneficiary,NDMC,HP,NDMC,MES_Delhi,NDMC,ITCLH,
,,West-North,North-West,West-North,West-North,North-West,South-West-North,South-West-North,North-North,North-North,East-North,West-North,North-North,North-North,North-North,North-West,West-North,North-North,North-North,North-North,North-North,South-West-North,
1,00:00-00:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

2,00:15-00:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

