Column1,Time,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2025/04/01/4420,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/9334,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/8510,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/4327,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05
1,00:00-00:15,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.28,2.31,4.83,0,4.5,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.2,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,52.5,32,9.62,2.88,9.62,60,22.33,0,23.33,0,60,22.33,0,67.01

2,00:15-00:30,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.78,2.31,4.83,0,4.5,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.2,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,52.5,32,9.62,2.88,9.62,58.34,22.17,0,23.67,0,58.33,22.17,0,66.49

3,00:30-00:45,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.78,2.31,4.83,0,4.5,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.2,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,52.5,32,9.62,2.88,9.62,64,23.33,0,23.67,0,64,23.33,0,70.01

4,00:45-01:00,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.78,2.31,4.83,0,4.5,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.2,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,52.5,32,9.62,2.88,9.62,63,23,0,23.33,0,63,23,0,69

5,01:00-01:15,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.78,2.31,4.75,0,4.5,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.11,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,52.5,32,9.62,2.88,9.62,62,22.67,0,23,0,62,22.67,0,67.99

6,01:15-01:30,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.78,2.31,4.75,0,4.5,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.11,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,52.5,32,9.62,2.88,9.62,61.66,22.17,0,22,0,61.67,22.17,0,66.49

7,01:30-01:45,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.28,2.31,4.75,0,4.5,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.11,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,52.5,32,9.62,2.88,9.62,62,22,0,21,0,62,22,0,66

8,01:45-02:00,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.28,2.31,4.75,0,4.5,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.11,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,52.5,32,9.62,2.88,9.62,66,22.17,0,20.67,0,66,22.17,0,66.49

9,02:00-02:15,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.28,2.31,4.75,0,4.35,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.02,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,32,9.62,2.88,9.62,73.34,22.83,0,23.33,0,73.33,22.83,0,68.51

10,02:15-02:30,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.28,2.31,4.75,0,4.35,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.02,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,32,9.62,2.88,9.62,73.34,23.33,0,23.67,0,73.33,23.33,0,70.01

11,02:30-02:45,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,30.28,2.31,4.75,0,4.35,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.02,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,32,9.62,2.88,9.62,73.34,23.83,0,24,0,73.33,23.83,0,71.51

12,02:45-03:00,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,2.31,4.75,0,4.35,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,4.42,0,86.73,9.02,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,32,9.62,2.88,9.62,73,24.17,0,24,0,73,24.17,0,72.49

13,03:00-03:15,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,1.15,4.67,0,4.35,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,2.4,0,86.73,8.84,48.08,72.11,114.97,100.17,32,0,21.9,3.25,19.23,0,32,9.62,2.88,9.62,73.34,23.5,0,23.67,0,73.33,23.5,0,70.5

14,03:15-03:30,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,1.15,4.67,0,4.35,0,2.88,1.92,8.74,2.88,271.86,260.18,72.11,9.62,2.4,0,86.73,8.84,48.08,72.11,114.97,100.17,32,0,21.9,3.25,19.23,0,32,9.62,2.88,9.62,73.66,24,0,23.67,0,73.67,24,0,72

