Block,Time Block,DHAULIGNGA,FSTPP I & II,BSIUL,CHAMERA3,DULHASTI,DADRT2,CHAMERA2,BRBCL,CHAMERA1,KOLDAM,NAPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,PARBATI3,RIHAND2,NTPL,PARBATI2,RIHAND1,RAPPB,RSTPSU1TO6,RAPPD,RSTPSU7,SASAN,SALAL,RAMPUR,RIHAND3,NLCTS2EXP,RAPPC,NNTPP,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,KKNPPU2,ANTA_RF,ANTA_LF,ANTA_GF,AURY_CRF,UNCHAHAR3,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,ANTA_CRF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TEHRIPSP,URI2,KKNP,KOTESHWR,KUDGI,MAPS,KHSTPP-I,JHAJJAR,KHSTPP-II,KGSU1AND2,KGSU3AND4,KISHANGANGA,TALA,TALST2,TANDA2,TANAKPUR,SINGRAULI_HYDRO,SEWA2,SIMHST2,SIMHST1,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.92,18.76,18.85,32.71,53.38,343.25,45.41,15.82,40.62,8.31,23.23,0,0,169.43,0,53.02,120.74,0,23.74,94.76,0,0,23.45,0,387.32,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,26.02,64.5,0,42.03,51.07,0,20.46,2.07,0,0,36.07,0,19.56,0,0,43.88,339.01,94.01,0,0,3.08,20.68,0,2.94,10.62,0,11.78,0,0,98.11,0,0,0,0,0

2,00:15-00:30,40.92,18.76,18.85,32.71,53.38,265.19,45.41,15.29,40.62,8.31,23.23,0,0,169.43,0,53.02,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,26.02,64.5,0,42.03,51.07,0,20.46,1.71,0,0,36.07,0,19.56,0,0,43.88,283.11,94.01,0,0,3.08,20.68,0,2.94,10.62,0,11.78,0,0,98.11,0,0,0,0,0

3,00:30-00:45,40.92,18.76,18.85,32.71,53.38,217,45.41,14.46,40.62,8.31,23.23,0,0,169.43,0,54.45,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,26.02,64.5,0,42.03,51.07,0,20.46,1.71,0,0,30.04,0,19.56,0,0,43.88,283.11,94.01,0,0,3.08,20.68,0,2.94,10.62,0,11.78,0,0,98.11,0,0,0,0,0

4,00:45-01:00,40.92,18.76,18.85,32.71,53.38,188.09,45.41,14.46,40.62,8.31,23.23,0,0,169.43,0,54.45,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,26.02,64.5,0,42.03,46.81,0,20.46,1.71,0,0,30.04,0,19.56,0,0,43.88,283.11,94.01,0,0,3.08,20.68,0,2.94,10.62,0,11.78,0,0,98.11,0,0,0,0,0

5,01:00-01:15,40.92,16.89,18.85,32.71,53.38,106.66,45.41,14.46,40.62,8.31,23.23,0,0,169.43,0,54.45,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39,64.5,0,35.81,46.81,0,14.44,1.71,0,0,36.07,0,19.56,0,0,43.88,245.84,94.01,0,0,3.08,20.68,0,2.94,10.62,0,11.78,0,0,98.11,0,0,0,0,0

6,01:15-01:30,40.92,16.89,18.85,32.71,53.38,8.15,45.41,14.46,40.62,8.31,23.23,0,0,169.43,0,54.45,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39,64.5,0,36.26,46.81,0,14.44,1.71,0,0,36.07,0,19.56,0,0,43.88,245.84,94.01,0,0,3.08,20.68,0,2.94,10.62,0,11.78,0,0,98.11,0,0,0,0,0

7,01:30-01:45,40.92,16.89,18.85,32.71,53.38,8.15,45.41,14.46,40.62,8.31,23.23,0,0,169.43,0,53.02,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,18.84,64.5,0,30.67,46.81,0,14.44,1.71,0,0,30.04,0,19.56,0,0,43.88,245.84,94.01,0,0,3.08,20.73,0,2.94,10.62,0,11.78,0,0,98.11,0,0,0,0,0

8,01:45-02:00,40.92,16.89,18.85,32.71,53.38,8.15,45.41,14.46,40.62,8.31,23.23,0,0,169.43,0,53.02,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,18.84,64.5,0,30.67,46.81,0,14.44,1.71,0,0,30.04,0,19.56,0,0,43.88,245.84,94.01,0,0,3.08,20.73,0,2.94,10.62,0,11.78,0,0,98.11,0,0,0,0,0

9,02:00-02:15,40.92,13.91,18.85,32.71,53.38,34.87,45.41,14.46,40.62,8.31,23.23,0,0,169.43,0,53.02,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33,64.5,0,26.92,46.81,0,11.88,1.46,0,0,36.07,0,19.56,0,0,43.88,238.06,94.01,0,0,3.08,20.73,0,2.52,10.62,0,11.78,0,0,98.11,0,0,0,0,0

10,02:15-02:30,40.92,13.91,18.85,32.71,53.38,4.96,45.41,14.46,40.62,8.31,23.23,0,0,169.43,0,53.02,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51,64.5,0,26.8,46.81,0,11.88,1.46,0,0,36.07,0,19.56,0,0,43.88,238.06,94.01,0,0,3.08,20.73,0,2.52,10.62,0,11.78,0,0,98.11,0,0,0,0,0

11,02:30-02:45,40.92,16.38,18.85,32.71,53.38,4.96,45.41,14.46,40.62,8.31,23.23,0,0,169.43,0,50.15,120.74,0,23.74,94.76,0,0,23.45,0,390.34,76.15,5.49,126.1,0,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51,64.5,0,36.4,46.81,0,17.69,1.46,0,0,30.04,0,19.56,0,0,43.88,238.06,94.01,0,0,3.08,20.73,0,2.52,10.62,0,11.78,0,0,98.11,0,0,0,0,0

