Time,Block,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/16072024/31072024/NR/16072024/31072024/717758,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20931/A/27327,NR/2024/21096/A/27384,NR/2024/21076/A/27411,NR/30092023/31122025/SH-07,NR/2024/21183/A/27415,NR/2024/21572/C,NR/2024/20688/A/27153,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/R2,NR/2024/21568/C,NR/2024/21496/A/27376,NR/2024/21146/A/27168,NR/2024/21108/A/27379,NR/2024/21199/A/27141,NR/2024/21227/A/27380,NR/2024/21153/A/27172,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20966/A/27085,NR/2024/21543/C,NR/2024/21152/A/27084,NR/2024/21150/A/27167,NR/2024/21542/C,NR/2024/21571/C,NR/2024/21558/C,NR/2024/21023/A/27142,NR/2024/21072/A/27397,NR/2024/21087/A/27152,NR/2024/21142/A/27116,NR/16072024/16072024/IEX_240715_01547,NR/2024/21144/A/27138,NR/2024/20711/A/27446,NR/2024/21099/A/27118,NR/2024/21570/C,NR/2024/21103/A/27381,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20573/A/27369,NR/2024/21549/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21156/A/27171,NR/2024/20574/A/27368,NR/2024/21113/A/27395,NR/30092023/26122029/SH-06,NR/2024/21141/A/27117,NR/2024/21210/A/27115,NR/2024/21148/A/27166,NR/2024/21545/C,NR/2024/21500/A/27139,NR/2024/21186/A/27406,NR/2024/21173/A/27150,NR/16072024/16072024/DD20240716NR25607,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21089/A/27396,NR/2024/21160/A/27169,NR/2024/21158/A/27165,NR/2024/21238/A/27417,NR/2024/21555/C,NR/2024/21062/A/27362,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21339/A/27113,NR/2024/21075/A/27416,NR/2024/21485/A/27445,NR/2024/21159/A/27170,NR/2024/21565/C,NR/2024/19779/A/27094,NR/2024/21544/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
,,NDMC,TPDDL,AEL,TPTCL,AEL,APPCPL,MANIKARAN,BAWANA_GAS,MANIKARAN,PXIL,GMRETL,TPTCL,PTC,PXIL,APPCPL,BAL184,APPCPL,INSTINCT,APPCPL,JHPL-DL,APPCPL,INSTINCT,IEXL,NVVNL,IEXL,BAL234,NVVNL,PXIL,HPXL,INSTINCT,NVVNL,GMRETL,TPTCL,IEXL,DTCP,TPDDL,TPTCL,PXIL,APPCPL,MEJA,PTC,HPXL,DELHI,UHL,PTC,NVVNL,PUNJAB,TPTCL,TPTCL,BAL224,NVVNL,DIAPL,NVVNL,GMRETL,PXIL,INSTINCT,NVVNL,BMDRC,MSSH,MANIKARAN,HPXL,PTC,NDMC,TPTCL,MANIKARAN,TPDDL,MHIL,IEXL,ITCLH,NVVNL,SECI_Trader,SECI_Trader,Total

,,NA,HIMACHAL PRADESH,NA,NA,NA,KERALA,MAHARASHTRA,DELHI,MP,ANDHRA PRADESH,RAJASTHAN,NA,NA,NA,KERALA,HIMACHAL PRADESH,MANIPUR,MAHARASHTRA,NAGALAND,HIMACHAL PRADESH,ARUNACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KARNATAKA,MEGHALAYA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,KARNATAKA,UTTARAKHAND,UTTAR PRADESH,HIMACHAL PRADESH,KARNATAKA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MP,ODISHA,KARNATAKA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,NA,NA,NA,GOA,NA,HIMACHAL PRADESH,KARNATAKA,ANDHRA PRADESH,NA,NA,NA,
,,SKS Raigarh,CHANJUII,APL_Raigarh TPP,JITPL,APL_Raigarh TPP,KSEB,AEML,BAWANA_GAS,BLAPOWER_MP,TADASWIND,RUVNL,MPL,SEILP2,SORANG_HEP,KSEB,SHPPBPL,Manipur_Ben,JPL_DHULE,Nagaland_Ben,SHPPBPL,Arunachal_Ben,JPL_DHULE,A_A_Energy_MH_Bio,KAMENG,NHCPL_HP,SHPPBPL,SORANG_HEP,FORTUNE5PROJKAR,Meghalaya_Ben,JPL,RKM_POWER,GBHHPL,HP-GOVT,RKM_POWER,SHPPBPL,JPL-2,ACBIL,TADASWIND_KAR,UTTARAKHAND,MEJA,HP,PCKL,MSEB_Beneficiary,SHPPBPL,HP,JPL-2,BAWANA_GAS,TPC MSEB,SIMHAPURI,SHPPBPL,TRN_ENERGY,GBHHPL,JP BINA,GMRKEL (STU),JSWEL,JPL,RKM_POWER,SHPPBPL,SHPPBPL,MMS STEEL TN,SINGOLI,SEILP2,JITPL,JITPL,GOA_Beneficiary,JHAJJAR,SHPPBPL,PCKL,ITCWIND,SOLAPUR_SOLAR,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,TPDDL,BRPL,BRPL,BRPL,BYPL,BYPL,HARYANA,BRPL,BRPL,BYPL,TPDDL,BRPL,BRPL,BYPL,BAL184,BRPL,BRPL,BYPL,JHPL-DL,BRPL,BRPL,MES (Delhi),TPDDL,MES (Delhi),BAL234,TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,DTCP,TPDDL,BRPL,BRPL,BYPL,DELHI,BRPL,BRPL,TPDDL,UHL,BYPL,NDMC,PUNJAB,BYPL,BRPL,BAL224,NDMC,DIAPL,TPDDL,BRPL,BRPL,BRPL,NDMC,BMDRC,MSSH,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,MHIL,TPDDL,ITCLH,MES (Delhi),BYPL,TPDDL,
,,West-North,North-North,West-North,East-North,West-North,South-West-North,West-North,North-North,West-North,South-West-North,North-North,East-North,South-West-North,North-North,South-West-North,North-North,North East-East-North,West-North,North East-East-North,North-North,North East-East-North,West-North,West-North,North East-East-North,North-North,North-North,North-North,South-West-North,North East-East-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,South-West-North,North-North,North-North,North-North,South-East-North,West-North,North-North,North-North,West-North,North-North,West-North,South-West-North,North-North,West-North,North-North,West-North,East-North,South-West-North,West-North,West-North,North-North,North-North,South-West-North,North-North,South-East-North,East-North,East-North,West-North,North-North,North-North,South-East-West-North,South-West-North,West-North,North-North,North-North,
1,00:00-00:15,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,32.000000,21.130000,36.590000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,12.150000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,49.270000,99.400000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,36.590000,83.730000,0.000000,18.010000,240.100000,0.000000,0.610000,6.000000,37.100000,32.000000,47.500000,48.020000,0.520000,7.200000,7.680000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,144.060000,0.620000,0,0,0,2598.51

2,00:15-00:30,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,32.000000,21.130000,36.980000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,12.150000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,48.980000,99.880000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,36.590000,83.730000,0.000000,18.010000,240.100000,0.000000,0.610000,6.000000,37.100000,32.000000,47.500000,48.020000,0.520000,7.200000,7.680000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,144.060000,0.620000,0,0,0,2599.09
