Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01042024/31072024/LT_MEJA_DELHI,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/16042024/31052024/IEX_240323_06618,SR/01102023/07102043/L_NR_2018_61,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/22052037/LT-59,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/30092023/31122025/SH-07,NR/01042024/30042024/PTC/OA/32001,NR/16042024/30042024/IEX_240323_06617,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/30042040/GNA_LT_36,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/01102023/19072037/LT-05,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/30052048/L_NR_2022_10,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,262.570000,87.230000,16.130000,0,19,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,21.67,0,0,65,3.500000,10.990000,30.950000,48.360000,9.670000,0,0,0.000000,21.66,0,0,253.380000,0,44,0,115.620000,0,44,0.000000,4.000000

2,00:15-00:30,262.570000,87.230000,16.130000,0,19,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,22.5,0,0,67.5,4.200000,10.990000,30.950000,48.360000,9.670000,0,0,0.000000,22.5,0,0,253.380000,0,44.33,0,115.620000,0,44.33,0.000000,4.000000

3,00:30-00:45,262.570000,87.230000,16.130000,0,19.34,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,22.83,0,0,68.5,4.200000,10.990000,30.950000,48.360000,9.670000,0,0,0.000000,22.84,0,0,253.380000,0,44.67,0,115.620000,0,44.67,0.000000,4.150000

4,00:45-01:00,262.570000,87.230000,16.130000,0,19,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,23.5,0,0,70.5,4.200000,10.990000,30.950000,48.360000,9.670000,0,0,0.000000,23.5,0,0,253.380000,0,44.67,0,115.620000,0,44.67,0.000000,4.150000

5,01:00-01:15,262.570000,87.230000,16.130000,0,19.66,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,24.17,0,0,72.5,4.200000,10.890000,30.950000,48.360000,9.670000,0,0,0.000000,24.16,0,0,253.380000,0,45,0,115.620000,0,45,0.000000,4.150000

6,01:15-01:30,262.570000,87.230000,16.130000,0,20,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,24.83,0,0,74.5,4.200000,10.890000,30.950000,48.360000,9.670000,0,0,0.000000,24.84,0,0,253.380000,0,45.33,0,115.620000,0,45.33,0.000000,4.150000

7,01:30-01:45,262.570000,87.230000,16.130000,0,21.34,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,25.33,0,0,76,4.200000,10.890000,30.950000,48.360000,9.670000,0,0,0.000000,25.34,0,0,253.380000,0,49.67,0,115.620000,0,49.67,0.000000,4.150000

8,01:45-02:00,262.570000,87.230000,16.130000,0,22.34,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,26,0,0,78,4.200000,10.890000,30.950000,48.360000,9.670000,0,0,0.000000,26,0,0,253.380000,0,50,0,115.620000,0,50,0.000000,4.150000

9,02:00-02:15,262.570000,87.230000,16.130000,0,18.34,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,26.33,0,0,79,4.120000,10.800000,30.950000,48.360000,9.670000,0,0,0.000000,26.34,0,0,253.380000,0,45.33,0,115.620000,0,45.33,0.000000,4.150000

10,02:15-02:30,262.570000,87.230000,16.130000,0,18,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,26.67,0,0,80,4.120000,10.800000,30.950000,48.360000,9.670000,0,0,0.000000,26.66,0,0,253.380000,0,45.33,0,115.620000,0,45.33,0.000000,4.150000

11,02:30-02:45,262.570000,87.230000,16.130000,0,17.34,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,21.67,0,0,65,4.120000,10.800000,30.950000,48.360000,9.670000,0,0,0.000000,21.66,0,0,253.380000,0,45.67,0,115.620000,0,45.67,0.000000,4.150000

12,02:45-03:00,262.570000,87.230000,16.130000,0,16.66,0,0,0,0.000000,0.000000,0,0,3.580000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,22,0,0,66,4.120000,10.800000,30.950000,48.360000,9.670000,0,0,0.000000,22,0,0,253.380000,0,45.67,0,115.620000,0,45.67,0.000000,4.150000

13,03:00-03:15,262.570000,87.230000,16.130000,0,14.66,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,22.5,0,0,67.5,4.120000,10.710000,30.950000,48.360000,9.670000,0,0,0.000000,22.5,0,0,253.380000,0,45.33,0,115.620000,0,45.33,0.000000,4.080000

14,03:15-03:30,262.570000,87.230000,16.130000,0,14.34,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,22.83,0,0,68.5,4.120000,10.710000,30.950000,48.360000,9.670000,0,0,0.000000,22.84,0,0,253.380000,0,45.33,0,115.620000,0,45.33,0.000000,4.080000

15,03:30-03:45,262.570000,87.230000,16.130000,0,14,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,20.33,0,0,61,4.120000,10.710000,30.950000,48.360000,9.670000,0,0,0.000000,20.34,0,0,253.380000,0,46,0,115.620000,0,46,0.000000,4.080000

16,03:45-04:00,262.570000,87.230000,16.130000,0,14,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,20.67,0,0,62,4.120000,10.710000,30.950000,48.360000,9.670000,0,0,0.000000,20.66,0,0,253.380000,0,46.33,0,115.620000,0,46.33,0.000000,4.080000

17,04:00-04:15,262.570000,87.230000,16.130000,0,14,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,20.67,0,0,62,4.040000,10.710000,30.950000,48.360000,9.670000,0,0,0.000000,20.66,0,0,253.380000,0,50,0,115.620000,0,50,0.000000,4.080000

18,04:15-04:30,262.570000,87.230000,16.130000,0,14,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,20.67,0,0,62,4.040000,10.710000,30.950000,48.360000,9.670000,0,0,0.000000,20.66,0,0,253.380000,0,49.67,0,115.620000,0,49.67,0.000000,4.080000

19,04:30-04:45,262.570000,87.230000,16.130000,0,18,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,22.5,0,0,67.5,4.040000,10.710000,30.950000,48.360000,9.670000,0,0,0.000000,22.5,0,0,253.380000,0,48.67,0,115.620000,0,48.67,0.000000,4.080000

20,04:45-05:00,262.570000,87.230000,16.130000,0,17.66,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,22.67,0,0,68,4.040000,10.710000,30.950000,48.360000,9.670000,0,0,0.000000,22.66,0,0,253.380000,0,48,0,115.620000,0,48,0.000000,4.080000

21,05:00-05:15,262.570000,87.230000,16.130000,0,17.66,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,23,0,0,69,4.040000,10.620000,30.950000,48.360000,9.670000,0,0,0.000000,23,0,0,253.380000,0,46.67,0.02,115.620000,0,46.67,0.000000,4.080000

22,05:15-05:30,262.570000,87.230000,16.130000,0,17.66,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,22.67,0,0,68,4.040000,10.620000,30.950000,48.360000,9.670000,0,0.01,0.000000,22.66,0,0,253.380000,0,45.67,0.07,115.620000,0,45.67,0.000000,4.080000

23,05:30-05:45,262.570000,87.230000,16.130000,0,17.34,0,0,0,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,22,0,0,66,4.040000,10.620000,30.950000,48.360000,9.670000,0,0.03,0.000000,22,0,0,253.380000,0,44,0.15,115.620000,0,44,0.000000,4.080000

24,05:45-06:00,262.570000,87.230000,16.130000,0,16.66,0,0,0.18,0.000000,0.000000,0,0,3.490000,100.750000,30.950000,48.360000,6.01,0.000000,29.260000,21.33,0,1.588761,64,4.040000,10.620000,30.950000,48.360000,9.670000,0,0.05,0.000000,21.34,0,0,253.380000,0,43.33,0.25,115.620000,0,43.33,0.000000,4.080000

25,06:00-06:15,262.570000,87.230000,16.130000,0,15.66,0.1,0,1.66,0.000000,0.000000,0,0,3.390000,100.750000,30.950000,48.360000,6.01,0.000000,28.260000,19.67,3.48,5.048946,59,4.040000,10.520000,30.950000,48.360000,9.670000,0,0.66,0.000000,19.66,4.95,0,253.380000,1,48,3.3,115.620000,0,48,0.000000,4.080000

