Time,Block,NR/2023/17344/F,WR/2023/17681/A,NR/2023/17165/A,WR/2023/19090/A,NR/2023/17865/C,NR/2023/17263/F,NR/2023/17404/F,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17864/C,NR/2023/17496/F,WR/2023/17681/A/II,Total
,,ITCLH,MANIKARAN,NVVNL,TPTCL,NVVNL,APPCPL,MANIKARAN,MANIKARAN,APPCPL,TPDDL,IEXL,MANIKARAN,Total

,,ANDHRA PRADESH,DELHI,NA,DELHI,NA,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,KARNATAKA,DELHI,
,,ITCWIND,BYPL,SKS Raigarh,BYPL,SOLAPUR_SOLAR,BRPL,BRPL,BRPL,BYPL,CHANJUII,NSLSUGAR,BYPL,
,,DELHI,MAHARASHTRA,DELHI,MAHARASHTRA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,MAHARASHTRA,
,,ITCLH,AEML,NDMC,TPC MSEB,MES (Delhi),HP,HP,HP,HP,TPDDL,MES (Delhi),AEML,
,,South-West-North,North-East-West,West-North,North-West,West-North,North-North,North-North,North-North,North-North,North-North,South-East-North,North-West,
1,00:00-00:15,0.580000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.720000,6.780000,100.000000,417.55

2,00:15-00:30,0.580000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.720000,6.780000,100.000000,417.55

3,00:30-00:45,0.580000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.720000,6.780000,100.000000,417.55

4,00:45-01:00,0.580000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.720000,6.780000,100.000000,417.55

5,01:00-01:15,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.720000,6.780000,100.000000,417.5

6,01:15-01:30,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.720000,6.780000,100.000000,417.5

7,01:30-01:45,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.720000,6.780000,100.000000,417.5

8,01:45-02:00,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.720000,6.780000,100.000000,417.5

9,02:00-02:15,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

10,02:15-02:30,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

11,02:30-02:45,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

12,02:45-03:00,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

13,03:00-03:15,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

14,03:15-03:30,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

15,03:30-03:45,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

16,03:45-04:00,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

17,04:00-04:15,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

18,04:15-04:30,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

19,04:30-04:45,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

20,04:45-05:00,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

21,05:00-05:15,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

22,05:15-05:30,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

23,05:30-05:45,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

24,05:45-06:00,0.530000,0.000000,29.050000,0.000000,0,179.140000,20.400000,0.000000,76.880000,4.620000,6.780000,100.000000,417.4

25,06:00-06:15,0.580000,100.000000,29.050000,0.000000,0,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,416.91

26,06:15-06:30,0.580000,100.000000,29.050000,0.000000,0,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,416.91

27,06:30-06:45,0.580000,100.000000,29.050000,0.000000,0,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,416.91

28,06:45-07:00,0.580000,100.000000,29.050000,0.000000,0,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,416.91

29,07:00-07:15,0.680000,100.000000,29.050000,0.000000,0,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,417.01

30,07:15-07:30,0.680000,100.000000,29.050000,0.000000,0,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,417.01

31,07:30-07:45,0.680000,100.000000,29.050000,0.000000,1.39,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,418.4

32,07:45:08:00,0.680000,100.000000,29.050000,0.000000,1.83,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,418.84

33,08:00-08:15,0.970000,100.000000,29.050000,0.000000,2.27,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,419.57

