Block,Time,BRBCL,DHAULIGNGA,KHSTPP-I,RAMPUR,RIHAND2,TALA,TALST2,TANAKPUR,ANTA_GF,ANTA_LF,FSTPP I & II,JHAJJAR,KOLDAM,KOTESHWR,NLCTS2EXP,NTPL,SINGRAULI,UNCHAHAR1,ANTA_CRF,ANTA_RF,AURY_LF,AURY_RF,CHAMERA3,DADRT2,PARBATI3,RIHAND3,TANDA2,UNCHAHAR2,UNCHAHAR4,URI,CHAMERA2,KHSTPP-II,KKNP,NLCIIST2,SEWA2,SIMHST1,SIMHST2,UNCHAHAR3,DULHASTI,KGSU1AND2,KUDGI,NAPP,NJPC,RAPPB,RIHAND1,SALAL,VALLURNTECL,AURY_GF,CHAMERA1,KGSU3AND4,KISHANGANGA,RSTPSU7,URI2,DADRI_RF,BSIUL,KKNPPU2,MAPS,NLCEXP,NNTPP,RAPPC,SASAN,TEHRI,TelanganaSTPP,DADRI_CRF,DADRI_GF,DADRI_LF,NLCIIST1,RSTPSU1TO6,SINGRAULI_HYDRO,AURY_CRF
1,00:00-00:15,15,40.2,44.92,3.22,121.71,10.76,0,10.96,0,0,20.8,312.45,4.01,9.66,0,0,105.16,20.96,0,31.94,0,70.63,32.08,685.77,3.94,127.6,1.42,43.11,1.62,16.56,40.28,98.87,0,0,0,0,0,0,54.53,0,0,40.8,150.02,0,47.33,79.38,0,0,14.05,0,0,0,35.46,98.64,6.52,0,0,0,0,59.79,418.77,53.16,0,0,0,0,0,0,0,0

2,00:15-00:30,15,40.2,44.92,3.22,121.71,10.76,0,10.96,0,0,20.8,312.45,4.01,9.66,0,0,105.16,20.96,0,31.94,0,70.63,32.08,685.77,3.94,127.6,1.42,43.11,1.62,16.56,40.28,98.87,0,0,0,0,0,0,54.53,0,0,40.8,150.02,0,47.33,79.38,0,0,0,0,0,0,35.46,98.64,6.52,0,0,0,0,59.79,418.77,53.16,0,0,0,0,0,0,0,0

3,00:30-00:45,15,40.2,44.92,3.22,121.71,10.76,0,10.96,0,0,20.8,312.45,4.01,9.66,0,0,105.16,20.96,0,31.94,0,70.64,32.08,685.77,3.94,127.6,1.42,43.11,1.62,50.79,40.28,98.87,0,0,0,0,0,0,54.53,0,0,40.8,150.02,0,47.33,79.38,0,0,0,0,0,0,35.46,98.64,6.52,0,0,0,0,59.79,418.77,53.16,0,0,0,0,0,0,0,0

4,00:45-01:00,15,40.2,44.92,3.22,121.71,10.88,0,10.96,0,0,20.8,312.45,4.01,9.66,0,0,105.16,20.96,0,31.94,0,70.64,32.08,686.07,3.94,127.6,1.42,43.11,1.62,50.79,40.28,98.87,0,0,0,0,0,0,54.53,0,0,40.8,150.02,0,47.33,79.38,0,0,0,0,0,0,35.46,98.64,6.52,0,0,0,0,59.79,418.77,35.44,0,0,0,0,0,0,0,0

5,01:00-01:15,15,40.2,44.92,3.22,121.71,10.94,0,10.96,0,0,20.8,312.45,4.01,9.66,0,0,105.16,20.96,0,31.94,0,70.64,32.08,686.07,3.94,127.6,1.42,43.11,1.62,13.25,40.28,98.87,0,0,0,0,0,0,54.53,0,0,40.8,150.02,0,47.33,79.38,0,0,0,0,0,0,35.46,98.64,6.52,0,0,0,0,59.79,418.77,35.44,0,0,0,0,0,0,0,0

6,01:15-01:30,15,40.2,44.92,3.22,121.71,10.94,0,10.96,0,0,20.8,312.45,4.01,9.66,0,0,105.16,20.96,0,31.94,0,70.64,32.08,686.07,3.94,127.6,1.42,43.71,1.62,13.25,40.28,98.87,0,0,0,0,0,0,54.53,0,0,40.8,150.02,0,47.33,79.38,0,0,0,0,0,0,35.46,98.64,6.52,0,0,0,0,59.79,418.77,35.44,0,0,0,0,0,0,0,0

7,01:30-01:45,15,40.2,44.92,3.22,121.71,10.73,0,9.48,0,0,20.8,312.45,4.01,9.66,0,0,105.16,20.96,0,31.94,0,70.64,32.08,686.07,3.94,127.6,1.42,43.71,1.62,13.25,40.28,98.87,0,0,0,0,0,0,54.53,0,0,40.8,150.02,0,47.33,79.38,0,0,0,0,0,0,11.82,98.64,6.52,0,0,0,0,59.79,418.77,33.57,0,0,0,0,0,0,0,0

