Block,Time Block,BSIUL,BRBCL,CHAMERA1,KGSU3AND4,KHSTPP-I,KHSTPP-II,CHAMERA3,CHAMERA2,DADRT2,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KOTESHWR,KUDGI,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,MAPS,NAPP,NLCEXP,NJPC,NLCTS2EXP,NLCIIST1,NLCIIST2,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPC,RAPPB,RIHAND1,RSTPSU1TO6,RSTPSU7,RIHAND3,RIHAND2,SASAN,SIMHST1,SIMHST2,SALAL,SEWA2,SINGRAULI_HYDRO,SINGRAULI,TALST2,TANAKPUR,TALA,TANDA2,TelanganaSTPP,TEHRI,UNCHAHAR1,URI2,UNCHAHAR3,UNCHAHAR2,URI,VALLURNTECL,UNCHAHAR4,ANTA_LF,ANTA_GF,ANTA_CRF,ANTA_RF,AURY_LF,AURY_GF,AURY_CRF,AURY_RF,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,19.23,40.86,0,37.72,139.57,9.31,25.32,265.46,0,0,0,0,8.53,0,0,15.04,0,232.89,0,0,19.81,0,0,0,0,0,0,0,0,0,24.65,0,88.44,0,0,59.75,114.16,401.6,0,0,53.61,15.89,0.42,134.28,0,5.54,0,0,0,0,12.98,21.98,17.34,27.66,31.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,16.71,40.86,0,43.77,142.56,9.31,25.32,265.46,0,0,0,0,8.53,0,0,17.8,0,232.89,0,0,19.81,0,0,0,0,0,0,0,0,0,24.65,0,88.44,0,0,59.75,114.16,402.56,0,0,53.61,15.89,0.42,134.28,0,5.54,0,0,0,0,15.7,21.98,20.85,33.28,31.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,17.65,40.86,0,38.42,125.38,9.31,25.32,265.46,0,0,0,0,8.53,0,0,17.8,0,232.89,0,0,19.81,0,0,0,0,0,0,0,0,0,24.65,0,88.44,0,0,59.75,114.16,402.56,0,0,53.61,15.89,0.7,134.28,0,5.54,0,0,0,0,15.7,21.98,20.85,33.28,33.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,16.57,40.86,0,38.42,125.38,9.31,25.32,265.46,0,0,0,0,8.53,0,0,17.8,0,232.77,0,0,19.81,0,0,0,0,0,0,0,0,0,24.65,0,88.44,0,0,59.75,114.16,402.56,0,0,53.61,15.89,0.7,134.28,0,5.54,0,0,0,0,15.7,21.98,20.85,28.03,33.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,15.09,40.86,0,32.38,125.38,9.31,25.32,265.46,0,0,0,0,8.53,0,0,17.8,0,230.18,0,0,19.81,0,0,0,0,0,0,0,0,0,24.65,0,88.44,0,0,59.75,114.16,402.56,0,0,53.61,15.89,0.7,134.28,0,5.54,0,0,0,0,11.66,21.98,15.84,25.22,33.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

