Block,Time Block,KGSU3AND4,KHSTPP-II,KISHANGANGA,KHSTPP-I,KKNP,KOTESHWR,KOLDAM,KKNPPU2,CHAMERA2,CHAMERA3,DADRT2,BRBCL,CHAMERA1,BSIUL,TALST2,TALA,TANAKPUR,RSTPSU7,SASAN,SALAL,URI,URI2,RSTPSU1TO6,RIHAND2,RIHAND1,RAPPD,RIHAND3,UNCHAHAR2,UNCHAHAR4,UNCHAHAR3,JHAJJAR,FSTPP I & II,KGSU1AND2,DULHASTI,DHAULIGNGA,SEWA2,SINGRAULI_HYDRO,RAPPC,RAPPB,PARBATI3,RAMPUR,NLCTS2EXP,PARBATI2,NLCEXP,NLCIIST1,NLCIIST2,NNTPP,NTPL,NJPC,NAPP,KUDGI,MAPS,SIMHST1,SIMHST2,SINGRAULI,DADRI_RF,ANTA_GF,DADRI_CRF,AURY_CRF,AURY_RF,ANTA_CRF,DADRI_GF,ANTA_RF,AURY_LF,DADRI_LF,ANTA_LF,AURY_GF,VALLURNTECL,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHAHAR1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,94.01,6.71,43.88,0,39.1,8.31,0,45.41,32.71,567.15,15.76,40.62,12.57,0,25.11,0,0,256.93,63.83,51.07,36.07,0,120.74,94.76,23.45,126.1,43.37,3.1,26.69,457.62,19.42,0,53.38,40.92,11.78,0,63.05,0,40.11,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,63.61,0,0,20.87,0,0,0,0,0

2,00:15-00:30,0,94.01,6.71,43.88,0,39.1,8.31,0,45.41,32.71,568.04,13.01,40.62,12.57,0,25.11,0,0,256.97,63.83,51.07,36.07,0,120.74,94.76,23.45,126.1,43.37,3.1,26.69,457.62,19.42,0,53.38,40.92,11.78,0,63.05,0,40.11,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,63.61,0,0,20.87,0,0,0,0,0

3,00:30-00:45,0,94.01,6.71,43.88,0,39.1,8.31,0,45.41,32.71,550.43,12.02,40.62,12.57,0,25.11,0,0,256.97,63.83,51.07,29.29,0,120.74,94.76,23.45,126.1,43.37,3.1,26.69,457.62,19.42,0,53.38,40.92,17.68,0,63.05,0,40.11,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,63.61,0,0,20.87,0,0,0,0,0

4,00:45-01:00,0,94.01,6.71,43.88,0,39.1,8.31,0,45.41,32.71,550.43,11.32,40.62,12.57,0,25.11,0,0,256.97,63.83,46.81,29.29,0,120.74,94.76,23.45,126.1,43.37,3.1,26.69,399.79,19.42,0,53.38,40.92,17.68,0,63.05,0,40.11,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,63.61,0,0,20.87,0,0,0,0,0

5,01:00-01:15,0,94.01,6.71,43.88,0,39.1,8.31,0,45.41,32.71,480.55,9.98,40.62,12.57,0,25.59,3.71,0,256.97,67.2,46.81,36.07,0,120.74,94.76,23.45,126.1,43.37,3.1,26.69,341.97,19.42,0,53.38,40.92,17.68,0,63.05,0,35.82,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,63.61,0,0,20.87,0,0,0,0,0

6,01:15-01:30,0,94.01,6.71,43.88,0,39.1,8.31,0,45.41,32.71,427.39,9.44,40.62,12.57,0,25.59,7.4,0,256.97,67.2,46.81,36.07,0,120.74,94.76,23.45,126.1,43.37,3.1,26.69,314.02,19.42,0,53.38,40.92,17.68,0,63.05,0,35.82,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,63.61,0,0,20.87,0,0,0,0,0

7,01:30-01:45,0,94.01,6.71,43.88,0,39.1,8.31,0,45.41,32.71,335.83,8.47,40.62,12.57,0,25.87,11.48,0,256.97,67.2,46.81,29.29,0,120.74,94.76,23.45,126.1,43.37,3.1,26.69,290.88,19.42,0,53.38,40.92,17.68,0,63.05,0,35.82,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,63.61,0,0,20.87,0,0,0,0,0

8,01:45-02:00,0,94.01,6.71,43.88,0,39.1,8.31,0,45.41,32.71,287.64,8.8,40.62,12.57,0,25.87,11.48,0,256.97,67.2,46.81,29.29,0,120.74,94.76,23.45,126.1,43.37,3.1,26.69,290.88,19.42,0,53.38,40.92,17.68,0,63.05,0,35.82,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,63.61,0,0,20.87,0,0,0,0,0

9,02:00-02:15,0,94.01,6.71,43.88,0,21.72,8.31,0,45.41,32.71,335.85,11,40.62,12.57,0,25.87,11.48,0,256.97,67.2,46.81,36.07,0,120.74,94.76,23.45,126.1,36.41,2.58,22.51,290.88,19.25,0,53.38,40.92,17.68,0,63.05,0,32.95,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,63.61,0,0,17.69,0,0,0,0,0

10,02:15-02:30,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,287.66,11.71,40.62,12.57,0,25.87,11.48,0,256.97,67.2,46.81,36.07,0,120.74,94.76,23.45,126.1,36.4,2.58,22.51,290.88,19.25,0,53.38,40.92,17.68,0,63.05,0,32.95,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,63.61,0,0,17.69,0,0,0,0,0

11,02:30-02:45,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,239.47,11.04,40.62,12.57,0,25.87,11.48,0,256.97,67.2,46.81,29.29,0,120.74,94.76,23.45,126.1,36.4,2.16,22.51,290.88,19.25,0,53.38,40.92,17.68,0,63.05,0,32.95,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,63.61,0,0,17.69,0,0,0,0,0

12,02:45-03:00,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,191.28,12.14,40.62,12.57,0,25.87,11.48,0,256.97,67.2,46.81,29.29,0,120.74,94.76,23.45,126.1,36.4,2.06,22.51,290.88,17.32,0,53.38,40.92,17.68,0,63.05,0,32.95,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,63.61,0,0,17.69,0,0,0,0,0

13,03:00-03:15,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,292.55,12.36,40.62,12.57,0,25.87,12.59,0,256.97,67.2,46.81,36.07,0,120.74,94.76,23.45,126.1,36.4,1.71,22.51,283.11,17.32,0,53.38,40.92,17.68,0,63.05,0,31.53,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,63.61,0,0,17.69,0,0,0,0,0

14,03:15-03:30,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,332.66,14.54,40.62,12.57,0,25.87,12.59,0,256.97,67.2,46.81,36.07,0,120.74,94.76,23.45,126.1,36.4,1.71,22.51,283.11,17.32,0,53.38,40.92,17.68,0,63.05,0,31.53,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,63.61,0,0,17.69,0,0,0,0,0

15,03:30-03:45,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,380.85,12.95,40.62,12.57,0,25.87,12.59,0,256.97,67.2,46.81,29.29,0,120.74,94.76,23.45,126.1,36.4,1.71,22.51,283.11,17.32,0,53.38,40.92,17.68,0,63.05,0,31.53,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,63.61,0,0,17.69,0,0,0,0,0

16,03:45-04:00,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,380.85,13.95,40.62,12.57,0,25.87,12.59,0,256.97,67.2,46.81,29.29,0,120.74,94.76,23.45,126.1,36.4,1.71,22.51,283.11,17.32,0,53.38,40.92,17.68,0,63.05,0,31.53,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,63.61,0,0,17.69,0,0,0,0,0

17,04:00-04:15,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,380.85,13.78,40.62,18.85,0,25.87,12.59,0,256.97,63.83,46.81,36.07,0,120.74,94.76,23.45,126.1,42.03,1.71,26.02,283.11,19.25,0,53.38,40.92,17.68,0,63.05,0,32.95,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,63.61,0,0,20.46,0,0,0,0,0

18,04:15-04:30,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,332.66,16.94,40.62,18.85,0,25.87,12.59,0,256.97,63.83,46.81,36.07,0,120.74,94.76,23.45,126.1,36.4,1.71,22.51,283.11,19.25,0,53.38,40.92,17.68,0,63.05,0,32.95,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,63.61,0,0,17.69,0,0,0,0,0

19,04:30-04:45,0,94.01,6.71,43.88,0,19.56,8.31,0,45.41,32.71,284.47,17.02,40.62,18.85,0,25.87,12.59,0,256.97,63.83,46.81,29.29,0,120.74,94.76,23.45,126.1,36.4,1.71,22.51,283.11,17.32,0,53.38,40.92,17.68,0,63.05,0,35.82,5.49,0,10.84,0,0,0,0,0,169.43,23.48,0,0,0,0,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,63.61,0,0,17.69,0,0,0,0,0

