Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/01/6775,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/01/6528,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/3945,NR/01102023/31052040/LT-31,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/8738,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,GNARE/SR/2025/01/13/4532,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/5531,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/02/1250,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/5216,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/3514
1,00:00-00:15,0,39.34,0,0,0,14.17,14.17,0,0,0,0,10.67,0,0,0,42.49,0,39.33,0,20.17,0,0,0,0,26.9,24.73,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,9.8,26.9,28.82,59.4,0,48.04,209.43,0,1.56,0,1.43,0,0,0,0,19.21

2,00:15-00:30,0,37.34,0,0,0,13.67,13.67,0,0,0,0,10.33,0,0,0,40.99,0,37.33,0,20.17,0,0,0,0,26.9,24.73,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,10,26.9,28.82,59.4,0,48.04,209.43,0,1.56,0,1.43,0,0,0,0,19.21

3,00:30-00:45,0,53.33,0,0,0,13,13,0,0,0,0,10,0,0,0,39,0,53.33,0,20.17,0,0,0,0,26.9,24.73,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,10,26.9,28.82,59.4,0,48.04,209.43,0,1.56,0,1.43,0,0,0,0,19.21

4,00:45-01:00,0,51.67,0,0,0,12.17,12.17,0,0,0,0,9.67,0,0,0,36.49,0,51.67,0,20.17,0,0,0,0,26.9,25.23,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,9.8,26.9,28.82,59.4,0,48.04,209.43,0,1.56,0,1.43,0,0,0,0,19.21

5,01:00-01:15,0,43,0,0,0,15,15,0,0,0,0,9.33,0,0,0,45,0,43,0,20.17,0,0,0,0,26.9,25.23,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,9.8,26.9,28.82,59.4,0,48.04,209.43,0,1.56,0,1.43,0,0,0,0,19.21

6,01:15-01:30,0,41.34,0,0,0,14.67,14.66,0,0,0,0,9,0,0,0,44,0,41.33,0,20.17,0,0,0,0,26.9,25.74,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,9.8,26.9,28.82,59.4,0,48.04,209.43,0,1.56,0,1.43,0,0,0,0,19.21

