Block,Time,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,2.330000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.470000,118.510000,50.110000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

2,00:15-00:30,2.330000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.470000,118.510000,50.110000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

3,00:30-00:45,2.330000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.470000,118.510000,50.110000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

4,00:45-01:00,2.330000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.470000,96.820000,50.110000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

5,01:00-01:15,2.330000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.470000,87.140000,50.110000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

6,01:15-01:30,2.330000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.470000,67.770000,50.110000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

7,01:30-01:45,2.330000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.470000,67.770000,38.100000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

8,01:45-02:00,2.330000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.470000,67.770000,38.100000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

9,02:00-02:15,2.180000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.390000,67.770000,38.100000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

10,02:15-02:30,2.180000,0.000000,26.130000,26.130000,132.840000,227.030000,0.000000,2.390000,67.770000,38.100000,101.410000,27.110000,0.000000,0.000000,2.840000,0,20,13.33,13.33,0,6.66,0,4,0,0,0,0,0,0,0,6.67,0,6.66,0

