Block,Time,KGSU1AND2,KGSU3AND4,NLCTS2EXP,NNTPP,RAPPB,SALAL,SIMHST1,ANTA_LF,DHAULIGNGA,DULHASTI,KKNPPU2,RIHAND2,SIMHST2,UNCHAHAR4,ANTA_CRF,BSIUL,KHSTPP-I,NLCIIST1,PARBATI3,RIHAND3,RSTPSU7,SEWA2,TelanganaSTPP,UNCHAHAR2,URI2,AURY_CRF,AURY_GF,AURY_LF,DADRI_CRF,DADRI_RF,BRBCL,FSTPP I & II,KOTESHWR,NAPP,RIHAND1,SASAN,SINGRAULI_HYDRO,TALA,TANAKPUR,UNCHAHAR1,UNCHAHAR3,KISHANGANGA,NLCIIST2,RSTPSU1TO6,TANDA2,ANTA_GF,CHAMERA1,DADRT2,KUDGI,NLCEXP,NTPL,RAPPC,VALLURNTECL,CHAMERA3,JHAJJAR,KHSTPP-II,KKNP,KOLDAM,TALST2,CHAMERA2,MAPS,NJPC,RAMPUR,SINGRAULI,TEHRI,URI,ANTA_RF,AURY_RF,DADRI_GF,DADRI_LF
1,00:00-00:15,0,0,0,0,0,2.33,0,0,9.11,32.96,0,118.76,0,0,0,0,44.92,0,0,124.32,0,0,0,42.4,26.9,0,0,0,0,66.85,15,14.3,8.87,41.65,92,396,0,2.26,13.06,20.56,0,0,0,0,0,0,0,341.57,0,0,0,51.9,0,0,454.31,148.3,0,0,0,2.27,0,46.78,0,103.12,46.69,6.07,42.74,69.5,0,21.92

2,00:15-00:30,0,0,0,0,0,2.33,0,0,9.11,32.96,0,118.76,0,0,0,0,44.92,0,0,124.32,0,0,0,42.4,26.9,0,0,0,0,66.85,15,14.3,8.87,41.65,92,396,0,2.26,13.06,20.56,0,0,0,0,0,0,0,341.57,0,0,0,51.9,0,0,454.31,148.3,0,0,0,2.4,0,46.78,0,103.12,29.87,6.07,42.74,69.5,0,21.92

3,00:30-00:45,0,0,0,0,0,13.95,0,0,9.11,32.96,0,118.76,0,0,0,0,44.92,0,0,124.32,0,0,0,42.4,26.9,0,0,0,0,66.85,15,14.3,8.87,41.65,92,396,0,2.38,13.06,20.56,0,0,0,0,0,0,0,341.57,0,0,0,51.9,0,0,454.31,148.3,0,0,0,2.4,0,46.78,0,103.12,14.93,4.97,42.74,69.5,0,21.92

4,00:45-01:00,0,0,0,0,0,79.38,0,0,9.11,32.96,0,118.76,0,0,0,0,44.92,0,0,124.32,0,0,0,42.4,26.9,0,0,0,0,66.85,15,14.3,8.87,41.65,92,396,0,2.38,13.06,20.56,0,0,0,0,0,0,0,341.57,0,0,0,51.9,0,0,454.31,148.3,0,0,0,2.4,0,46.78,0,103.12,14.93,4.97,42.74,69.5,0,21.92

5,01:00-01:15,0,0,0,0,0,79.38,0,0,9.11,32.96,0,118.76,0,0,0,0,44.92,0,0,124.32,0,0,0,42.4,26.9,0,0,0,0,66.85,15,14.3,8.87,41.65,92,396,0,2.38,11.27,20.56,0,0,0,0,0,0,0,341.57,0,0,0,51.9,0,0,454.31,148.3,0,0,0,2.4,0,46.78,0,103.12,14.93,4.97,42.74,69.5,0,21.92

