Block,Time,RAPPC,RIHAND3,RIHAND2,PARBATI3,RAMPUR,RIHAND1,UNCHAHAR1,UNCHAHAR4,SINGRAULI_HYDRO,TEHRI,URI2,UNCHAHAR3,SINGRAULI,TANDA2,UNCHAHAR2,SEWA2,DADRT2,NJPC,DULHASTI,KOLDAM,CHAMERA3,DHAULIGNGA,NAPP,KISHANGANGA,CHAMERA2,JHAJJAR,KOTESHWR,SALAL,RAPPB,TANAKPUR,URI,CHAMERA1,BSIUL,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,KGSU1AND2,NTPL,MAPS,KGSU3AND4,KKNP,KKNPPU2,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
14,03:15-03:30,68.830275,130.580717,124.384996,4.272091,6.745516,97.055943,22.630299,3.094586,1.212819,32.27093,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,43.536137,48.061828,5.560434,48.499828,482.443799,19.828385,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,17.375,0,20.0018,337.5

15,03:30-03:45,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,21.513954,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,43.536137,48.061828,5.560434,48.499828,482.443799,19.597823,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,35.206,17.375,0,20.0018,337.5

16,03:45-04:00,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,43.536137,48.061828,5.560434,48.499828,482.443799,19.597823,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,36.42,17.375,0,20.0018,337.5

17,04:00-04:15,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,43.536137,48.061828,5.560434,48.499828,482.443799,19.597823,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,36.42,17.375,0,20.0018,337.5

18,04:15-04:30,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,43.536137,48.061828,5.560434,48.499828,482.443799,19.597823,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,37.634,17.375,0,20.0018,337.5

19,04:30-04:45,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,19.597823,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,37.634,17.375,0,20.0018,337.5

20,04:45-05:00,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,19.597823,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,37.634,17.375,0,20.0018,337.5

21,05:00-05:15,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,38.848,17.375,0,20.0018,337.5

22,05:15-05:30,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,38.848,17.375,0,20.0018,337.5

23,05:30-05:45,68.830275,130.580717,124.384996,4.272091,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,38.848,17.375,0,20.0018,337.5

24,05:45-06:00,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,105.911988,0,0,0,0,0,82.394164,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,40.062,17.375,0,20.0018,337.5

25,06:00-06:15,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,82.394164,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,40.062,17.375,0,20.0018,337.5

26,06:15-06:30,68.830275,130.580717,124.384996,25.937699,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,82.394164,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,40.062,17.375,0,20.0018,337.5

27,06:30-06:45,68.830275,130.580717,124.384996,78.386778,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,82.394164,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,41.276,17.375,0,20.0018,337.5

28,06:45-07:00,68.830275,130.580717,124.384996,78.386778,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,82.394164,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,41.276,17.375,0,20.0018,337.5

29,07:00-07:15,68.830275,130.580717,124.384996,78.386778,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,103.196296,0,0,0,0,0,82.394164,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,41.276,17.375,0,20.0018,337.5

30,07:15-07:30,68.830275,130.580717,124.384996,78.386778,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,6.2769,33.12,42.14808,13.0416,0,103.196296,0,0,0,0,0,82.394164,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,42.49,17.375,0,20.0018,337.5

31,07:30-07:45,68.830275,130.580717,124.384996,78.386778,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,3.0744,33.12,42.14808,13.0416,0,103.196296,0,0,0,0,0,82.394164,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,42.49,17.375,0,20.0018,337.5

32,07:45:08:00,68.830275,130.580717,124.384996,58.790083,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,66.234,0,3.0744,33.12,42.14808,13.0416,0,103.196296,0,0,0,0,0,81.591624,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,43.704,17.375,0,20.0018,337.5

33,08:00-08:15,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,613.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,63.91,0,3.0744,33.12,42.14808,13.0416,0,103.196296,0,0,0,0,0,81.591624,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,43.704,17.375,0,20.0018,337.5

34,08:15-08:30,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.19116,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,613.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,63.91,0,3.0744,33.12,42.14808,13.0416,0,103.196296,0,0,0,0,0,81.591624,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

35,08:30-08:45,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,613.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,63.91,0,3.0744,33.12,42.14808,13.0416,0,103.196296,0,0,0,0,0,81.591624,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

36,08:45:09:00,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,18.394665,613.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,63.91,0,3.0744,38.64,42.14808,13.0416,0,103.196296,0,0,0,0,0,81.591624,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

37,09:00:09:15,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,613.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,63.91,0,3.0744,38.64,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

38,09:15-09:30,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,613.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,63.91,0,3.0744,38.64,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

39,09:30-09:45,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,613.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,65.072,0,3.0744,33.12,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

40,09:45-10:00,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,12.685976,613.715947,179.962454,59.175403,10.235073,34.831253,32.652103,48.061828,5.560434,48.499828,482.443799,9.798912,65.072,0,3.0744,33.12,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

41,10:00-10:15,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,9.514482,613.715947,179.962454,59.175403,10.235073,34.831253,21.768069,48.061828,5.560434,48.499828,482.443799,0,65.072,0,4.8678,27.6,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

42,10:15-10:30,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,0,613.715947,179.962454,59.175403,10.235073,34.831253,21.768069,48.061828,5.560434,48.499828,482.443799,0,65.072,0,5.124,27.6,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

43,10:30-10:45,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,0,613.715947,179.962454,59.175403,10.235073,34.831253,21.768069,48.061828,5.560434,48.499828,482.443799,0,65.072,0,8.3265,27.6,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

44,10:45-11:00,68.830275,130.580717,124.384996,19.071838,6.745516,97.055943,22.630299,3.094586,1.212819,0,37.890519,27.638981,149.98895,5.534073,44.906625,0,613.715947,179.962454,59.175403,10.235073,34.831253,21.768069,48.061828,5.560434,48.499828,482.443799,0,65.072,0,8.3265,27.6,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,17.375,0,20.0018,337.5

