Time,Block,NR/2023/17901/A/1105,NR/2023/18038/C,WR/2023/20256/A/1158,NR/2023/18039/C,NR/2023/17905/A/1099,WR/2023/20254/A/1156,NR/2023/17064/A,WR/2023/18560/A,NR/2023/16187/A,WR/2023/18560/A/II,NR/2023/18042/C,Total
,,ITCLH,TPDDL,MANIKARAN,NVVNL,IEXL,APPCPL,GMRETL,MANIKARAN,APPCPL,MANIKARAN,SJVNL,Total

,,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,NA,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,NA,
,,ITCWIND,CHANJUII,BRPL,SOLAPUR_SOLAR,BSHP,BRPL,BYPL,BYPL,BYPL,BYPL,RSRPL_BKN,
,,DELHI,DELHI,GOA,DELHI,DELHI,GOA,RAJASTHAN,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,DELHI,
,,ITCLH,TPDDL,GOA_Beneficiary,MES (Delhi),MES (Delhi),GOA_Beneficiary,RUVNL,AEML,HP,AEML,NDMC,
,,South-West-North,North-North,North-West,West-North,North-North,North-West,North-North,North-East-West,North-North,North-West,North-North,
1,00:00-00:15,0.480000,2.940000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.23

2,00:15-00:30,0.480000,2.940000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.23

3,00:30-00:45,0.480000,2.940000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.23

4,00:45-01:00,0.480000,2.940000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.23

5,01:00-01:15,0.480000,2.940000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.23

6,01:15-01:30,0.480000,2.940000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.23

7,01:30-01:45,0.480000,2.940000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.23

8,01:45-02:00,0.480000,2.940000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.23

9,02:00-02:15,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

10,02:15-02:30,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

11,02:30-02:45,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

12,02:45-03:00,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

13,03:00-03:15,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

14,03:15-03:30,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

15,03:30-03:45,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

16,03:45-04:00,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

17,04:00-04:15,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

18,04:15-04:30,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

19,04:30-04:45,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

20,04:45-05:00,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

21,05:00-05:15,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

22,05:15-05:30,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

23,05:30-05:45,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

24,05:45-06:00,0.430000,2.850000,0.000000,0,1.930000,0.000000,0.000000,0.000000,76.880000,100.000000,0,182.09

25,06:00-06:15,0.430000,2.850000,0.000000,0,1.930000,0.000000,100.000000,100.000000,0.000000,0.000000,0,205.21

26,06:15-06:30,0.430000,2.850000,0.000000,0,1.930000,0.000000,100.000000,100.000000,0.000000,0.000000,0,205.21

27,06:30-06:45,0.430000,2.850000,0.000000,0,1.930000,0.000000,100.000000,100.000000,0.000000,0.000000,0,205.21

28,06:45-07:00,0.430000,2.850000,0.000000,0,1.930000,0.000000,100.000000,100.000000,0.000000,0.000000,0,205.21

29,07:00-07:15,0.580000,2.850000,0.000000,0.1,1.930000,0.000000,100.000000,100.000000,0.000000,0.000000,0,205.46

30,07:15-07:30,0.580000,2.850000,0.000000,0.54,1.930000,0.000000,100.000000,100.000000,0.000000,0.000000,0,205.9

31,07:30-07:45,0.580000,2.850000,0.000000,0.95,1.930000,0.000000,100.000000,100.000000,0.000000,0.000000,0,206.31

32,07:45:08:00,0.580000,2.850000,0.000000,1.24,1.930000,0.000000,100.000000,100.000000,0.000000,0.000000,0,206.6

33,08:00-08:15,0.960000,2.850000,0.000000,1.72,1.930000,0.000000,50.000000,100.000000,0.000000,0.000000,0,157.46

34,08:15-08:30,0.960000,2.850000,0.000000,2.22,1.930000,0.000000,50.000000,100.000000,0.000000,0.000000,0,157.96

35,08:30-08:45,0.960000,2.850000,0.000000,2.51,1.930000,0.000000,50.000000,100.000000,0.000000,0.000000,0,158.25

