Time,Block,NR/2023/10181/A,NR/2023/11097/F,NR/2023/10486/A,NR/2023/11102/F,NR/2023/11341/F,NR/2023/11099/F,NR/2023/11166/F,NR/2023/11920/C,NR/2023/11368/F,NR/2023/11095/F,NR/2023/11104/F,NR/2023/11096/F,NR/2023/10433/A,NR/2023/11925/C,NR/2023/11221/F,NR/2023/11367/F,NR/2023/10197/A,NR/2023/11911/D,NR/2023/11154/F,NR/2023/11747/F,NR/2023/11913/D,NR/2023/11343/F,NR/2023/11914/C,NR/2023/11369/F,NR/2023/10182/A,NR/2023/11912/D,NR/2023/11100/F,Total
,,NVVNL,SHPPBPL,TPTCL,SHPPBPL,IEXL,SHPPBPL,IEXL,TPDDL,SHPPBPL,APPCPL,SHPPBPL,SHPPBPL,NVVNL,PXIL,IEXL,SHPPBPL,TPTCL,TS1PL_BKN,HPXL,SJVNL,NVVNL,IEXL,GBHHPL,SHPPBPL,NVVNL,TS1PL_BKN,SHPPBPL,Total

,,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,KARNATAKA,HIMACHAL PRADESH,NA,NA,KARNATAKA,WEST BENGAL,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,
,,ILFS,SHPPBPL,APNRL,SHPPBPL,NAVABHARAT,SHPPBPL,VISHWARAJSUGAR,CHANJUII,SHPPBPL,Manipur_Ben,SHPPBPL,SHPPBPL,SEIL,BYPL,KPRSUGAR,SHPPBPL,JPL,TS1PL_BKN,NIRANISUGAR,IPCL_WB,SOLAPUR_SOLAR,JSPL_DCPP,GBHHPL,SHPPBPL,JPNIGRIE_JNSTPP,TS1PL_BKN,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,MHIL,TPDDL,JHPL-DL,BRPL,UHL,BRPL,TPDDL,BAL224,STT,AISHER,MAX-HPTL,TPDDL,AMBASTL,BRPL,BAL184,BRPL,BYPL,BRPL,NDMC,MES (Delhi),BRPL,DIAPL,BAL234,BRPL,BRPL,BMDRC,
,,South-West-North,North-North,East-North,North-North,South-West-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,South-West-North,North-North,South-West-North,North-North,West-North,North-North,South-East-North,East-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.830000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493.08

2,00:15-00:30,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.830000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493.08

3,00:30-00:45,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.830000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493.08

4,00:45-01:00,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.830000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493.08

5,01:00-01:15,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.750000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493

6,01:15-01:30,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.750000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493

7,01:30-01:45,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.750000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493

8,01:45-02:00,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.750000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493

9,02:00-02:15,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.750000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493

10,02:15-02:30,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.750000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493

11,02:30-02:45,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.750000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493

12,02:45-03:00,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.750000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,493

13,03:00-03:15,99.830000,0.360000,20.590000,0.600000,115.740000,0.360000,14.470000,8.650000,0.310000,2.890000,0.450000,0.530000,24.110000,0.000000,17.360000,0.310000,49.910000,0,9.640000,0.000000,0,48.220000,27.520000,0.610000,49.910000,0,0.530000,492.9

