Block,Time,KHSTPP-I,MAPS,PARBATI2,RAMPUR,RAPPB,SASAN,TALST2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,URI2,DADRI_RF,CHAMERA2,CHAMERA3,NNTPP,RSTPSU1TO6,SINGRAULI,URI,AURY_LF,BRBCL,NLCEXP,RSTPSU7,SEWA2,TEHRI,TEHRIPSP,TelanganaSTPP,VALLURNTECL,DADRI_CRF,DADRT2,DHAULIGNGA,JHAJJAR,KHSTPP-II,UNCHAHAR4,ANTA_CRF,ANTA_RF,AURY_RF,KOLDAM,KUDGI,NLCTS2EXP,RAPPC,RAPPD,SALAL,TALA,ANTA_GF,AURY_GF,BSIUL,FSTPP I & II,KGSU3AND4,KKNPPU2,NTPL,PARBATI3,SIMHST1,SIMHST2,TANAKPUR,AURY_CRF,DADRI_LF,CHAMERA1,KGSU1AND2,KKNP,KOTESHWR,NLCIIST1,NLCIIST2,RIHAND3,SINGRAULI_HYDRO,DULHASTI,KISHANGANGA,NAPP,NJPC,RIHAND1,RIHAND2,TANDA2,ANTA_LF,DADRI_GF
1,00:00-00:15,45.53,0,0,0,0,337.5,0,21.65,45,27.69,38.97,73.77,47.12,0,0,0,113.75,52.99,0,24.99,0,0,12.22,63.85,83.18,0,0,0,589.38,42.46,667.25,98.87,3.22,0,48.68,76.62,8.62,0,0,65.42,23.96,48.81,28.22,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,30.43,0,0,130.84,0.66,55.38,6.96,24.36,0,98.32,125.27,5.73,0,0

2,00:15-00:30,45.53,0,0,0,0,337.5,0,21.65,45,27.69,38.97,73.77,47.12,0,0,0,113.75,52.99,0,24.99,0,0,12.22,63.85,83.18,0,0,0,589.38,42.46,667.25,98.87,3.22,0,48.68,76.62,8.62,0,0,65.42,23.96,48.81,28.22,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,30.43,0,0,130.84,0.66,55.38,6.96,24.36,0,98.32,125.27,5.73,0,0

3,00:30-00:45,45.53,0,0,0,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,0,0,0,113.75,52.99,0,24.99,0,0,12.22,63.85,83.18,0,0,0,589.38,42.46,568.25,98.87,3.22,0,48.68,76.62,8.62,0,0,65.42,23.96,48.81,28.22,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,30.43,0,0,130.84,0.66,55.38,6.96,24.36,0,98.32,125.27,5.73,0,0

4,00:45-01:00,45.53,0,0,0,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,0,0,0,113.75,47.47,0,24.99,0,0,12.22,63.85,83.18,0,0,0,589.38,42.46,541.85,98.87,3.22,0,48.68,76.62,8.62,0,0,65.42,23.96,48.81,28.22,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,30.43,0,0,130.84,0.66,55.38,6.96,24.36,0,98.32,125.27,5.73,0,0

5,01:00-01:15,45.53,0,0,0,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,0,0,0,113.75,47.47,0,24.99,0,0,12.22,63.85,83.18,0,0,0,589.38,42.46,541.85,98.87,3.22,0,49.31,76.62,8.62,0,0,65.42,23.96,48.81,22.72,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,30.43,0,0,130.84,0.66,55.38,6.96,24.36,0,98.32,125.27,5.73,0,0

6,01:15-01:30,45.53,0,0,0,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,0,0,0,113.75,47.47,0,24.99,0,0,12.22,63.85,83.18,0,0,0,589.38,42.46,541.85,98.87,3.22,0,49.31,76.62,8.62,0,0,65.42,23.96,48.81,22.72,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,30.43,0,0,130.84,0.66,55.38,6.96,24.36,0,98.32,125.27,5.73,0,0

7,01:30-01:45,45.53,0,0,0.86,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,11.31,0,0,113.75,47.47,0,24.99,0,0,12.22,63.85,83.18,0,0,0,589.38,42.46,541.85,98.87,3.22,0,49.31,76.62,8.62,0,0,65.42,23.96,48.81,22.72,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,30.43,0,0,130.84,0.66,55.38,6.96,24.36,26.12,98.32,125.27,5.73,0,0

8,01:45-02:00,45.53,0,0,1.78,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,11.31,0,0,113.75,47.47,0,24.99,0,0,12.22,63.85,83.18,0,0,0,589.38,42.46,667.25,98.87,3.22,0,49.31,76.62,8.62,0,0,65.42,23.96,48.81,22.72,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,30.43,0,0,130.84,0.66,55.38,6.96,24.36,54.21,98.32,125.27,5.73,0,0

9,02:00-02:15,45.53,0,0,2.65,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,22.6,0,0,113.75,47.47,0,24.99,0,0,12.22,63.85,0,0,0,0,689.38,42.46,667.25,98.87,3.22,0,50.57,76.62,8.62,0,0,65.42,23.96,48.81,22.72,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,20.29,0,0,130.84,0.66,55.38,6.96,24.36,80.65,98.32,125.27,5.73,0,0

10,02:15-02:30,45.53,0,0,3.54,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,22.6,0,0,113.75,47.47,0,24.99,0,0,12.22,63.85,0,0,0,0,689.38,42.46,667.25,98.87,3.22,0,50.57,76.62,8.62,0,0,65.42,23.96,48.81,22.72,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,20.29,0,0,130.84,0.66,55.38,6.96,24.36,107.54,98.32,125.27,5.73,0,0

11,02:30-02:45,45.53,0,0,4.42,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,22.6,0,0,113.75,47.47,0,24.99,0,0,12.22,63.85,0,0,0,0,689.38,42.46,667.25,98.87,3.22,0,50.57,76.62,8.62,0,0,65.42,23.96,48.81,22.96,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,20.29,0,0,130.84,0.66,55.38,6.96,24.36,134.43,98.32,125.27,5.73,0,0

12,02:45-03:00,45.53,0,0,5.32,0,337.5,0,20.46,45,27.69,38.97,73.77,47.12,22.6,0,0,113.75,47.47,0,24.99,0,0,12.22,63.85,0,0,0,0,689.38,42.46,667.25,98.87,3.22,0,50.57,76.62,8.62,0,0,65.42,23.96,48.81,22.96,0,0,0,14.6,0,0,0,37.17,0,0,13.06,0,0,42.15,0,0,20.29,0,0,130.84,0.66,55.38,6.96,24.36,161.31,98.32,125.27,5.73,0,0

