Block,Time,DADRT2,FSTPP I & II,KGSU3AND4,KKNP,MAPS,NLCTS2EXP,RAMPUR,RAPPC,RIHAND2,RSTPSU1TO6,SALAL,SIMHST1,ANTA_CRF,AURY_LF,JHAJJAR,KHSTPP-II,NAPP,TALA,TelanganaSTPP,UNCHAHAR3,URI,ANTA_LF,AURY_RF,KGSU1AND2,KISHANGANGA,NJPC,NNTPP,RIHAND1,RSTPSU7,URI2,DADRI_GF,DADRI_LF,DADRI_RF,SASAN,UNCHAHAR1,UNCHAHAR4,ANTA_GF,BRBCL,BSIUL,KHSTPP-I,KUDGI,SIMHST2,TANDA2,AURY_GF,KOTESHWR,NLCIIST1,RIHAND3,SINGRAULI,TALST2,UNCHAHAR2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,KKNPPU2,NLCIIST2,PARBATI3,SEWA2,SINGRAULI_HYDRO,TANAKPUR,TEHRI,AURY_CRF,DADRI_CRF,DULHASTI,KOLDAM,NLCEXP,NTPL,RAPPB,VALLURNTECL,ANTA_RF
1,00:00-00:15,341.57,20.8,0,0,0,0,0,52.03,118.76,0,2.33,0,0,0,654.31,148.3,42.08,0,0,26.39,1.66,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,15,0,32.78,0,0,0,0,8.87,0,124.32,90.43,0,42.4,0,2.4,0,1.32,0,0,0,0,0,11.91,14.93,0,0,16.48,0,0,0,0,0,42.74

2,00:15-00:30,341.57,20.8,0,0,0,0,0,52.03,118.76,0,18.59,0,0,0,654.31,148.3,42.08,0,0,26.39,1.66,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,15,0,32.78,0,0,0,0,8.87,0,124.32,90.43,0,42.4,0,2.4,0,1.32,0,0,0,0,0,11.91,14.93,0,0,16.48,0,0,0,0,0,42.74

3,00:30-00:45,341.57,20.8,0,0,0,0,0,52.03,118.76,0,79.38,0,0,0,654.31,148.3,42.08,0,0,26.39,1.66,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,17.26,0,32.78,0,0,0,0,8.87,0,124.32,90.43,0,42.4,0,2.4,0,1.32,0,0,0,0,0,11.91,14.93,0,0,16.48,0,0,0,0,0,42.74

4,00:45-01:00,341.57,20.8,0,0,0,0,0,52.03,118.76,0,79.38,0,0,0,654.31,148.3,42.08,0,0,26.39,1.66,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,18.35,0,32.78,0,0,0,0,8.87,0,124.32,90.43,0,42.4,0,2.4,0,9.11,0,0,0,0,0,6.4,14.93,0,0,16.48,0,0,0,0,0,42.74

5,01:00-01:15,341.57,20.8,0,0,0,0,0,52.03,118.76,0,79.38,0,0,0,654.31,148.3,42.08,0,0,26.39,39.19,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,18.35,0,32.78,0,0,0,0,8.87,0,124.32,97.93,0,42.4,0,2.4,0,9.11,0,0,0,0,0,6.4,14.93,0,0,16.48,0,0,0,0,0,42.74

6,01:15-01:30,341.57,20.8,0,0,0,0,0,52.03,118.76,0,79.38,0,0,0,654.31,148.3,42.08,0,0,26.39,39.19,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,19.34,0,32.78,0,0,0,0,8.87,0,124.32,99.43,0,42.4,0,2.4,0,9.11,0,0,0,0,0,6.4,14.93,0,0,16.48,0,0,0,0,0,42.74

7,01:30-01:45,341.57,20.8,0,0,0,0,0,52.03,118.76,0,13.95,0,0,0,654.31,148.3,42.08,0,0,26.39,1.66,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,19.34,0,32.78,0,0,0,0,8.87,0,124.32,100.93,0,42.4,0,2.4,0,9.11,0,0,0,0,0,6.4,14.93,0,0,16.48,0,0,0,0,0,42.74

8,01:45-02:00,341.57,20.8,0,0,0,0,0,52.03,118.76,0,2.33,0,0,0,654.31,148.3,42.08,0,0,26.39,1.66,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,20.01,0,32.78,0,0,0,0,8.87,0,124.32,102.44,0,42.4,0,2.4,0,9.11,0,0,0,0,0,6.4,14.93,0,0,16.48,0,0,0,0,0,42.74

9,02:00-02:15,341.57,20.8,0,0,0,0,0,52.03,118.76,0,2.33,0,0,0,654.31,148.3,42.08,0,0,26.39,1.66,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,20.01,0,32.78,0,0,0,0,8.87,0,124.32,103.93,0,42.4,0,2.4,0,9.11,0,0,0,0,0,11.91,14.93,0,0,16.48,0,0,0,0,0,42.74

10,02:15-02:30,341.57,20.8,0,0,0,0,0,52.03,118.76,0,2.33,0,0,0,654.31,148.3,42.08,0,0,26.39,1.66,0,70.16,0,0,0,0,92,0,4.57,0,21.92,66.85,418.77,20.56,0,0,20.01,0,32.78,0,0,0,0,8.87,0,124.32,103.93,0,42.4,0,2.4,0,9.11,0,0,0,0,0,11.91,14.93,0,0,16.48,0,0,0,0,0,42.74

