Column1,Block,NR/2024/24227/A/46330,NR/2024/24224/A/46317,NR/2024/24225/A/46328,NR/2024/24071/A/46247,NR/2024/24146/A/46238,NR/2024/24097/A/46242,WR/2024/25054/A/46458,NR/2024/24400/C,NR/2024/24401/C,NR/2024/23952/A/46223,NR/2024/24088/A/46244,NR/2024/24051/A/46249,NR/2024/24060/A/46470,NR/2024/24052/A/46248,NER/2024/2770/A/46452,NR/2024/24399/C,NR/2024/24402/C,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/23/2645,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/7739,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,Total
,,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,IEXL,IEXL,IEXL,APPCPL,SJVNL,SJVNL,ITCLH,IEXL,IEXL,NVVNL,IEXL,APPCPL,SJVNL,SJVNL,NDMC,NDMC,NDMC,IEXL,BAWANA_GAS,NDMC,NDMC,PTC,DELHI,PTC,APPCPL,MANIKARAN,PUNJAB,KSEB,
,,NA,NA,NA,NA,MP_State,KARNATAKA_STATE,DELHI_UT,KARNATAKA_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,TELANGANA_State,NA,TELANGANA_State,DELHI_UT,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,NSPLN_MP,NSLSUGARALAND,BRPL,RENUKASUGARSHAVALGA,RENUKASUGARSATHANI,ITCWIND,NSLSTUNGBHDRA,NSLKSLWPRTY,JITPL,NSLKSLWPRTY,BYPL,TPSL_BKN2,RSRPL_BKN,RKM_POWER,SKS_Raigarh,TRN_ENERGY,JPL,BAWANA_GAS,JPL2,RKM_POWER,BRPL,CHANJUII,BYPL,BYPL,BRPL,BAWANA_GAS,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,MSEB_State,MSEB_State,PUNJAB_STATE,KERALA_State,
,,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,MES_Delhi,MES_Delhi,MES_Delhi,GOA_Beneficiary,NDMC,NDMC,ITCLH,MES_Delhi,MES_Delhi,NDMC,MES_Delhi,Manipur_Ben,NDMC,NDMC,NDMC,NDMC,NDMC,BRPL,HARYANA,NDMC,NDMC,HP,TPDDL,HP,AEML,AEML,PUNJAB,KSEB,
,,North-North,North-North,North-North,North-North,West-North,South-West-North,North-West,South-West-North,South-West-North,South-West-North,South-West-North,South-West-North,East-North,South-West-North,North-East-North East,North-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-West,North-West,North-North,North-West-South,
1,00:00-00:15,0,0,0,0,5.77,7.7,0,0,0,0.43,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.28

2,00:15-00:30,0,0,0,0,5.77,7.7,0,0,0,0.43,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.28

