Column1,Block,NR/2025/24640/C,NR/2024/24434/A/47518,NR/2025/24641/C,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6528,WR/2024/25501/A/47746,GNA/WR/2025/01/01/8625,NR/2024/24566/A/47530,NR/2025/24634/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/24635/C,GNA/NR/2025/01/01/7459,NR/2024/24507/A/47775,NR/2024/24508/A/47774,SR/2024/15456/A/47721,NER/2024/2820/A/47740,NR/2024/24614/A/47777,NR/2024/24435/A/47543,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/24642/C,NR/2025/24633/C,GNA/NR/2025/01/01/3514,NR/2024/24418/A/47524,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/8058,GNA/WR/2024/11/01/4200,Total
,,SJVNL,IEXL,SJVNL,IEXL,NDMC,APPCPL,TPTCL,IEXL,NVVNL,DELHI,NVVNL,NDMC,NVVNL,NVVNL,IEXL,APPCPL,NVVNL,IEXL,BAWANA_GAS,PUNJAB,SJVNL,TPDDL,HPXL,ITCLH,APPCPL,IEXL,HPXL,PXIL,NDMC,IEXL,NDMC,IEXL,MANIKARAN,
,,NA,NA,NA,MP_State,NA,DELHI_UT,DELHI_UT,TELANGANA_State,NA,HIMACHAL_STATE,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,KARNATAKA_STATE,DELHI_UT,DELHI_UT,UTTARPRADESH_STATE,NA,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,ODISHA_STATE,NA,NA,DELHI_UT,
,,RSRPL_BKN,TESPL_BKN2,TPSL_BKN2,JP_BINA,SKS_Raigarh,BRPL,BYPL,NSLKSLWPRTY,TRN_ENERGY,CHANJUII,JITPL,RKM_POWER,JITPL,TRN_ENERGY,BYPL,BYPL,TRN_ENERGY,NSLSUGARALAND,BAWANA_GAS,BAWANA_GAS,BCMLUH,JHAJJAR,SKS_Raigarh,ITCWIND,BYPL,SKS_Raigarh,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,RKM_POWER,NBVLIPP,JPL2,JPNIGRIE_JNSTPP,BRPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,Manipur_State,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,
,,NDMC,MES_Delhi,NDMC,BRPL,NDMC,GOA_Beneficiary,TPC_MSEB,MES_Delhi,NDMC,TPDDL,NDMC,NDMC,NDMC,NDMC,TANGEDCO,Manipur_Ben,NDMC,MES_Delhi,HARYANA,PUNJAB,NDMC,TPDDL,BRPL,ITCLH,AEML,BRPL,BRPL,BRPL,NDMC,BRPL,NDMC,BRPL,AEML,
,,North-North,North-North,North-North,West-North,West-North,North-West,North-West,South-West-North,West-North,North-North,East-North,West-North,East-North,West-North,North-West-South,North-East-North East,West-North,South-West-North,North-North,North-North,North-North,North-North,West-North,South-West-North,North-West,West-North,West-North,West-North,West-North,East-North,West-North,West-North,North-West,
1,00:00-00:15,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

2,00:15-00:30,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

3,00:30-00:45,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

4,00:45-01:00,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

5,01:00-01:15,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

