Time,Block,NR/2023/18183/A/2569,NR/2023/18074/A/2472,WR/2023/20937/A/2568,WR/2023/20914/A/2556,NR/2023/18204/A/2457,NR/2024/18234/C,Total
,,MANIKARAN,ITCLH,MANIKARAN,APPCPL,IEXL,NVVNL,Total

,,DELHI,ANDHRA PRADESH,DELHI,DELHI,ANDHRA PRADESH,NA,
,,BRPL,ITCWIND,BRPL,BRPL,SNJSUGARLTDAP,SOLAPUR_SOLAR,
,,HIMACHAL PRADESH,DELHI,GOA,GOA,DELHI,DELHI,
,,HP,ITCLH,GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),MES (Delhi),
,,North-North,South-West-North,North-West,North-West,South-East-North,West-North,
1,00:00-00:15,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

2,00:15-00:30,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

3,00:30-00:45,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

4,00:45-01:00,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

5,01:00-01:15,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

6,01:15-01:30,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

7,01:30-01:45,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

8,01:45-02:00,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

9,02:00-02:15,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

10,02:15-02:30,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

11,02:30-02:45,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

12,02:45-03:00,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

13,03:00-03:15,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

14,03:15-03:30,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

15,03:30-03:45,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

16,03:45-04:00,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

