Block,Time,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/15082037/GNA_NR_2012_01,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01102023/14082046/L_NR_2021_16,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/26072023/31072042/L_NR_2023_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/02012046/L_NR_2021_17,NR/01102023/30042040/GNA_LT_35,NR/01042024/31072024/LT_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,WR/01102023/16072048/L_NR_2022_08,NR/01102023/06022042/L_NR_2012_02,NR/16042024/31052024/IEX_240323_06618,NR/16042024/30042024/IEX_240323_06617,NR/01042024/30042024/PTC/OA/32001,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/04042024/30042024/SJVN040424NR1694,NR/01102023/08032047/L_NR_2021_14,NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,48.33,0,100.500000,7.01,0.000000,3.900000,0,115.710000,4.190000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,12.340000,18.66,261.920000,48.240000,9.650000,48.240000,20.5,61.5,0,0.000000,30.870000,3.990000,0,0,20.5,0,0,48.33,0,0,0.000000

2,00:15-00:30,48,0,100.500000,7.01,0.000000,3.900000,0,115.710000,4.190000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,12.340000,18.66,261.920000,48.240000,9.650000,48.240000,20.5,61.5,0,0.000000,30.870000,3.990000,0,0,20.5,0,0,48,0,0,0.000000

3,00:30-00:45,46.67,0,100.500000,7.01,0.000000,3.900000,0,115.710000,3.110000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,12.340000,18.34,261.920000,48.240000,9.650000,48.240000,20.34,61,0,0.000000,30.870000,3.990000,0,0,20.33,0,0,46.67,0,0,0.000000

4,00:45-01:00,46.67,0,100.500000,7.01,0.000000,3.900000,0,115.710000,3.110000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,12.340000,17.66,261.920000,48.240000,9.650000,48.240000,20.5,61.5,0,0.000000,30.870000,3.990000,0,0,20.5,0,0,46.67,0,0,0.000000

5,01:00-01:15,45.67,0,100.500000,7.01,0.000000,3.900000,0,115.710000,3.880000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,12.160000,17.66,261.920000,48.240000,9.650000,48.240000,20.84,62.5,0,0.000000,30.870000,3.920000,0,0,20.83,0,0,45.67,0,0,0.000000

6,01:15-01:30,46.33,0,100.500000,7.01,0.000000,3.900000,0,115.710000,3.880000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,12.160000,17.66,261.920000,48.240000,9.650000,48.240000,21.5,64.5,0,0.000000,30.870000,3.920000,0,0,21.5,0,0,46.33,0,0,0.000000

7,01:30-01:45,46,0,100.500000,7.01,0.000000,3.900000,0,115.710000,3.880000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,12.160000,17.34,261.920000,48.240000,9.650000,48.240000,22,66,0,0.000000,30.870000,3.920000,0,0,22,0,0,46,0,0,0.000000

8,01:45-02:00,46.67,0,100.500000,7.01,0.000000,3.900000,0,115.710000,3.880000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,12.160000,17.34,261.920000,48.240000,9.650000,48.240000,22.66,68,0,0.000000,0.920000,3.920000,0,0,22.67,0,0,46.67,0,0,0.000000

9,02:00-02:15,45.33,0,100.500000,7.01,0.000000,3.900000,0,115.710000,3.720000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,11.890000,17.34,261.920000,48.240000,9.650000,48.240000,23,69,0,0.000000,19.820000,3.920000,0,0,23,0,0,45.33,0,0,0.000000

10,02:15-02:30,44,0,100.500000,7.01,0.000000,3.900000,0,115.710000,3.720000,87.020000,0.000000,272.770000,0,28.770000,0,0.000000,16.090000,30.870000,0,0,0,0,11.890000,16.66,261.920000,48.240000,9.650000,48.240000,23,69,0,0.000000,0.920000,3.920000,0,0,23,0,0,44,0,0,0.000000

