Block,Time,TANDA2,UNCHAHAR2,RIHAND1,AURY_LF,RAPPB,URI,UNCHAHAR1,DADRI_RF,ANTA_RF,DADRI_CRF,RIHAND3,SINGRAULI_HYDRO,CHAMERA1,SINGRAULI,SEWA2,NJPC,JHAJJAR,AURY_CRF,UNCHAHAR3,NAPP,ANTA_LF,URI2,AURY_RF,TEHRI,ANTA_CRF,UNCHAHAR4,DADRT2,CHAMERA3,SALAL,PARBATI3,DADRI_LF,KOTESHWR,ANTA_GF,KISHANGANGA,DHAULIGNGA,DADRI_GF,RIHAND2,TALA,KHSTPP-I,BRBCL,TANAKPUR,AURY_GF,KOLDAM,CHAMERA2,BSIUL,SASAN,RAPPC,RAMPUR,DULHASTI,FSTPP I & II,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,16.372700,88.605200,0.000000,0.000000,2.658156,6.683914,0.000000,0.000000,0.000000,57.169134,0.792236,0.000000,120.953321,0.000000,0.000000,252.605143,0.000000,10.478528,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,183.576038,0.000000,6.714733,0.000000,0.000000,8.546549,0.000000,0.000000,0.000000,0.000000,56.880686,0.000000,13.380156,14.446451,0.000000,0.000000,0.000000,0.000000,0.000000,332.630662,52.553478,0.000000,0.000000,9.253080,115.823273,0,0,0,0,0

2,00:15-00:30,0.000000,16.372700,88.605200,0.000000,0.000000,2.658156,6.664652,0.000000,0.000000,0.000000,57.169134,0.792236,0.000000,120.953321,0.000000,0.000000,227.416803,0.000000,10.478528,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,184.318078,0.000000,1.342947,0.000000,0.000000,8.546549,0.000000,0.000000,0.000000,0.000000,56.880686,0.000000,13.380156,14.446451,0.000000,0.000000,0.000000,0.000000,0.000000,332.630662,52.553478,0.000000,0.000000,9.253080,115.823273,0,0,0,0,0

3,00:30-00:45,0.000000,16.372700,88.605200,0.000000,0.000000,3.189787,6.664652,0.000000,0.000000,0.000000,57.169134,0.792236,0.000000,120.953321,0.000000,0.000000,227.416803,0.000000,10.478528,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,184.318078,0.000000,1.342947,0.000000,0.000000,8.546549,0.000000,0.000000,0.000000,0.000000,56.880686,0.000000,13.380156,14.446451,0.000000,0.000000,0.000000,0.000000,0.000000,332.630662,52.553478,0.000000,0.000000,4.815500,115.823273,0,0,0,0,0

4,00:45-01:00,0.000000,16.372700,88.605200,0.000000,0.000000,3.189787,6.664652,0.000000,0.000000,0.000000,57.169134,0.792236,0.000000,120.953321,0.000000,0.000000,227.416803,0.000000,10.478528,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,184.318078,0.000000,1.342947,0.000000,0.000000,8.546549,0.000000,0.000000,0.000000,0.000000,56.880686,0.000000,13.380156,14.446451,0.000000,0.000000,0.000000,0.000000,0.000000,332.630662,52.553478,0.000000,0.000000,4.815500,115.823273,0,0,0,0,0

5,01:00-01:15,0.000000,16.372700,88.605200,0.000000,0.000000,3.189787,6.664652,0.000000,0.000000,0.000000,57.169134,0.792236,0.000000,120.953321,0.000000,0.000000,227.416803,0.000000,10.478528,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,184.318078,0.000000,1.342947,0.000000,0.000000,8.546549,0.000000,0.000000,0.000000,0.000000,56.880686,0.000000,13.380156,14.446451,0.000000,0.000000,0.000000,0.000000,0.000000,332.630662,52.553478,0.000000,0.000000,4.815500,115.823273,0,0,0,0,0

