Column1,Block,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/5143,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/6891,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/2563,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,WR/2025/26427/A/59526,WR/2025/26582/A/59728,WR/2025/26499/A/59730,WR/2025/26426/A/59519,NR/2025/25159/A/59420,NR/2025/25706/C,NR/2025/25517/A/59819,NR/2025/25518/A/59820,NR/2025/25707/C,NR/2025/25516/A/59818,GNARE/NR/2024/12/20/3668,Total
,,NDMC,NDMC,NDMC,PTC,DELHI,BAWANA_GAS,NDMC,NDMC,PTC,PUNJAB,NDMC,APPCPL,TPTCL,APPCPL,APPCPL,KEIPL,APPCPL,APPCPL,KEIPL,ITCLH,SJVNL,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,SJVNL,ABLWM1_AEROCITY,SECI_Trader,
,,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,
,,SKS_Raigarh,TRN_ENERGY,RKM_POWER,BRPL,CHANJUII,BAWANA_GAS,JPL2,JIPL,BYPL,BAWANA_GAS,RKM_POWER,BYPL,BYPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,ITCWIND,TPSL_BKN2,TCSPL_BKN2,TCSPL_BKN2,RSRPL_BKN,TCSPL_BKN2,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,PUNJAB_STATE,DELHI_UT,KERALA_State,MSEB_State,MSEB_State,MSEB_State,CSEB_State,CSEB_State,MSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,HP,TPDDL,HARYANA,NDMC,NDMC,HP,PUNJAB,NDMC,KSEB,TPC_MSEB,AEML,AEML,CSEB_Beneficiary,CSEB_Beneficiary,AEML,CSEB_Beneficiary,ITCLH,NDMC,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,NDMC,ABLWM1_AEROCITY,TPDDL,
,,West-North,West-North,West-North,North-North,North-North,North-North,West-North,East-North,North-North,North-North,West-North,North-West-South,North-West,North-West,North-West,North-West,North-West,North-West,North-West,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,6.75,8.67,23.41,237.82,6.55,32,23.41,17.35,79.27,25.87,23.41,200,0,0,42,24.09,24.09,0,168.21,0.43,0,0,0,0,0,0,943.33

2,00:15-00:30,6.75,8.67,23.41,237.82,6.55,32,23.41,17.35,79.27,25.87,23.41,200,0,0,42,24.09,24.09,0,168.21,0.43,0,0,0,0,0,0,943.33

3,00:30-00:45,6.75,8.67,23.41,237.82,6.55,32,23.41,17.35,79.27,25.87,23.41,200,0,0,42,24.09,24.09,0,168.21,0.43,0,0,0,0,0,0,943.33

4,00:45-01:00,6.75,8.67,23.41,237.82,6.55,32,23.41,17.35,79.27,25.87,23.41,200,0,0,42,24.09,24.09,0,168.21,0.43,0,0,0,0,0,0,943.33

5,01:00-01:15,6.75,8.67,23.41,237.82,6.46,32,23.41,17.35,79.27,25.87,23.41,200,0,0,42,24.09,24.09,0,168.21,0.43,0,0,0,0,0,0,943.2400000000001

6,01:15-01:30,6.75,8.67,23.41,237.82,6.46,32,23.41,17.35,79.27,25.87,23.41,200,0,0,42,24.09,24.09,0,168.21,0.43,0,0,0,0,0,0,943.2400000000001

7,01:30-01:45,6.75,8.67,23.41,237.82,6.46,32,23.41,17.35,79.27,25.87,23.41,200,0,0,42,24.09,24.09,0,168.21,0.43,0,0,0,0,0,0,943.2400000000001

