Block,Time,L_NR_2020_02,LT-59,L_NR_2023_04,LT-36,L_NR_2012_07,LT-35,LT-05,L_NR_2012_04,L_NR_2012_02,SH-07,LT-31,SH-06,L_NR_2012_01,L_NR_2019_11,L_NR_2021_16,L_NR_2020_06,L_NR_2022_09,L_NR_2019_07,L_NR_2021_13,L_NR_2018_61,L_NR_2019_05,L_NR_2020_07,L_NR_2022_08,L_NR_2019_06,L_NR_2021_15,L_NR_2022_10,L_NR_2020_05,L_NR_2019_19,L_NR_2021_17,L_NR_2021_12,L_NR_2021_14
1,00:00-00:15,11.880000,10.330000,27.030000,0.000000,74.030000,0.000000,115.890000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,11.06,26.49,0,0,21.98,0,11.06,8.67,0,0,26.49,33.18,0,0,0,0

2,00:15-00:30,11.880000,10.330000,28.000000,0.000000,74.030000,0.000000,115.890000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,10.72,26.77,0,0,23.1,0,10.72,8.53,0,0,26.77,32.16,0,0,0,0

3,00:30-00:45,11.880000,10.330000,28.960000,0.000000,74.030000,0.000000,115.890000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,7.76,14.54,0,0,17.71,0,7.75,8.55,0,0,14.54,23.27,0,0,0,0

4,00:45-01:00,11.880000,10.330000,28.000000,0.000000,74.030000,0.000000,115.890000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,7.84,14.51,0,0,18.01,0,7.84,8.75,0,0,14.51,23.52,0,0,0,0

5,01:00-01:15,11.880000,10.330000,28.000000,0.000000,74.030000,0.000000,115.890000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,8,14.5,0,0,18.4,0,8.01,8.7,0,0,14.5,24,0,0,0,0

6,01:15-01:30,11.880000,10.330000,28.000000,0.000000,74.030000,0.000000,115.890000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,8.08,14.46,0,0,18.77,0,8.08,8.68,0,0,14.46,24.25,0,0,0,0

7,01:30-01:45,11.880000,10.330000,28.000000,0.000000,74.030000,0.000000,115.890000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,8.37,14.51,0,0,30.6,0,8.36,8.49,0,0,14.51,25.1,0,0,0,0

8,01:45-02:00,11.880000,10.330000,26.070000,0.000000,74.030000,0.000000,98.860000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,7.28,14.46,0,0,30.92,0,7.27,6.57,0,0,14.46,21.83,0,0,0,0

9,02:00-02:15,11.880000,10.330000,26.070000,0.000000,74.030000,0.000000,115.890000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,7.19,14.06,0,0,31.39,0,7.21,6.46,0,0,14.06,21.58,0,0,0,0

10,02:15-02:30,11.880000,10.330000,26.070000,0.000000,74.030000,0.000000,94.680000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,7.28,13.94,0,0,31.83,0,7.29,6.41,0,0,13.94,21.85,0,0,0,0

11,02:30-02:45,11.880000,10.330000,26.070000,0.000000,74.030000,0.000000,70.440000,271.520000,235.170000,0.000000,0.000000,0.000000,101.130000,10.750000,0,7.33,13.81,0,0,32.02,0,7.32,6.46,0,0,13.81,21.99,0,0,0,0

