Block,Time,CHAMERA2,KOTESHWR,NAPP,SALAL,DHAULIGNGA,ANTA_RF,TANAKPUR,RAMPUR,NJPC,DADRI_CRF,ANTA_LF,UNCHAHAR4,TANDA2,RIHAND1,DADRT2,SEWA2,URI2,UNCHAHAR3,DADRI_GF,URI,RAPPC,CHAMERA1,JHAJJAR,PARBATI3,UNCHAHAR1,RIHAND3,SINGRAULI,ANTA_CRF,DADRI_RF,UNCHAHAR2,DADRI_LF,DULHASTI,AURY_CRF,BSIUL,TEHRI,CHAMERA3,RIHAND2,TALA,FSTPP I & II,SASAN,KHSTPP-II,KHSTPP-I,KUDGI,BRBCL,KOLDAM,RAPPB,SINGRAULI_HYDRO,AURY_GF,AURY_LF,KISHANGANGA,AURY_RF,ANTA_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.512341,8.170728,39.552583,82.198567,27.851892,4.228849,11.156613,1.346616,118.414019,0.000000,0.000000,0.783837,1.347745,90.305764,666.018571,16.053045,33.462286,14.209029,0.000000,44.870314,53.407983,40.786697,636.640056,3.239850,20.084614,121.248253,118.953748,0.000000,81.141322,41.659485,0.000000,50.308022,0.000000,12.684225,25.034071,29.586066,115.727243,0.000000,20.060421,405.243729,142.750749,41.117573,74.51,14.452569,2.350658,0.000000,0.000000,0.000000,0.000000,1.409267,64.651483,0.000000,0,0,0,0,0

2,00:15-00:30,40.512341,8.170728,39.552583,82.198567,27.851892,4.228849,11.156613,1.346616,118.414019,0.000000,0.000000,0.783837,1.347745,90.305764,666.018571,16.053045,33.462286,14.209029,0.000000,44.870314,53.407983,40.786697,636.640056,3.239850,20.084614,121.248253,118.953748,0.000000,81.141322,41.659485,0.000000,50.308022,0.000000,12.684225,25.034071,29.586066,115.727243,0.000000,20.060421,405.243729,142.750749,41.117573,74.51,12.059759,2.350658,0.000000,0.000000,0.000000,0.000000,1.409267,64.651483,0.000000,0,0,0,0,0

3,00:30-00:45,40.512341,8.170728,39.552583,80.399419,27.851892,0.000000,11.156613,1.346616,118.414019,0.000000,0.000000,0.783837,1.347745,90.305764,666.018571,16.053045,33.462286,14.209029,0.000000,44.870314,53.407983,40.786697,636.640056,3.239850,20.084614,121.248253,118.953748,0.000000,81.141322,41.659485,0.000000,50.308022,0.000000,12.684225,25.034071,29.586066,115.727243,0.000000,20.060421,405.243729,142.750749,41.117573,74.51,9.822846,2.350658,0.000000,0.000000,0.000000,0.000000,1.409267,64.651483,0.000000,0,0,0,0,0

4,00:45-01:00,40.512341,8.170728,39.552583,80.399419,27.851892,0.000000,11.156613,1.346616,118.414019,0.000000,0.000000,0.783837,1.347745,90.305764,666.018571,16.053045,33.462286,14.209029,0.000000,44.870314,53.407983,40.786697,636.640056,3.239850,20.084614,121.248253,118.953748,0.000000,81.141322,41.659485,0.000000,50.308022,0.000000,12.684225,25.034071,29.586066,115.727243,0.000000,20.060421,405.243729,142.750749,41.117573,74.51,11.243320,2.350658,0.000000,0.000000,0.000000,0.000000,1.409267,64.651483,0.000000,0,0,0,0,0

5,01:00-01:15,40.512341,8.170728,39.552583,80.399419,27.851892,0.000000,11.156613,1.346616,118.414019,0.000000,0.000000,0.783837,1.347745,90.305764,666.018571,16.053045,33.462286,14.209029,0.000000,47.006995,53.407983,40.786697,636.640056,3.239850,20.084614,121.248253,118.953748,0.000000,40.570661,41.659485,0.000000,50.308022,0.000000,12.684225,25.034071,29.586066,115.727243,0.000000,20.060421,405.243729,142.750749,41.679428,74.51,11.182927,2.350658,0.000000,0.000000,0.000000,0.000000,1.409267,65.766165,0.000000,0,0,0,0,0

6,01:15-01:30,40.512341,8.170728,39.552583,80.399419,27.851892,0.000000,3.966796,1.346616,118.414019,0.000000,0.000000,0.783837,1.347745,90.305764,666.018571,16.053045,33.462286,14.209029,0.000000,47.006995,53.407983,40.786697,636.640056,3.239850,20.084614,121.248253,118.953748,0.000000,40.570661,41.659485,0.000000,50.308022,0.000000,12.684225,25.034071,29.586066,115.727243,0.000000,20.060421,405.243729,142.750749,41.704967,74.51,11.486839,2.350658,0.000000,0.000000,0.000000,0.000000,1.409267,65.766165,0.000000,0,0,0,0,0

