Block,Time,NAPP,KISHANGANGA,SINGRAULI,RIHAND3,DADRI_LF,SEWA2,RAMPUR,UNCHAHAR4,UNCHAHAR1,ANTA_RF,RAPPB,URI,RIHAND1,URI2,RAPPC,KOTESHWR,SINGRAULI_HYDRO,UNCHAHAR2,TANDA2,KOLDAM,AURY_LF,ANTA_GF,JHAJJAR,CHAMERA3,AURY_CRF,NJPC,TANAKPUR,CHAMERA1,TEHRI,SALAL,AURY_GF,BSIUL,UNCHAHAR3,ANTA_CRF,ANTA_LF,AURY_RF,PARBATI3,CHAMERA2,DADRT2,DADRI_RF,DADRI_GF,DADRI_CRF,DHAULIGNGA,RIHAND2,DULHASTI,KHSTPP-I,BRBCL,TALA,KUDGI,KHSTPP-II,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,32.955137,0.000000,134.754563,119.621759,0.000000,5.028703,0.000000,0.000000,19.331490,0.000000,0.000000,28.833278,88.991600,16.915755,49.591149,17.167640,1.036249,40.406443,0.000000,0.000000,0.000000,0.000000,631.792092,18.722749,0.000000,135.756105,12.886758,27.127928,43.876728,78.680182,0.000000,6.277777,25.527144,5.602186,0.000000,7.268468,0.000000,38.218139,664.322252,24.062974,0.000000,0.000000,35.395151,114.262312,47.819981,38.751973,15.268362,24.172827,74.48,142.691864,11.280346,402.638625,0,0,0,0,0

2,00:15-00:30,32.955137,0.000000,134.754563,119.621759,0.000000,5.028703,0.000000,0.000000,19.331490,0.000000,0.000000,28.833278,88.991600,16.915755,49.591149,17.167640,1.036249,40.406443,0.000000,0.000000,0.000000,0.000000,631.792092,18.722749,0.000000,135.756105,12.886758,27.127928,43.876728,78.680182,0.000000,6.277777,25.527144,0.000000,0.000000,0.000000,0.000000,38.218139,664.322252,0.000000,0.000000,0.000000,35.395151,114.262312,47.819981,38.751973,17.247579,24.172827,74.48,142.691864,11.280346,402.638625,0,0,0,0,0

3,00:30-00:45,33.161752,0.000000,134.754563,119.621759,0.000000,5.028703,0.000000,0.000000,19.331490,0.000000,0.000000,23.493782,88.991600,31.749572,49.591149,17.167640,1.036249,40.406443,0.000000,0.000000,0.000000,0.000000,631.792092,18.722749,0.000000,135.756105,12.886758,27.127928,43.876728,78.680182,0.000000,6.277777,25.527144,0.000000,0.000000,0.000000,0.000000,38.218139,664.322252,0.000000,0.000000,0.000000,35.395151,114.262312,47.819981,38.751973,15.857749,24.172827,74.48,142.691864,11.280346,402.638625,0,0,0,0,0

4,00:45-01:00,33.161752,0.000000,134.754563,119.621759,0.000000,5.028703,0.000000,0.000000,19.331490,0.000000,0.000000,26.697480,88.991600,31.749572,49.591149,17.167640,1.036249,40.406443,0.000000,0.000000,0.000000,0.000000,631.792092,18.722749,0.000000,135.756105,12.886758,27.127928,43.876728,78.680182,0.000000,6.277777,25.527144,0.000000,0.000000,0.000000,0.000000,38.218139,664.322252,0.000000,0.000000,0.000000,35.395151,114.262312,47.819981,38.751973,18.821227,24.172827,74.48,142.691864,11.280346,402.638625,0,0,0,0,0

5,01:00-01:15,33.368368,0.000000,134.754563,119.621759,0.000000,5.028703,0.000000,0.000000,13.745720,0.000000,0.000000,26.697480,88.991600,31.749572,49.591149,17.167640,1.036249,41.003944,0.000000,0.000000,0.000000,0.000000,625.577189,18.722749,0.000000,135.756105,12.886758,27.127928,43.876728,73.060169,0.000000,6.307570,18.184853,0.000000,0.000000,0.000000,0.000000,38.218139,604.022843,0.000000,0.000000,0.000000,35.395151,114.262312,47.819981,38.750038,17.149113,24.172827,74.48,142.691864,11.278718,402.638625,0,0,0,0,0

6,01:15-01:30,33.368368,0.000000,134.754563,119.621759,0.000000,5.028703,0.000000,0.000000,13.745720,0.000000,0.000000,26.697480,88.991600,31.749572,49.591149,17.167640,1.036249,41.003944,0.000000,0.000000,0.000000,0.000000,625.577189,18.722749,0.000000,135.756105,12.886758,27.127928,43.876728,73.060169,0.000000,6.307570,18.184853,0.000000,0.000000,0.000000,0.000000,38.218139,555.657843,0.000000,0.000000,0.000000,35.395151,114.262312,47.819981,38.750038,16.884282,24.172827,74.48,142.691864,11.278718,402.638625,0,0,0,0,0

7,01:30-01:45,33.574983,0.000000,134.754563,119.621759,0.000000,5.028703,0.000000,0.000000,13.745720,0.000000,0.000000,45.919666,88.991600,14.963938,49.591149,17.167640,1.036249,41.003944,0.000000,0.000000,0.000000,0.000000,625.577189,18.722749,0.000000,135.756105,12.886758,27.127928,43.876728,73.060169,0.000000,6.307570,18.184853,0.000000,0.000000,0.000000,0.000000,38.218139,507.292843,0.000000,0.000000,0.000000,35.395151,114.262312,47.819981,38.750038,13.708939,24.172827,74.48,142.691864,11.278718,402.638625,0,0,0,0,0

