Column1,Block,WR/2025/26499/A/60307,WR/2025/26426/A/60061,NR/2025/25159/A/59949,NR/2025/25516/A/60247,NR/2025/25744/C,NR/2025/25518/A/60260,NR/2025/25517/A/60253,NR/2025/25745/C,WR/2025/26427/A/60227,WR/2025/26582/A/60305,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/9482,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/SR/2025/03/01/7500,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/4651,GNA/WR/2025/01/01/8625,Total
,,APPCPL,KEIPL,ITCLH,ABLWM1_AEROCITY,SJVNL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,SJVNL,KEIPL,APPCPL,SECI_Trader,NDMC,DELHI,NDMC,PUNJAB,APPCPL,NDMC,NDMC,NDMC,APPCPL,APPCPL,PTC,PTC,BAWANA_GAS,NDMC,TPTCL,
,,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,
,,BRPL,BYPL,ITCWIND,TCSPL_BKN2,TPSL_BKN2,TCSPL_BKN2,TCSPL_BKN2,RSRPL_BKN,BRPL,BRPL,APSEPL_FTG,JIPL,CHANJUII,TRN_ENERGY,BAWANA_GAS,BYPL,RKM_POWER,RKM_POWER,JPL2,BYPL,BRPL,BRPL,BYPL,BAWANA_GAS,SKS_Raigarh,BYPL,
,,MSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,MSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,HARYANA_STATE,DELHI_UT,MSEB_State,
,,AEML,CSEB_Beneficiary,ITCLH,ABLWM1_AEROCITY,NDMC,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,TPDDL,NDMC,TPDDL,NDMC,PUNJAB,AEML,NDMC,NDMC,NDMC,KSEB,AEML,HP,HP,HARYANA,NDMC,TPC_MSEB,
,,North-West,North-West,South-West-North,North-North,North-North,North-North,North-North,North-North,North-West,North-West,North-North,East-North,North-North,West-North,North-North,North-West,West-North,West-North,West-North,North-West-South,North-West,North-North,North-North,North-North,West-North,North-West,
1,00:00-00:15,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.55,6.75,32,0,23.41,23.41,23.41,200,42,237.82,79.27,32,8.67,0,949.4599999999999

2,00:15-00:30,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.55,6.75,32,0,23.41,23.41,23.41,200,42,237.82,79.27,32,8.67,0,949.4599999999999

3,00:30-00:45,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.55,6.75,32,0,23.41,23.41,23.41,200,42,237.82,79.27,32,8.67,0,949.4599999999999

4,00:45-01:00,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.55,6.75,32,0,23.41,23.41,23.41,200,42,237.82,79.27,32,8.67,0,949.4599999999999

5,01:00-01:15,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.46,6.75,32,0,23.41,23.41,23.41,200,42,237.82,79.27,32,8.67,0,949.37

