Block,Time,L_NR_2019_07,L_NR_2021_14,L_NR_2021_12,L_NR_2021_15,L_NR_2019_19,L_NR_2022_08,L_NR_2020_05,L_NR_2021_17,L_NR_2022_10,L_NR_2021_13,L_NR_2019_06,L_NR_2022_09,L_NR_2020_07,L_NR_2018_61,L_NR_2021_16,L_NR_2019_05,L_NR_2020_06,LT-59,LT-36,LT-35,LT-05,L_NR_2023_04,L_NR_2019_11,SH-07,L_NR_2012_04,L_NR_2012_01,L_NR_2012_07,LT-31,SH-06,L_NR_2012_02,L_NR_2020_02
1,00:00-00:15,0,0,0,0,0,6.34,22.12,0,13.51,0,0,13.51,7.39,40.09,0,0,7.37,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

2,00:15-00:30,0,0,0,0,0,6.34,22.17,0,13.51,0,0,13.51,7.39,43.14,0,0,7.39,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

3,00:30-00:45,0,0,0,0,0,6.35,22.18,0,13.5,0,0,13.5,7.41,43.03,0,0,7.39,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

4,00:45-01:00,0,0,0,0,0,6.36,22.19,0,13.45,0,0,13.45,7.4,43.18,0,0,7.4,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

5,01:00-01:15,0,0,0,0,0,6.37,22.2,0,13.4,0,0,13.4,7.4,43.06,0,0,7.4,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

6,01:15-01:30,0,0,0,0,0,6.37,22.2,0,13.54,0,0,13.54,7.41,43.08,0,0,7.4,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

7,01:30-01:45,0,0,0,0,0,6.38,22.23,0,13.38,0,0,13.38,7.4,43.11,0,0,7.41,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

8,01:45-02:00,0,0,0,0,0,6.39,22.3,0,13.65,0,0,13.65,7.44,43.16,0,0,7.43,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

9,02:00-02:15,0,0,0,0,0,6.39,22.31,0,13.56,0,0,13.56,7.43,43.12,0,0,7.44,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

10,02:15-02:30,0,0,0,0,0,6.39,22.31,0,13.51,0,0,13.51,7.43,43.18,0,0,7.44,10.410000,0.000000,0.000000,115.890000,30.890000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

11,02:30-02:45,0,0,0,0,0,6.39,22.34,0,13.48,0,0,13.48,7.44,43.21,0,0,7.45,10.410000,0.000000,0.000000,115.890000,31.860000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

12,02:45-03:00,0,0,0,0,0,6.4,22.34,0,13.37,0,0,13.37,7.45,43.19,0,0,7.45,10.410000,0.000000,0.000000,115.890000,31.860000,0.000000,30.890000,271.520000,101.130000,74.030000,0.000000,25.510000,261.240000,11.880000

13,03:00-03:15,0,0,0,0,0,6.4,22.36,0,13.45,0,0,13.45,7.46,43.19,0,0,7.45,10.410000,0.000000,0.000000,115.890000,31.860000,0.000000,30.890000,271.520000,101.130000,64.870000,0.000000,25.510000,261.240000,11.880000

14,03:15-03:30,0,0,0,0,0,6.41,22.38,0,13.36,0,0,13.36,7.46,43.19,0,0,7.46,10.410000,0.000000,0.000000,115.890000,31.860000,0.000000,30.890000,271.520000,101.130000,64.870000,0.000000,25.510000,261.240000,11.880000

15,03:30-03:45,0,0,0,0,0,6.41,22.29,0,13.58,0,0,13.58,7.43,43.08,0,0,7.43,10.410000,0.000000,0.000000,115.890000,31.860000,0.000000,30.890000,271.520000,101.130000,64.870000,0.000000,25.510000,261.240000,11.880000

16,03:45-04:00,0,0,0,0,0,6.42,22.35,0,13.55,0,0,13.55,7.45,43.18,0,0,7.45,10.410000,0.000000,0.000000,115.890000,31.860000,0.000000,30.890000,271.520000,101.130000,64.870000,0.000000,25.510000,261.240000,11.880000

17,04:00-04:15,0,0,0,0,0,6.42,22.01,0,13.38,0,0,13.38,7.34,43.09,0,0,7.34,10.410000,0.000000,0.000000,115.890000,31.860000,0.000000,30.890000,271.520000,101.130000,64.870000,0.000000,25.510000,261.240000,11.880000

18,04:15-04:30,0,0,0,0,0,6.43,22.44,0,13.65,0,0,13.65,7.48,43.05,0,0,7.48,10.410000,0.000000,0.000000,115.890000,31.860000,0.000000,30.890000,271.520000,101.130000,64.870000,0.000000,25.510000,261.240000,11.880000

