Time,Block,NR/2023/11343/F,NR/2023/11097/F,NR/2023/11099/F,NR/2023/11678/C,NR/2023/11221/F,NR/2023/11367/F,NR/2023/11369/F,NR/2023/10433/A,NR/2023/11102/F,NR/2023/11154/F,NR/2023/10197/A,NR/2023/10181/A,NR/2023/10486/A,NR/2023/11681/C,NR/2023/11166/F,NR/2023/11676/C,NR/2023/11096/F,NR/2023/11368/F,NR/2023/11683/C,NR/2023/10182/A,NR/2023/11693/C,NR/2023/11682/C,NR/2023/11104/F,NR/2023/11100/F,NR/2023/11685/C,NR/2023/11687/C,NR/2023/11341/F,NR/2023/11095/F,NR/2023/11665/D,NR/2023/11662/D,NR/2023/11664/D,Total
,,IEXL,SHPPBPL,SHPPBPL,SJVNL,IEXL,SHPPBPL,SHPPBPL,NVVNL,SHPPBPL,HPXL,TPTCL,NVVNL,TPTCL,PXIL,IEXL,GBHHPL,SHPPBPL,SHPPBPL,HPXL,NVVNL,HPXL,TPDDL,SHPPBPL,SHPPBPL,IEXL,HPXL,IEXL,APPCPL,TS1PL_BKN,NVVNL,TS1PL_BKN,Total

,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KARNATAKA,NA,NA,NA,KARNATAKA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,NA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TELANGANA,MANIPUR,NA,NA,NA,
,,JSPL_DCPP,SHPPBPL,SHPPBPL,IPCL_WB,KPRSUGAR,SHPPBPL,SHPPBPL,SEIL,SHPPBPL,NIRANISUGAR,JPL,ILFS,APNRL,JSWEL,VISHWARAJSUGAR,GBHHPL,SHPPBPL,SHPPBPL,BCMLB001,JPNIGRIE_JNSTPP,CBKSSKNKAR,CHANJUII,SHPPBPL,SHPPBPL,MALANA,Teesta_III,NAVABHARAT,Manipur_Ben,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,MHIL,UHL,NDMC,BRPL,BAL184,BAL234,TPDDL,JHPL-DL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,DIAPL,MAX-HPTL,BAL224,BYPL,BRPL,BYPL,TPDDL,AISHER,BMDRC,BYPL,BRPL,BRPL,STT,BYPL,MES (Delhi),BRPL,
,,West-North,North-North,North-North,East-North,South-West-North,North-North,North-North,South-West-North,North-North,South-East-North,West-North,South-West-North,East-North,South-West-North,South-West-North,North-North,North-North,North-North,North-North,West-North,South-East-North,North-North,North-North,North-North,North-North,East-North,South-West-North,North East-East-North,North-North,West-North,North-North,
1,00:00-00:15,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,61.630000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.910000,0.450000,0.530000,31.780000,96.290000,115.550000,2.890000,0,0,0,684.17

2,00:15-00:30,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,61.630000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.910000,0.450000,0.530000,31.780000,96.290000,115.550000,2.890000,0,0,0,684.17

3,00:30-00:45,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,61.630000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.910000,0.450000,0.530000,31.780000,96.290000,115.550000,2.890000,0,0,0,684.17

4,00:45-01:00,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,61.630000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.910000,0.450000,0.530000,31.780000,96.290000,115.550000,2.890000,0,0,0,684.17

5,01:00-01:15,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.910000,0.450000,0.530000,31.780000,130.950000,115.550000,2.890000,0,0,0,657.2

6,01:15-01:30,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.910000,0.450000,0.530000,31.780000,116.510000,115.550000,2.890000,0,0,0,642.76

7,01:30-01:45,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.910000,0.450000,0.530000,31.780000,88.590000,115.550000,2.890000,0,0,0,614.84

8,01:45-02:00,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.910000,0.450000,0.530000,31.780000,62.590000,115.550000,2.890000,0,0,0,588.84

9,02:00-02:15,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.810000,0.450000,0.530000,19.260000,0.000000,115.550000,2.890000,0,0,0,513.63

10,02:15-02:30,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.810000,0.450000,0.530000,19.260000,0.000000,115.550000,2.890000,0,0,0,513.63

11,02:30-02:45,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.810000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.37

12,02:45-03:00,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.810000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.37

13,03:00-03:15,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

14,03:15-03:30,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

15,03:30-03:45,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

16,03:45-04:00,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

17,04:00-04:15,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

18,04:15-04:30,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

19,04:30-04:45,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

20,04:45-05:00,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

21,05:00-05:15,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

22,05:15-05:30,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

23,05:30-05:45,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

24,05:45-06:00,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.720000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.28

25,06:00-06:15,48.140000,0.360000,0.360000,0.000000,17.330000,0.310000,0.610000,24.070000,0.600000,9.630000,49.830000,99.660000,20.560000,0.000000,14.440000,30.570000,0.530000,0.310000,0.000000,49.830000,0.000000,7.810000,0.450000,0.530000,0.000000,0.000000,115.550000,2.890000,0,0,0,494.37

