Block,Time Block,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,CHAMERA2,CHAMERA3,UNCHAHAR3,UNCHAHAR1,UNCHAHAR2,SASAN,TALST2,TANAKPUR,TEHRIPSP,SIMHST1,TALA,SEWA2,SIMHST2,TEHRI,SINGRAULI,TelanganaSTPP,TANDA2,SINGRAULI_HYDRO,RSTPSU7,SALAL,RIHAND3,RSTPSU1TO6,ANTA_CRF,ANTA_GF,RIHAND1,NLCIIST1,RAPPB,NJPC,NLCIIST2,NLCTS2EXP,RAPPD,NNTPP,RAMPUR,NTPL,PARBATI3,RAPPC,PARBATI2,RIHAND2,NLCEXP,MAPS,NAPP,BRBCL,CHAMERA1,BSIUL,KKNP,KUDGI,KOTESHWR,KKNPPU2,KOLDAM,UNCHAHAR4,URI,URI2,VALLURNTECL,KGSU1AND2,KGSU3AND4,KHSTPP-II,JHAJJAR,KISHANGANGA,KHSTPP-I,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.47,20,53.24,67.71,45.3,32.63,26.62,20.81,43.26,329.88,0,12.56,0,0,17.75,0,0,57.22,142.09,0,5.34,0.92,0,80.99,125.79,0,0,0,94.52,0,0,169,0,0,0,0,5.48,0,31.45,62.89,0,120.43,0,0,23.54,14.74,40.52,12.54,0,0,39,0,8.29,3.1,31.84,37.47,0,0,0,142.58,162.5,6.78,43.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,1.47,20,53.24,58.1,45.3,32.63,26.62,20.81,43.26,329.88,0,12.56,0,0,17.75,0,0,57.22,142.09,0,5.34,0.92,0,80.99,125.79,0,0,0,94.52,0,0,169,0,0,0,0,5.48,0,31.45,62.89,0,120.43,0,0,23.54,12.08,40.52,12.54,0,0,39,0,8.29,3.1,31.84,37.47,0,0,0,142.58,162.5,6.78,43.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,20,53.24,29.26,45.3,32.63,26.62,20.81,43.26,329.88,0,12.56,0,0,17.75,0,0,57.22,142.09,0,5.34,0.92,0,80.99,125.79,0,0,0,94.52,0,0,169,0,0,0,0,5.48,0,31.45,62.89,0,120.43,0,0,23.54,11.18,40.52,12.54,0,0,39,0,8.29,3.1,25.47,23.98,0,0,0,142.58,190.41,6.78,43.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,20,53.24,8.1,45.3,32.63,26.62,20.81,43.26,329.88,0,12.56,0,0,17.75,0,0,57.22,142.09,0,5.34,0.92,0,80.99,125.79,0,0,0,94.52,0,0,169,0,0,0,0,5.48,0,31.45,62.89,0,120.43,0,0,23.54,11.22,40.52,12.54,0,0,39,0,8.29,3.1,25.47,23.98,0,0,0,142.58,142.35,6.78,43.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,20,53.24,8.1,45.3,32.63,21.54,16.45,35.26,329.88,0,12.56,0,0,17.75,0,0,57.22,142.09,0,5.34,0.92,0,80.99,125.79,0,0,0,94.52,0,0,169,0,0,0,0,5.48,0,31.45,62.89,0,120.43,0,0,23.54,11.06,40.52,12.54,0,0,39,0,8.29,3.1,25.47,23.98,0,0,0,142.58,131.78,6.78,43.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

