Block,Time,LT-35,LT-36,L_NR_2012_07,LT_MEJA_Delhi,SH-06,L_NR_2012_01,LT-59,L_NR_2012_04,SH-07,L_NR_2020_02,L_NR_2023_04,L_NR_2019_11,L_NR_2012_02,LT-31,LT-05,L_NR_2019_06,L_NR_2022_10,L_NR_2021_14,L_NR_2021_12,L_NR_2021_16,L_NR_2019_05,L_NR_2022_09,L_NR_2021_15,L_NR_2022_08,L_NR_2021_13,L_NR_2019_19,L_NR_2021_17,L_NR_2018_61,L_NR_2020_06,L_NR_2020_07,L_NR_2019_07,L_NR_2020_05
1,00:00-00:15,0.000000,0.000000,87.330000,3.910000,30.980000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,40.01,0,0,0,0,40.01,0,20.09,0,0,0,39.98,22.25,22.26,0,66.75

2,00:15-00:30,0.000000,0.000000,87.330000,3.910000,30.980000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,40.38,0,0,0,0,40.38,0,19.84,0,0,0,39.6,22.25,22.26,0,66.75

3,00:30-00:45,0.000000,0.000000,87.330000,3.910000,30.980000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,41,0,0,0,0,41,0,18.35,0,0,0,32.58,20.01,20,0,60.03

4,00:45-01:00,0.000000,0.000000,87.330000,3.910000,30.980000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,41.87,0,0,0,0,41.87,0,18.47,0,0,0,32.11,20.16,20.16,0,60.47

5,01:00-01:15,0.000000,0.000000,87.330000,3.910000,30.980000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,42.59,0,0,0,0,42.59,0,18.67,0,0,0,31.62,20.33,20.34,0,60.99

6,01:15-01:30,0.000000,0.000000,87.330000,3.910000,30.980000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,33.5,0,0,0,0,33.5,0,18.89,0,0,0,31.1,15.88,15.88,0,47.65

7,01:30-01:45,0.000000,0.000000,87.330000,3.910000,29.280000,101.420000,10.360000,272.310000,29.280000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,33.88,0,0,0,0,33.88,0,18.96,0,0,0,30.41,15.91,15.89,0,47.72

8,01:45-02:00,0.000000,0.000000,87.330000,3.910000,29.280000,101.420000,10.360000,272.310000,29.280000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,34.35,0,0,0,0,34.35,0,14.61,0,0,0,29.36,15.99,15.98,0,47.96

9,02:00-02:15,0.000000,0.000000,87.330000,3.910000,0.000000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,34.84,0,0,0,0,34.84,0,14.63,0,0,0,24.82,16.01,15.99,0,48.02

10,02:15-02:30,0.000000,0.000000,87.330000,3.910000,0.000000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,35.31,0,0,0,0,35.31,0,14.64,0,0,0,23.83,16.07,16.06,0,48.21

11,02:30-02:45,0.000000,0.000000,87.330000,3.910000,8.710000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,35.62,0,0,0,0,35.62,0,14.66,0,0,0,23.1,16.11,16.1,0,48.33

12,02:45-03:00,0.000000,0.000000,87.330000,3.910000,8.710000,101.420000,10.360000,272.310000,30.980000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,36.18,0,0,0,0,36.18,0,14.68,0,0,0,22.63,16.12,16.11,0,48.35

13,03:00-03:15,0.000000,0.000000,87.330000,3.910000,19.060000,101.420000,10.360000,272.310000,19.060000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,36.74,0,0,0,0,36.74,0,14.69,0,0,0,22.09,16.16,16.15,0,48.47

14,03:15-03:30,0.000000,0.000000,87.330000,3.910000,19.060000,101.420000,10.360000,272.310000,19.060000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,37.01,0,0,0,0,37.01,0,15.21,0,0,0,21.37,16.18,16.16,0,48.53

15,03:30-03:45,0.000000,0.000000,87.330000,3.910000,20.860000,101.420000,10.360000,272.310000,20.860000,11.920000,0.000000,10.790000,261.990000,0.000000,116.220000,0,45.76,0,0,0,0,45.76,0,18.21,0,0,0,26.13,20.67,20.66,0,62

