Column1,Time,GNA/NR/2025/06/01/9719,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,GNA/NR/2025/04/01/8510,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/10/8283,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/04/01/8964,GNA/NR/2025/06/01/7786,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/10/4813,GNA/NR/2025/06/01/7762,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/8456,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/06/07/5932
1,00:00-00:15,24.16,9.37,130.74,9.74,24.16,11.9,29.16,21.67,50,50,17.33,0,21.67,64.99,0,0,0,0,0,23.01,0,0,0,0,0,0,0,15.35,133.35,32,0,62.81,0,109.19,57.96,48.32,11.91,48.32,7.09,48.32,87.16,32,0,0,24.16,100.67,9.48,0,10.34,14.33,29.27,-0

2,00:15-00:30,24.16,9.37,130.74,9.74,24.16,11.9,29.16,21.33,50,50,17,0,21.33,64.01,0,0,0,0,0,23.01,0,0,0,0,0,0,0,15.35,133.35,32,0,62.81,0,111.12,57.96,48.32,11.91,48.32,7.09,48.32,87.16,32,0,0,24.16,100.67,9.48,0,10.34,14.33,29.27,-0

3,00:30-00:45,24.16,9.37,130.74,9.74,24.16,11.9,29.16,20.83,50,50,16.67,0,20.83,62.51,0,0,0,0,0,27.01,0,0,0,0,0,0,0,15.35,133.35,32,0,62.81,0,111.12,57.96,48.32,11.91,48.32,7.09,48.32,87.16,32,0,0,24.16,100.67,10.4,0,10.34,14.33,29.27,-0

4,00:45-01:00,24.16,9.37,130.74,9.74,24.16,11.9,29.16,20.5,50,50,16.33,0,20.5,61.5,0,0,0,0,0,26.61,0,0,0,0,0,0,0,15.35,133.35,32,0,62.81,0,112.09,57.96,48.32,11.91,48.32,7.09,48.32,87.16,32,0,0,24.16,100.67,10.4,0,10.34,14.33,29.27,-0

5,01:00-01:15,24.16,8.9,130.74,9.35,24.16,11.9,29.16,20.17,50,50,16.67,0,20.17,60.49,0,0,0,0,0,26.01,0,0,0,0,0,0,0,15.35,133.35,32,0,62.81,0,113.06,57.96,48.32,11.91,48.32,7.09,48.32,87.16,32,0,0,24.16,100.67,10.02,0,10.34,14.06,30.27,-0

