Time,Block,WR/2023/20577/A/2400,NR/2023/18219/C,NR/2023/18105/A/2344,NR/2023/18074/A/2312,NR/2023/17525/A,NR/2023/18062/A/2332,WR/2023/20256/A/2403,WR/2023/19446/A,NR/2023/17270/A,NR/2023/18218/C,NER/2023/1802/C,Total
,,APPCPL,NVVNL,IEXL,ITCLH,APPCPL,IEXL,MANIKARAN,MANIKARAN,GMRETL,TPDDL,PXIL,Total

,,DELHI,NA,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,HIMACHAL PRADESH,DELHI,
,,BRPL,SOLAPUR_SOLAR,BSHP,ITCWIND,BYPL,SNJSUGARLTDAP,BRPL,BYPL,BYPL,CHANJUII,BYPL,
,,GOA,DELHI,DELHI,DELHI,HIMACHAL PRADESH,DELHI,GOA,MAHARASHTRA,RAJASTHAN,DELHI,ARUNACHAL PRADESH,
,,GOA_Beneficiary,MES (Delhi),MES (Delhi),ITCLH,HP,MES (Delhi),GOA_Beneficiary,AEML,RUVNL,TPDDL,Arunachal_Ben,
,,North-West,West-North,North-North,South-West-North,North-North,South-East-North,North-West,North-West,North-North,North-North,North-East-North East,
1,00:00-00:15,0.000000,0,0.960000,0.430000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.06

2,00:15-00:30,0.000000,0,0.960000,0.430000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.06

3,00:30-00:45,0.000000,0,0.960000,0.430000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.06

4,00:45-01:00,0.000000,0,0.960000,0.430000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.06

5,01:00-01:15,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.02

6,01:15-01:30,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.02

7,01:30-01:45,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.02

8,01:45-02:00,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.02

9,02:00-02:15,0.000000,0,0.960000,0.340000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,173.97

10,02:15-02:30,0.000000,0,0.960000,0.340000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,173.97

11,02:30-02:45,0.000000,0,0.960000,0.340000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,173.97

12,02:45-03:00,0.000000,0,0.960000,0.340000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,173.97

13,03:00-03:15,0.000000,0,0.960000,0.340000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,173.97

14,03:15-03:30,0.000000,0,0.960000,0.340000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,173.97

15,03:30-03:45,0.000000,0,0.960000,0.340000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,173.97

16,03:45-04:00,0.000000,0,0.960000,0.340000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,173.97

17,04:00-04:15,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.02

18,04:15-04:30,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.02

19,04:30-04:45,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.02

20,04:45-05:00,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,40.000000,174.02

21,05:00-05:15,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,134.02

22,05:15-05:30,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,134.02

23,05:30-05:45,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,134.02

24,05:45-06:00,0.000000,0,0.960000,0.390000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,134.02

25,06:00-06:15,0.000000,0,0.960000,0.390000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,182.91

26,06:15-06:30,0.000000,0,0.960000,0.390000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,182.91

27,06:30-06:45,0.000000,0,0.960000,0.390000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,182.91

28,06:45-07:00,0.000000,0,0.960000,0.390000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,182.91

29,07:00-07:15,0.000000,0,0.960000,0.530000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,183.05

30,07:15-07:30,0.000000,0.24,0.960000,0.530000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,183.29

31,07:30-07:45,0.000000,0.46,0.960000,0.530000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,183.51

32,07:45:08:00,0.000000,0.91,0.960000,0.530000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,183.96

