Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/6490,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/10/9513,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/7459,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/8510,NR/01102023/22052037/LT-59,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/8456
1,00:00-00:15,0,0,0,0,0,49.99,0,16.67,0,0,6.2,0,0,0,0,16.33,16.67,54,54,9.62,9.62,32,32,0,0,1.92,48.12,260.45,4.45,115.09,9.49,0,0,9.62,29.27,2.89,7.68,4.27,52.5,36.58,272.15,92.26,0,3.54,0,48.12,2.89,2.89,8.04

2,00:15-00:30,0,0,0,0,0,49.99,0,16.67,0,0,5.8,0,0,0,0,16,16.67,54,54,9.62,9.62,32,32,0,0,1.92,48.12,260.45,4.45,115.09,9.49,0,0,9.62,29.27,2.89,7.68,4.27,52.5,36.58,272.15,92.26,0,3.54,0,48.12,2.89,2.89,8.04

3,00:30-00:45,0,0,0,0,0,49.99,0,16.67,0,0,7,0,0,0,0,16,16.67,48,48,9.62,9.62,32,32,0,0,1.92,48.12,260.45,4.45,115.09,9.49,0,0,9.62,29.27,2.89,7.68,4.27,52.5,36.58,272.15,92.26,0,3.54,0,48.12,2.89,2.89,8.04

4,00:45-01:00,0,0,0,0,0,49.99,0,16.67,0,0,6.4,0,0,0,0,15.67,16.67,46.67,46.67,9.62,9.62,32,32,0,0,1.92,48.12,260.45,4.45,115.09,9.49,0,0,9.62,29.27,2.89,7.68,4.27,52.5,36.58,272.15,92.26,0,3.54,0,48.12,2.89,2.89,8.04

5,01:00-01:15,0,0,0,0,0,52.01,0,17.33,0,0,6,0,0,0,0,16,17.33,45.67,45.67,9.62,9.62,32,32,0,0,1.92,48.12,260.45,4.45,115.09,9.39,0,0,9.62,30.79,2.89,7.68,4.27,52.5,36.58,272.15,92.26,0,3.54,0,48.12,2.89,2.89,8.04

6,01:15-01:30,0,0,0,0,0,54,0,18,0,0,5.8,0,0,0,0,16,18,44,44,9.62,9.62,32,32,0,0,1.92,48.12,260.45,4.45,115.09,9.39,0,0,9.62,31.29,2.89,7.68,4.27,52.5,36.58,272.15,92.26,0,3.54,0,48.12,2.89,2.89,8.04

