Block,Time Block,RIHAND1,RIHAND2,MAPS,KOTESHWR,KUDGI,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,DHAULIGNGA,KHSTPP-I,CHAMERA2,CHAMERA3,CHAMERA1,DADRT2,BRBCL,BSIUL,RAPPD,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,RSTPSU1TO6,SIMHST2,TALA,RSTPSU7,SEWA2,SINGRAULI,TEHRI,SALAL,RIHAND3,TANDA2,NLCEXP,NLCIIST1,RAPPB,NJPC,NLCIIST2,NLCTS2EXP,RAMPUR,NAPP,NNTPP,NTPL,PARBATI3,PARBATI2,RAPPC,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,KHSTPP-II,ANTA_LF,ANTA_CRF,ANTA_GF,FSTPP I & II,DULHASTI,KGSU3AND4,JHAJJAR,KGSU1AND2,UNCHAHAR4,URI2,URI,VALLURNTECL,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,654.76,17.82,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,11.65,27.95,100.14,5.29,0,0,0,79.82,0,0,3.17,24.78,0,0,19.19,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,441,0,1.75,38.17,50.39,0,20.8,26.63,42.33,0,0,0,0,0

2,00:15-00:30,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,654.76,16.45,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,11.65,76.39,100.14,5.29,0,0,0,79.82,0,0,3.17,24.78,0,0,19.19,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,441.32,0,1.75,38.17,50.39,0,20.82,26.63,42.33,0,0,0,0,0

3,00:30-00:45,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,654.76,15.4,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,0,76.39,100.14,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,19.19,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,425.38,0,1.75,38.17,50.39,0,20.82,26.63,42.33,0,0,0,0,0

4,00:45-01:00,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,654.76,12.74,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,0,76.39,100.14,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,19.19,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,425.38,0,1.75,38.17,50.39,0,20.82,26.63,42.33,0,0,0,0,0

5,01:00-01:15,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,654.86,11.31,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,0,76.39,113.02,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,19.19,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,386.88,0,1.75,35.85,50.39,0,20.82,26.63,42.33,0,0,0,0,0

6,01:15-01:30,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,654.86,12.48,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,0,24.61,124.77,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,19.19,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,386.88,0,1.75,35.85,50.39,0,20.82,26.63,42.33,0,0,0,0,0

7,01:30-01:45,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,601.18,11.92,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,0,24.61,118.17,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,19.19,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,377.32,0,1.64,35.85,47.81,0,20.82,26.63,42.33,0,0,0,0,0

8,01:45-02:00,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,530.84,11.46,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,0,24.61,100.14,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,19.19,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,377.32,0,1.64,35.85,47.81,0,20.82,26.63,42.33,0,0,0,0,0

9,02:00-02:15,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,434.61,10.3,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,0,38.02,100.14,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,16.23,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,377.32,0,1.64,35.85,48.34,0,20.82,26.63,42.33,0,0,0,0,0

10,02:15-02:30,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,434.61,10.8,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,0,38.02,100.14,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,16.23,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,377.32,0,1.64,35.85,48.34,0,20.82,26.63,42.33,0,0,0,0,0

11,02:30-02:45,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,434.61,13.87,18.82,28.37,402.98,0,0,0.94,6.03,0,0,0,0,0,18.19,144.64,0,38.02,100.14,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,16.23,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,347.37,0,1.64,35.85,48.34,0,20.82,26.63,42.33,0,0,0,0,0

12,02:45-03:00,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,33.69,27.04,434.61,11.99,18.82,28.37,402.98,0,0,0.94,6.03,0,0,0,0,0,18.19,144.64,0,38.02,100.14,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,16.23,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,347.37,0,1.64,35.85,48.34,0,20.82,26.63,42.33,0,0,0,0,0

13,03:00-03:15,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,22.44,27.04,434.76,12.07,18.82,28.37,402.98,0,0,0.94,6.03,0,0,0,0,0,18.19,144.64,0,38.02,123.44,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,16.23,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,347.37,0,1.64,35.85,48.34,0,20.82,26.63,42.33,0,0,0,0,0

14,03:15-03:30,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,22.44,27.04,434.76,12.07,18.82,28.37,402.98,0,0,0.94,6.03,0,0,0,0,0,18.19,144.64,0,38.02,125.84,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,16.23,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,337.75,0,1.64,35.85,48.34,0,20.82,26.63,42.33,0,0,0,0,0

15,03:30-03:45,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,22.44,27.04,434.76,12.17,18.82,28.37,402.98,0,0,0.94,6.03,0,0,0,0,0,18.19,144.64,0,38.02,125.84,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,16.23,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,308.88,0,1.64,35.85,48.34,0,16.67,21.3,33.84,0,0,0,0,0

16,03:45-04:00,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,22.44,27.04,434.76,16.62,18.82,28.37,402.98,0,0,0.94,6.03,0,0,0,0,0,18.19,144.64,11.65,38.02,125.84,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,16.23,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,222.27,0,1.64,35.85,48.34,0,16.67,21.3,33.84,0,0,0,0,0

17,04:00-04:15,44.75,119.86,0,10.03,0,0,0,0,8.28,0,43.81,46.94,22.44,27.04,434.76,18.46,18.82,28.37,402.98,0,0,0.94,0.24,0,0,0,0,0,18.19,144.64,11.65,76.39,125.84,5.29,0,0,0,53.22,0,0,2.11,24.78,0,0,19.19,14.45,66.08,0,0,0,0,0,0,0,0,0,142.71,0,0,0,17.51,57.24,0,154.91,0,1.64,35.85,48.34,0,16.67,21.3,33.84,0,0,0,0,0

