Block,Time,FSTPP I & II,KHSTPP-II,NLCTS2EXP,NNTPP,RAPPB,SIMHST1,SIMHST2,TANDA2,DADRI_RF,CHAMERA3,KGSU3AND4,KKNP,NLCIIST2,RAPPD,SALAL,SEWA2,UNCHAHAR4,URI2,AURY_RF,JHAJJAR,KHSTPP-I,KUDGI,NLCIIST1,RSTPSU7,ANTA_LF,DADRT2,DHAULIGNGA,DULHASTI,KISHANGANGA,MAPS,PARBATI3,RAPPC,RIHAND2,RIHAND3,SINGRAULI,TALST2,TANAKPUR,ANTA_RF,KGSU1AND2,NLCEXP,PARBATI2,SASAN,AURY_GF,BRBCL,KKNPPU2,NAPP,NTPL,RAMPUR,RSTPSU1TO6,SINGRAULI_HYDRO,UNCHAHAR2,VALLURNTECL,AURY_CRF,DADRI_GF,DADRI_LF,KOTESHWR,NJPC,RIHAND1,TEHRI,TelanganaSTPP,UNCHAHAR1,URI,ANTA_CRF,AURY_LF,BSIUL,CHAMERA1,CHAMERA2,KOLDAM,TALA,TEHRIPSP,UNCHAHAR3,ANTA_GF,DADRI_CRF
1,00:00-00:15,19.6,148.3,0,0,0,0,0,6.62,71.9,35.09,0,0,0,25.15,85.41,0,2.39,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,48.64,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,20.88,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,4.21,51.99,27.99,0,0

2,00:15-00:30,19.6,148.3,0,0,0,0,0,6.62,71.9,35.09,0,0,0,25.15,85.41,0,2.39,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,48.64,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,20.88,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,4.21,51.99,27.99,0,0

3,00:30-00:45,19.6,148.3,0,0,0,0,0,6.61,71.9,35.09,0,0,0,25.15,85.41,0,2.4,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,48.64,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,20.88,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,4.21,51.99,27.99,0,0

4,00:45-01:00,19.6,148.3,0,0,0,0,0,6.62,71.9,35.09,0,0,0,25.15,85.41,0,2.4,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,48.64,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,20.88,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,4.21,0,27.99,0,0

5,01:00-01:15,19.6,148.3,0,0,0,0,0,6.61,71.9,35.09,0,0,0,25.15,85.41,0,2.39,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,48.64,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,10.44,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,4.21,0,27.99,0,0

6,01:15-01:30,19.6,148.3,0,0,0,0,0,6.62,71.9,35.09,0,0,0,25.15,85.41,0,2.39,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,49.3,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,10.44,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,4.21,0,27.99,0,0

7,01:30-01:45,19.6,148.3,0,0,0,0,0,6.62,71.89,35.09,0,0,0,25.15,85.41,0,2.4,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,49.3,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,10.44,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,5.39,0,27.99,0,0

8,01:45-02:00,19.6,148.3,0,0,0,0,0,6.61,71.89,35.09,0,0,0,25.15,85.41,0,2.39,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,49.3,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,10.44,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,5.39,0,27.99,0,0

9,02:00-02:15,19.6,148.3,0,0,0,0,0,6.61,71.89,35.09,0,0,0,25.15,85.41,0,2.4,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,49.3,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,10.44,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,5.39,0,27.99,0,0

10,02:15-02:30,19.6,148.3,0,0,0,0,0,6.62,71.89,35.09,0,0,0,25.15,85.41,0,2.39,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,76.85,68.22,96.8,92.37,153.28,0,5.64,49.3,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,10.44,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,5.39,0,27.99,0,0

11,02:30-02:45,19.6,148.3,0,0,0,0,0,6.62,71.89,35.09,0,0,0,25.15,85.41,0,2.4,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,78.39,68.22,96.8,92.37,153.28,0,5.64,49.3,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.1,0,0,0,0,10.44,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,5.39,0,27.99,0,0

12,02:45-03:00,19.6,148.3,0,0,0,0,0,6.61,71.89,35.09,0,0,0,25.15,85.41,0,2.4,38.16,78.22,427.95,45.83,0,0,0,0,550.85,43.85,39.74,8.71,0,78.39,68.22,96.8,92.37,153.28,0,5.64,49.95,0,0,58.05,418.77,0,24.99,0,24.49,0,7.04,0,1.19,45.11,0,0,0,0,10.44,181.16,64.81,29.2,0,21.83,50.79,0,0,13.04,42.15,48.9,10.65,5.39,0,27.99,0,0

