Block,Time,SINGRAULI,RIHAND3,CHAMERA3,KISHANGANGA,PARBATI3,DULHASTI,DHAULIGNGA,SEWA2,BSIUL,AURY_RF,KOTESHWR,JHAJJAR,RIHAND2,SINGRAULI_HYDRO,URI,AURY_CRF,ANTA_LF,DADRI_RF,DADRI_GF,DADRI_CRF,ANTA_RF,CHAMERA1,CHAMERA2,TEHRI,URI2,TANDA2,UNCHAHAR3,DADRT2,RAMPUR,UNCHAHAR4,ANTA_GF,UNCHAHAR1,KOLDAM,ANTA_CRF,SALAL,RAPPC,UNCHAHAR2,AURY_LF,DADRI_LF,RIHAND1,RAPPB,NJPC,AURY_GF,NAPP,TANAKPUR,SASAN,TALA,BRBCL,FSTPP I & II,KHSTPP-II,KHSTPP-I,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,130.109738,119.485727,0.000000,0.000000,0.000000,15.921867,0.000000,0.000000,0.000000,0.000000,8.574059,340.102400,114.132375,0.572986,8.533478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.915073,0.000000,5.797200,313.825432,0.000000,0.000000,0.000000,7.199137,0.000000,0.000000,16.840866,49.657366,13.526800,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,3.713107,404.615574,0.142031,12.742246,8.796865,82.240616,35.117988,67.63,0,0,0,0,0

2,00:15-00:30,131.161650,119.485727,0.000000,0.000000,0.000000,15.921867,0.000000,0.000000,0.000000,0.000000,8.574059,340.102400,114.132375,0.572986,8.533478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.915073,0.000000,5.797200,299.332432,0.000000,0.000000,0.000000,4.831000,0.000000,0.000000,68.486188,49.657366,13.526800,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,3.713107,404.615574,0.142031,12.742246,8.796865,80.358178,35.117988,67.63,0,0,0,0,0

3,00:30-00:45,124.582408,119.485727,0.000000,0.000000,0.000000,15.921867,0.000000,0.000000,0.000000,0.000000,8.574059,340.102400,114.132375,0.572986,8.533478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.148527,0.000000,5.797200,284.839432,0.000000,0.000000,0.000000,4.831000,0.000000,0.000000,68.486188,49.657366,14.493000,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,3.713107,404.615574,0.142031,12.742246,8.796865,80.358178,35.117988,64.74,0,0,0,0,0

4,00:45-01:00,124.582408,119.485727,0.000000,0.000000,0.000000,15.921867,0.000000,0.000000,0.000000,0.000000,8.574059,340.102400,114.132375,0.572986,6.400109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.198929,0.000000,5.797200,284.839432,0.000000,0.000000,0.000000,4.831000,0.000000,0.000000,68.486188,49.657366,14.493000,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,4.950809,404.615574,0.142031,12.742246,8.796865,80.358178,35.117988,61.84,0,0,0,0,0

5,01:00-01:15,124.582408,119.485727,0.000000,0.000000,0.000000,15.921867,0.000000,0.000000,0.000000,0.000000,8.574059,340.102400,114.132375,0.572986,48.000816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.198929,0.000000,5.797200,284.839432,0.000000,0.000000,0.000000,4.831000,0.000000,0.000000,68.486188,49.657366,7.729600,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,11.519294,404.615574,0.142031,12.742246,8.796865,95.016108,37.424887,61.84,0,0,0,0,0

6,01:15-01:30,124.582408,119.485727,0.000000,0.000000,0.000000,15.921867,0.000000,0.000000,0.000000,0.000000,8.574059,340.102400,114.132375,0.572986,48.000816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.198929,0.000000,5.797200,250.633083,0.000000,0.000000,0.000000,4.831000,0.000000,0.000000,14.595417,49.657366,7.729600,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,11.519294,404.615574,0.142031,12.742246,8.796865,95.016108,37.424887,59.90,0,0,0,0,0

7,01:30-01:45,124.582408,119.485727,0.000000,0.000000,0.000000,15.921867,0.000000,0.000000,0.000000,0.000000,8.574059,340.102400,114.132375,0.572986,6.400109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.198929,0.000000,5.797200,231.888000,0.000000,0.000000,0.000000,4.831000,0.000000,0.000000,12.911331,49.657366,7.729600,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,11.519294,404.615574,0.142031,12.742246,8.796865,95.016108,37.424887,59.90,0,0,0,0,0

8,01:45-02:00,124.582408,119.485727,0.000000,0.000000,0.000000,15.921867,0.000000,0.000000,0.000000,0.000000,8.574059,340.102400,114.132375,0.572986,6.400109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.198929,0.000000,5.797200,231.888000,0.000000,0.000000,0.000000,4.831000,0.000000,0.000000,12.911331,49.657366,7.729600,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,11.519294,404.615574,0.142031,12.742246,8.796865,95.016108,37.424887,58.94,0,0,0,0,0

