Column1,Time,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/16/1676,GNA/SR/2025/02/01/6460,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/4863,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/9969,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,GNA/SR/2025/02/01/7432,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/02/01/5886,NR/01102023/31052040/LT-31,GNA/NR/2025/02/01/2143,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/11/01/4200,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/9606,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2025/01/01/8625,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,23.07,47.56,75,27.75,5.25,7.21,26.99,100.15,176.88,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,74.53,0,0,0.93,0,35.06,0,0,0,0,0,13.67,47,0,0,32.61,0,0,13.67,0,0,0,10,0,0,0,40.99,0,47

2,00:15-00:30,23.07,47.56,75,27.75,5.25,7.21,26.99,100.15,143.23,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,74.53,0,0,0.93,0,35.06,0,0,0,0,0,13.33,44.67,0,0,31.61,0,0,13.33,0,0,0,10,0,0,0,40.01,0,44.66

3,00:30-00:45,23.07,47.56,75,27.75,5.25,7.21,26.99,100.15,143.23,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,56.63,0,0,0.93,0,35.06,0,0,0,0,0,22.5,55,0,0,31.01,0,0,22.5,0,0,0,13.34,0,0,0,67.5,0,55

4,00:45-01:00,23.07,47.56,75,27.75,5.25,7.21,26.99,100.15,143.23,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,56.63,0,0,0.93,0,35.06,0,0,0,0,0,22.67,55,0,0,30.21,0,0,22.67,0,0,0,13.34,0,0,0,67.99,0,55

5,01:00-01:15,23.07,47.56,75,27.75,5.25,7.21,26.99,100.15,143.23,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,56.63,0,0,0.93,0,35.06,0,0.92,0,0,0,22.83,54.33,0,0,29.01,0,0,22.83,0,0,0,13.66,0,0,0,68.51,0,54.34

6,01:15-01:30,23.07,47.56,75,27.25,5.25,7.21,26.99,100.15,143.23,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,56.63,0,0,0.93,0,35.06,0,0.92,0,0,0,22.5,53.33,0,0,27.01,0,0,22.5,0,0,0,13.66,0,0,0,67.5,0,53.34

7,01:30-01:45,23.07,47.56,75,27.25,5.25,7.21,26.99,78.83,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.93,0,35.06,0,0.92,0,0,0,21.67,52.33,0,0,25.01,0,0,21.67,0,0,0,14,0,0,0,64.99,0,52.34

8,01:45-02:00,23.07,47.56,75,27.25,5.25,7.21,26.99,78.83,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.93,0,35.06,0,0.92,0,0,0,21.33,51,0,0,23.61,0,0,21.33,0,0,0,14.34,0,0,0,64.01,0,51

9,02:00-02:15,23.07,47.56,75,27.25,5.15,7.21,26.99,70.17,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.93,0,35.06,0,0,0,0,0,24.17,49.33,0,0,22.01,0,0,24.17,0,0,0,18.33,0,0,0,72.49,0,49.34

10,02:15-02:30,23.07,47.56,75,27.25,5.15,7.21,26.99,70.17,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.93,0,35.06,0,0,0,0,0,23.67,47.67,0,0,21.01,0,0,23.67,0,0,0,17.67,0,0,0,70.99,0,47.66

11,02:30-02:45,23.07,47.56,75,27.25,5.15,7.21,26.99,52.87,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.93,0,35.06,0,0,0,0,0,23.33,45.33,0,0,21.01,0,0,23.33,0,0,0,17,0,0,0,70.01,0,45.34

12,02:45-03:00,23.07,47.56,75,27.25,5.15,7.21,26.99,52.87,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.93,0,35.06,0,0,0,0,0,23,43.67,0,0,21.01,0,0,23,0,0,0,16.33,0,0,0,69,0,43.66

13,03:00-03:15,23.07,47.56,75,27.25,5.06,7.21,26.99,52.87,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.7,0,35.06,0,0.92,0,0,0,22.5,41.67,0,0,19.01,0,0,22.5,0,0,0,16,0,0,0,67.5,0,41.66

14,03:15-03:30,23.07,47.56,75,27.25,5.06,7.21,26.99,52.87,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.7,0,35.06,0,0.92,0,0,0,21.67,39,0,0,19.81,0,0,21.67,0,0,0,15.33,0,0,0,64.99,0,39

15,03:30-03:45,23.07,47.56,75,27.25,5.06,7.21,26.99,52.87,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.7,0,35.06,0,0,0,0,0,21.33,38.67,0,0,19.41,0,0,21.33,0,0,0,14.67,0,0,0,64.01,0,38.66

16,03:45-04:00,23.07,47.56,75,27.25,5.06,7.21,26.99,69.21,135.54,15.85,23.07,271.81,26.99,0,0,8.65,0,23.07,46.14,0,0,0.7,0,35.06,0,0,0,0,0,20.83,37.67,0,0,19.01,0,0,20.83,0,0,0,14,0,0,0,62.51,0,37.66

17,04:00-04:15,23.07,47.56,75,27.25,4.87,7.21,26.96,74.98,135.54,15.85,23.07,271.81,26.96,0,0,8.65,0,23.07,46.14,0,0,0.7,0,35.06,0,0,0,0,0,20,41.67,0,0,13.01,0,0,20,0,0,0,15.67,0,0,0,60,0,41.66

18,04:15-04:30,23.07,47.56,75,27.25,4.87,7.21,26.96,74.98,135.54,15.85,23.07,271.81,26.96,0,0,8.65,0,23.07,46.14,0,0,0.7,0,35.06,0,0,0,0,0,19.17,41.33,0,0,13.01,0,0,19.17,0,0,0,14.67,0,0,0,57.49,0,41.34

19,04:30-04:45,23.07,47.56,75,27.25,4.87,7.21,26.96,74.98,169.85,15.85,23.07,271.81,26.96,0,0,8.65,0,23.07,75.58,0,0,0.7,0,35.06,0,0.92,0,0,0,18.33,41,0,0,11,0,0,18.33,0,0,0,14,0,0,0,55.01,0,41

20,04:45-05:00,23.07,47.56,75,27.25,4.87,7.21,26.96,100.15,169.85,15.85,23.07,271.81,26.96,0,0,8.65,0,23.07,75.58,0,0,0.7,0,35.06,0,0.92,0,0,0,17.5,40,0,0,11,0,0,17.5,0,0,0,13.33,0,0,0,52.5,0,40

21,05:00-05:15,23.07,47.56,75,27.25,4.79,7.21,26.96,100.15,169.85,15.85,23.07,271.81,26.96,0,0,8.65,0,23.07,75.58,0,0,0.7,0,32.99,0,0,0,0,0,17.33,39.33,0,0,11,0,0,17.33,0,0,0,13,0,0,0,52.01,0,39.34

22,05:15-05:30,23.07,47.56,75,27.25,4.79,7.21,26.96,100.15,203.5,15.85,23.07,271.81,26.96,0,0,8.65,0,23.07,75.58,0,0,0.7,0,32.99,0,0,0,0,0,17.33,38.67,0,0,11,0,0,17.33,0,0,0,12.33,0,0,0,52.01,0,38.66

23,05:30-05:45,23.07,47.56,75,27.25,4.79,7.21,26.96,100.15,259.91,15.85,23.07,271.81,26.96,0,0,8.65,0,23.07,86.07,0,0,0.7,0,32.99,0,0,0,0,0,17.17,38.33,0,0,11,0,0,17.17,0,0,0,11.67,0,0,0,51.49,0,38.34

24,05:45-06:00,23.07,47.56,75,27.25,4.79,7.21,26.96,100.15,259.91,15.85,23.07,271.81,26.96,0,0,8.65,0,23.07,86.07,0,0,0.7,0,32.99,0,0,0,0,0,17.17,37.33,0,0,11,0,0,17.17,0,0,0,11,0,0,0,51.49,0,37.34

25,06:00-06:15,36.53,0,75,27.25,4.69,7.21,26.96,100.15,259.91,0,43.26,271.81,26.96,0,0,13.46,0,36.53,86.07,0,0,0,0,41.46,0,0,0,0,0.83,13.17,35.67,0,0.04,11,0,0,13.17,0,0,0,11.33,0,0,0,39.49,0,35.66

26,06:15-06:30,36.53,0,75,27.25,4.69,7.21,25.24,100.15,259.91,0,43.26,271.81,25.24,0,0,13.46,0,36.53,86.07,0,0,0,0,57.69,0,0,0,0,1.34,12.67,35.33,0,0.65,11,0,0,12.67,0,0,0,11,0,0,0,37.99,0,35.34

27,06:30-06:45,36.53,0,75,26.24,4.69,7.21,17.9,100.15,259.91,0,43.26,271.81,17.9,0,0,13.46,0,36.53,86.07,0,0,0.62,0,57.69,0,0.92,0,0,3.17,12.5,34.67,1,2.71,14.01,0,0,12.5,0,0,0,10.67,0,0,0,37.5,0,34.66

28,06:45-07:00,36.53,0,75,25.23,4.69,7.21,17.9,100.15,259.91,0,43.26,271.81,17.9,0,0,13.46,0,36.53,86.07,0,0,0.62,0,57.69,0,0.92,0,0.32,7.16,12.33,34.67,4,7.79,14.21,0,0,12.33,0,0,0,10.33,1.71,0,0,37.01,0,34.66

29,07:00-07:15,36.53,0,75,25.23,4.6,7.21,32,100.15,259.91,0,43.26,271.81,0,0,0,13.46,0,36.53,86.07,0,0,0.62,0,57.69,0,0,0,1.78,13.99,12.17,33.67,10,16.57,14.41,10,5,12.17,0,0,0,10,6.29,0,2,36.49,1,33.66

30,07:15-07:30,36.53,0,75,25.23,4.6,7.21,31.41,100.15,259.91,0,43.26,271.81,31.41,0,0,13.46,0,36.53,86.07,0,0,0.62,0,57.69,0,0,0,3.56,23.66,12.33,33,15,28.58,14.61,10,5,12.33,1,1,0.56,9.67,11.57,2.79,3,37.01,4,33

31,07:30-07:45,36.53,0,75,25.23,4.6,7.21,31.41,100.15,259.91,0,43.26,271.81,31.41,0,0.12,13.46,0.16,36.53,86.07,0.16,0,0.62,0,57.69,0,0,0,5.8,31,12.17,33,24,31,14.81,10,5,12.17,3,2,1.6,9.33,17.67,8.02,5,36.49,7,33

32,07:45-08:00,36.53,0,75,25.23,4.6,7.21,31.41,100.15,259.91,0,43.26,271.81,31.41,0,0.5,13.46,0.65,36.53,86.07,0.65,0,0.62,0,57.69,0,0,0,8.66,28.66,11.67,33,28.67,28.67,15.01,13,7,11.67,7,3,2.96,8.67,25.26,14.82,7,34.99,18,33

33,08:00-08:15,36.53,0,75,25.23,6.08,7.21,32,100.15,259.91,0,43.26,271.81,32,0,1.12,13.46,1.44,36.53,86.07,1.44,0,0.62,0,57.69,0,0,0,10,31.24,9.67,33,31.23,31.23,19.01,11,5,9.67,7,5,4.68,8.33,34.33,23.39,9,28.99,18,33

34,08:15-08:30,36.53,0,75,25.23,6.08,7.21,32,100.15,259.91,0,43.26,271.81,32,0,1.91,13.46,2.47,36.53,86.07,2.47,0,0.62,0,57.69,0,0,0,14.07,31.56,9.33,33,31.57,31.57,18.81,12,6,9.33,9,7,6.81,6.67,44.52,34.04,11,28.01,21,33

35,08:30-08:45,36.53,0,75,26.24,6.08,7.21,32,100.15,259.91,0,43.26,271.81,32,0,2.53,13.46,3.27,36.53,86.07,3.27,0,0.62,0,57.69,0,0.92,0,18.5,32.66,9,33.33,32.67,32.67,18.81,13,7,9,12,7,9.09,6.67,55.23,45.43,14,27,28,33.34

36,08:45-09:00,36.53,0,75,26.24,6.08,7.21,32,100.15,259.91,0,43.26,271.81,32,0,3.45,13.46,4.46,36.53,86.07,4.46,0,0.62,0,57.69,0,0.92,0,22.7,32.66,8.67,33,32.67,32.67,19.01,17,8,8.67,15,9,11.46,6.67,59.94,57.3,18,25.99,35,33

37,09:00-09:15,23.07,0,75,26.24,6.08,7.21,13.39,100.15,259.91,0,23.07,271.81,32,0,4.39,8.65,5.68,23.07,86.07,5.68,0,0.62,0,57.69,0,0,0,26.51,32.66,8.33,26.67,32.67,32.67,26.41,20,10,8.33,18,11,13.89,7.67,68.55,69.46,22,25.01,42,26.66

38,09:15-09:30,23.07,0,75,26.24,6.08,7.21,13.39,100.15,259.91,0,23.07,271.81,32,0,5.26,8.65,6.81,23.07,86.07,6.81,0,0.62,0,57.69,0,0,0,30.48,32.66,7.5,24,32.67,32.67,26.21,23,12,7.5,21,12,16.19,7.33,76.72,80.96,25,22.5,49,24

39,09:30-09:45,23.07,0,75,26.24,6.08,7.21,22.7,100.15,259.91,0,23.07,271.81,22.7,0,6.05,8.65,7.82,23.07,86.07,7.82,0,0.86,0,57.69,0,0,0,30,32.66,10.83,30.67,32.67,32.67,19.01,27,13,10.83,25,13,16.59,7.33,84.61,82.97,27,32.51,60,30.66

40,09:45-10:00,23.07,0,75,26.24,6.08,7.21,26.96,100.15,259.91,0,23.07,271.81,26.96,0,6.8,8.65,8.81,23.07,86.07,8.81,0,0.86,0,57.69,0,0,0,31.67,32.66,10,28.67,32.67,32.67,19.41,30,15,10,28,16,17.59,7.33,92.25,87.97,30,30,67,28.66

41,10:00-10:15,23.07,0,75,26.24,5.98,7.21,26.96,100.15,259.91,0,23.07,271.81,26.96,0,5.14,8.65,6.65,23.07,86.07,6.65,0,0.86,0,32.99,0,0,0,33.33,32.66,9.17,27,32.67,32.67,19.61,50,25,9.17,45,21,18.34,7.33,99.16,91.71,46,27.49,105,27

42,10:15-10:30,23.07,0,75,26.24,5.98,7.21,26.96,100.15,259.91,0,23.07,271.81,26.96,0,4.64,8.65,6,23.07,86.07,6,0,0.86,0,32.99,0,0,0,35,32.66,8.33,26,32.67,32.67,19.81,57,28,8.33,51,23,21.62,7.33,108.19,108.07,51,25.01,119,26

43,10:30-10:45,23.07,0,75,26.74,5.98,7.21,26.96,100.15,259.91,0,23.07,271.81,26.96,0,4.79,8.65,6.21,23.07,86.07,6.21,0,0.86,0,65.98,0,0.92,0,38.33,32.66,7.5,25.33,32.67,32.67,17.61,63,32,7.5,58,25,22.78,7.33,102.9,113.88,58,22.5,137,25.34

44,10:45-11:00,23.07,0,75,26.74,5.98,7.21,26.96,100.15,259.91,0,23.07,271.81,26.96,0,4.98,8.65,6.44,23.07,86.07,6.44,0,0.86,0,65.98,0,0.92,0,46.67,32.66,7.5,25.67,32.67,32.67,17.81,70,35,7.5,66,30,24.93,7.33,107.73,124.64,63,22.5,154,25.66

45,11:00-11:15,23.07,0,75,26.74,5.89,7.21,26.96,100.15,259.91,0,23.07,271.81,26.96,0,4.98,8.65,6.44,23.07,86.07,6.44,0,0.86,0,32.99,0,0,0,52.89,32.66,7.83,27.33,32.67,32.67,20.01,77,38,7.83,69,34,26.87,7.33,112.32,134.34,70,23.51,161,27.34

46,11:15-11:30,23.07,0,75,26.74,5.89,7.21,26.96,100.15,259.91,0,23.07,271.81,26.96,0,4.98,8.65,6.44,23.07,86.07,6.44,0,0.86,0,32.99,0,0,0,56.66,32.66,8.83,29,32.67,32.67,20.21,82,41,8.83,75,36,29.28,7.33,130.2,146.4,73,26.51,175,29

47,11:30-11:45,23.07,0,75,26.74,5.89,7.21,26.96,100.15,259.91,0,23.07,271.81,26.96,0,4.98,8.65,6.44,23.07,86.07,6.44,0,0.86,0,35.06,0,0,0,64.98,32.66,10,36.67,32.67,32.67,20.41,87,43,10,79,39,37.38,7.67,132.1,186.88,82,30,186,36.66

48,11:45-12:00,23.07,0,75,26.74,5.89,7.21,26.96,100.15,225.6,0,23.07,271.81,26.96,0,4.98,8.65,6.44,23.07,86.07,6.44,0,0.86,0,35.06,0,0,0,67.56,32.66,11.33,37.33,32.67,32.67,21.01,87,43,11.33,81,40,39.5,11,133.66,197.5,83,34.01,189,37.34

49,12:00-12:15,23.07,0,75,26.74,5.8,7.21,26.96,100.15,177.53,0,23.07,271.81,26.96,0,4.98,8.65,6.44,23.07,68.17,6.44,0,0.86,0,35.06,0,0,0,90,32.66,12.17,37.67,32.67,32.67,22.01,90,45,12.17,81,45,40.11,13.67,134.62,200.53,89,36.49,189,37.66

50,12:15-12:30,23.07,0,75,26.74,5.8,7.21,26.96,100.15,170.8,0,23.07,271.81,26.96,0,4.98,8.65,6.44,23.07,68.17,6.44,0,0.86,0,35.06,0,0,0,90,32.66,13,38.33,32.67,32.67,22.01,90,45,13,81,45,40.84,15.33,134.69,204.21,89,39,189,38.34

51,12:30-12:45,23.07,0,75,26.74,7.27,7.21,26.96,100.15,170.8,0,23.07,271.81,26.96,0,11.45,8.65,14.82,23.07,68.17,14.82,0,0.86,0,35.06,0,0,0,90,32.66,16,48.33,32.67,32.67,29.01,90,45,16,82,47,41.75,17,134.96,208.72,91,48,193,48.34

52,12:45-13:00,23.07,0,75,26.24,7.27,7.21,26.96,100.15,170.8,0,23.07,271.81,26.96,0,11.47,8.65,14.84,23.07,68.17,14.84,0,0.86,0,35.06,0,0,0,90,32.66,16.67,48.67,32.67,32.67,29.01,90,45,16.67,82,47,42.78,18.67,121.38,213.87,91,49.99,193,48.66

53,13:00-13:15,23.07,0,75,26.24,7.27,7.21,26.96,100.15,170.8,0,23.07,230.71,26.96,0,11.52,8.65,14.9,23.07,56.63,14.9,0,0.62,0,35.06,0,0.92,0,90,32.66,16.67,55,32.67,32.67,29.01,93,47,16.67,84,45,42.87,19,121,214.33,86,49.99,196,55

54,13:15-13:30,23.07,0,75,26.24,7.27,7.21,26.96,100.15,170.8,0,23.07,192.26,26.96,0,11.22,8.65,14.52,23.07,56.63,14.52,0,0.62,0,35.06,0,0.92,0,90,32.66,16.67,54,32.67,32.67,29.01,93,47,16.67,84,45,43.08,19,120.92,215.41,86,49.99,196,54

55,13:30-13:45,23.07,0,75,26.24,7.27,7.21,26.96,100.15,170.8,0,23.07,192.26,26.96,0,11.07,8.65,14.33,23.07,56.63,14.33,0,0.62,0,35.06,0,0,0,90,32.66,18.83,53,32.67,32.67,28.61,93,47,18.83,84,45,43.59,18.67,120.38,217.97,85,56.51,196,53

