Block,Time Block,KHSTPP-I,RSTPSU7,ANTA_RF,ANTA_LF,ANTA_GF,AURY_CRF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,RSTPSU1TO6,URI2,VALLURNTECL,ANTA_CRF,KGSU3AND4,KGSU1AND2,UNCHAHAR3,TEHRIPSP,UNCHAHAR2,URI,TEHRI,TelanganaSTPP,UNCHAHAR1,UNCHAHAR4,NLCEXP,TANDA2,TALST2,TANAKPUR,SINGRAULI_HYDRO,TALA,JHAJJAR,FSTPP I & II,RIHAND2,RIHAND1,RIHAND3,NNTPP,NTPL,PARBATI3,PARBATI2,NLCIIST1,NLCIIST2,NLCTS2EXP,RAMPUR,RAPPD,RAPPC,RAPPB,KHSTPP-II,KKNP,KISHANGANGA,DADRT2,DULHASTI,DHAULIGNGA,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,BRBCL,KUDGI,KKNPPU2,MAPS,NAPP,KOTESHWR,NJPC,KOLDAM,SASAN,SIMHST1,SIMHST2,SINGRAULI,SEWA2,SALAL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,31.71,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92,0,0,0,0,23.42,50.3,37.9,48.59,28.71,0,17.89,3.13,0,6.17,0,11.65,1.13,16.78,446.01,18.33,122.67,96.56,89.36,0,0,76.42,56.16,0,0,0,5.68,24.9,66.32,0,143.47,0,8.47,225.89,56.87,42.42,40.78,12.61,33.95,47.31,18.03,0,0,0,24.21,20.2,148.12,10.3,397.23,0,0,150.51,0,82.63,0,0,0,0,0

2,00:15-00:30,31.71,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92,0,0,0,0,23.42,50.3,37.9,48.59,28.71,0,17.89,2.51,0,6.17,0,11.65,1.13,16.78,455.68,16.95,122.67,96.56,89.36,0,0,76.42,56.16,0,0,0,5.68,24.9,66.32,0,143.47,0,8.47,192.12,56.87,42.42,40.78,12.61,33.95,47.31,14.09,0,0,0,24.21,20.2,148.12,10.3,397.23,0,0,150.51,0,82.63,0,0,0,0,0

3,00:30-00:45,31.71,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92,0,0,0,0,23.42,50.3,32.04,35.77,28.71,0,17.89,2.31,0,6.17,0,11.65,1.13,16.78,436.34,16.95,122.67,96.56,89.36,0,0,76.42,56.16,0,0,0,5.68,24.9,66.32,0,143.47,0,8.47,192.12,56.87,42.42,40.78,12.61,33.95,47.31,15.47,0,0,0,24.21,20.2,148.12,10.3,397.23,0,0,148.85,0,82.63,0,0,0,0,0

4,00:45-01:00,31.71,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92,0,0,0,0,23.42,50.3,32.04,35.77,28.71,0,17.89,2.31,0,6.17,0,11.65,1.13,16.78,416.99,16.95,122.67,96.56,89.36,0,0,76.42,56.16,0,0,0,5.68,24.9,66.32,0,143.47,0,8.47,192.12,56.87,42.42,40.78,12.61,33.95,47.31,15.05,0,0,0,24.21,20.2,148.12,10.3,397.23,0,0,148.85,0,82.63,0,0,0,0,0

5,01:00-01:15,31.71,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92,0,0,0,0,23.42,50.3,32.04,35.77,28.71,0,17.89,2.31,0,6.17,0,11.65,1.13,16.78,387.97,16.95,122.67,96.56,89.36,0,0,76.42,56.16,0,0,0,5.68,24.9,66.32,0,143.47,0,8.47,143.75,56.87,42.42,40.78,12.61,33.95,47.31,12.92,0,0,0,24.21,20.2,148.12,10.3,397.23,0,0,148.85,0,82.63,0,0,0,0,0

