Block,Time Block,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,ANTA_LF,AURY_GF,AURY_RF,AURY_LF,URI,VALLURNTECL,UNCHAHAR4,URI2,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,TANDA2,TALST2,UNCHAHAR3,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR2,SIMHST2,TALA,SINGRAULI,TEHRI,UNCHAHAR1,NNTPP,RAMPUR,NTPL,PARBATI3,SEWA2,RIHAND1,SASAN,RAPPC,RSTPSU1TO6,RSTPSU7,SALAL,RIHAND3,RAPPB,RIHAND2,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KOTESHWR,KKNPPU2,KISHANGANGA,KOLDAM,KUDGI,MAPS,NLCIIST1,NLCIIST2,NAPP,NLCTS2EXP,NJPC,NLCEXP,JHAJJAR,DHAULIGNGA,DULHASTI,FSTPP I & II,CHAMERA1,CHAMERA3,BSIUL,CHAMERA2,DADRT2,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,25.48,0,0,4.27,0,0,0,0,0,0,19.28,0,0,8.01,0,15.28,0,0,107.94,0,14.91,0,0,0,0,0,44.24,402.73,51.5,0,0,1.35,116.03,0,114.21,31.6,0,0,68.7,0,8.53,0,0,0,0,0,0,0,41.9,0,0,0,235.08,0,15.85,13.45,0,0,0,0,328.57,18.05,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,25.48,0,0,4.27,0,0,0,0,0,0,19.28,0,0,8.01,0,15.28,0,0,107.94,0,14.91,0,0,0,0,0,44.24,402.73,51.5,0,0,1.35,116.03,0,114.21,31.6,0,0,65.8,0,8.53,0,0,0,0,0,0,0,41.9,0,0,0,235.08,0,15.85,13.45,0,0,0,0,297.17,17.72,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,25.48,0,0,4.27,0,0,0,0,0,0,14.29,0,0,8.01,0,11.33,0,0,107.94,0,11.55,0,0,0,0,0,44.24,402.73,51.5,0,0,1.35,116.03,0,114.21,31.6,0,0,65.8,0,8.53,0,0,0,0,0,0,0,41.9,0,0,0,230.81,0,15.85,13.45,0,0,0,0,297.17,15.77,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,3.18,0,0,4.27,0,0,0,0,0,0,14.29,0,0,3.7,0,11.33,0,0,107.94,0,11.55,0,0,0,0,0,44.24,402.73,51.5,0,0,1.35,116.03,0,114.21,31.6,0,0,65.8,0,8.53,0,0,0,0,0,0,0,41.9,0,0,0,230.81,0,15.85,13.45,0,0,0,0,295.24,15.18,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,1.6,0,0,4.27,0,0,0,0,0,0,14.29,0,0,3.7,0,11.33,0,0,107.94,0,11.55,0,0,0,0,0,44.24,402.73,51.5,0,0,1.35,116.03,0,114.21,31.6,0,0,65.8,0,8.53,0,0,0,0,0,0,0,41.9,0,0,0,230.81,0,15.85,13.45,0,0,0,0,277.93,13.01,0,0,0,0,0

