Block,Time,KGSU3AND4,KHSTPP-I,KKNP,NAPP,NLCIIST1,NLCIIST2,RAPPD,RSTPSU1TO6,MAPS,NLCEXP,SASAN,TelanganaSTPP,UNCHAHAR2,DADRI_CRF,DADRI_LF,CHAMERA2,KUDGI,RIHAND3,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR3,ANTA_GF,DADRI_GF,CHAMERA1,DHAULIGNGA,KGSU1AND2,NNTPP,RAPPC,SALAL,URI,URI2,AURY_CRF,KOLDAM,KOTESHWR,RIHAND2,SIMHST2,UNCHAHAR1,ANTA_LF,BSIUL,JHAJJAR,KKNPPU2,NJPC,RAMPUR,RAPPB,SIMHST1,TANDA2,TEHRI,UNCHAHAR4,ANTA_RF,AURY_RF,CHAMERA3,DADRT2,KHSTPP-II,KISHANGANGA,NTPL,PARBATI3,RIHAND1,SEWA2,TALA,ANTA_CRF,AURY_GF,BRBCL,DULHASTI,FSTPP I & II,NLCTS2EXP,PARBATI2,RSTPSU7,TALST2,TEHRIPSP,VALLURNTECL,AURY_LF,DADRI_RF
1,00:00-00:15,0,45.83,0,24.62,0,0,24.8,0,0,0,348.98,0,45,0,0,47.12,0,130.84,113.75,0.78,13.06,27.69,0,0,42.15,42.46,0,0,65.42,72.05,52.36,38.97,0,8.62,40.57,125.27,0,21.65,0,19.56,667.25,0,175.79,5.7,0,0,5.73,60.14,3.22,51.96,79.74,33.94,549.38,98.87,7.05,0,66.9,47.02,12.22,10.84,0,0,24.99,55.38,13.9,0,10.55,0,0,83.18,0,0,79.04

2,00:15-00:30,0,45.83,0,24.62,0,0,24.8,0,0,0,348.98,0,45,0,0,47.12,0,130.84,113.75,0.78,13.06,27.69,0,0,42.15,42.46,0,0,65.42,72.05,52.36,38.97,0,8.62,40.57,125.27,0,21.65,0,19.56,667.25,0,175.79,5.7,0,0,5.73,60.14,3.22,51.96,79.74,33.94,549.38,98.87,7.05,0,66.9,47.02,12.22,10.84,0,0,24.99,55.38,13.9,0,10.55,0,0,83.18,0,0,79.04

3,00:30-00:45,0,45.83,0,24.62,0,0,24.8,0,0,0,348.98,0,45,0,0,47.12,0,130.84,113.75,0.78,13.06,27.69,0,0,42.15,42.46,0,0,65.42,72.05,41.95,38.97,0,8.62,40.57,125.27,0,21.65,0,19.56,667.25,0,175.79,5.7,0,0,5.73,60.14,3.22,51.96,79.74,33.94,549.38,98.87,7.05,0,66.9,47.02,12.22,10.84,0,0,24.99,55.38,13.9,0,10.55,0,0,83.18,0,0,79.04

4,00:45-01:00,0,45.83,0,24.62,0,0,24.8,0,0,0,348.98,0,45,0,0,47.12,0,130.84,113.75,0.78,13.06,27.69,0,0,42.15,42.46,0,0,65.42,72.05,41.95,38.97,0,8.62,40.57,125.27,0,21.65,0,19.56,667.25,0,175.79,5.7,0,0,5.73,60.14,3.22,51.96,79.74,33.94,549.38,98.87,7.05,0,66.9,47.02,12.22,10.84,0,0,24.99,55.38,13.9,0,10.55,0,0,83.18,0,0,79.04

5,01:00-01:15,0,45.83,0,24.62,0,0,24.8,0,0,0,348.98,0,45,0,0,47.12,0,130.84,113.75,0.78,13.06,27.69,0,0,42.15,42.46,0,0,65.42,72.05,41.95,38.97,0,8.62,40.57,125.27,0,21.65,0,19.56,667.25,0,175.79,5.7,0,0,5.73,60.14,3.22,51.96,79.74,33.94,549.38,98.87,7.05,0,60.21,47.02,12.22,10.84,0,0,24.99,55.38,13.9,0,10.55,0,0,83.18,0,0,79.04

