Block,Time,JHAJJAR,KHSTPP-I,KOTESHWR,SASAN,SIMHST2,SINGRAULI,TANAKPUR,UNCHAHAR2,AURY_RF,DADRI_LF,NJPC,AURY_CRF,DADRI_RF,KGSU3AND4,KOLDAM,NLCIIST1,RAMPUR,RAPPB,RIHAND3,RSTPSU1TO6,SALAL,TelanganaSTPP,UNCHAHAR1,UNCHAHAR3,AURY_LF,CHAMERA3,DADRT2,KISHANGANGA,MAPS,NTPL,TALA,URI2,ANTA_LF,DADRI_CRF,BSIUL,DULHASTI,KUDGI,NLCIIST2,NNTPP,RAPPC,TANDA2,UNCHAHAR4,ANTA_GF,BRBCL,CHAMERA1,KGSU1AND2,KKNPPU2,RSTPSU7,ANTA_CRF,DADRI_GF,CHAMERA2,FSTPP I & II,NLCEXP,NLCTS2EXP,PARBATI3,RIHAND2,SEWA2,SIMHST1,URI,DHAULIGNGA,KHSTPP-II,KKNP,NAPP,RIHAND1,SINGRAULI_HYDRO,TALST2,TEHRI,VALLURNTECL,ANTA_RF,AURY_GF
1,00:00-00:15,436.2,45.22,8.88,339.75,0,125.96,3.85,42.39,0,23.57,0,71.46,5.48,0,0,0,0,0,124.32,0,1.4,0,20.56,26.39,0,0,683.14,0,0,0,0,4.31,0,41.65,0,16.48,0,0,0,53.43,0,0,0,20,0,0,0,0,44.83,0,0,18.2,0,0,0,118.75,0,0,1.11,0,148.3,0,43.57,92,0,0,0,0,0,0

2,00:15-00:30,436.2,45.22,8.88,339.75,0,125.96,3.85,42.39,0,23.57,0,71.46,5.48,0,0,0,0,0,124.32,0,1.4,0,20.56,26.39,0,0,683.14,0,0,0,0,4.31,0,41.65,0,16.48,0,0,0,53.43,0,0,0,20,0,0,0,0,44.83,0,0,18.2,0,0,0,118.75,0,0,1.11,0,148.3,0,43.57,92,0,0,0,0,0,0

3,00:30-00:45,436.2,45.22,8.88,339.75,0,125.96,7.81,42.39,0,23.57,0,71.46,5.48,0,0,0,0,0,124.32,0,1.4,0,20.56,26.39,0,0,683.14,0,0,0,0,4.31,0,41.65,0,16.48,0,0,0,53.43,0,0,0,20,0,0,0,0,44.83,0,0,18.2,0,0,0,118.75,0,0,1.11,0,148.3,0,43.57,92,0,0,0,0,0,0

4,00:45-01:00,436.2,45.22,8.88,339.75,0,125.96,7.81,42.39,0,23.57,0,71.46,5.48,0,0,0,0,0,124.32,0,1.4,0,20.56,26.39,0,0,683.14,0,0,0,0,4.31,0,41.65,0,16.48,0,0,0,53.43,0,0,0,20,0,0,0,0,44.83,0,0,18.2,0,0,0,118.75,0,0,1.11,0,148.3,0,43.57,92,0,0,0,0,0,0

5,01:00-01:15,436.2,45.22,8.88,339.75,0,125.96,7.81,42.39,0,23.57,0,71.46,5.48,0,0,0,0,0,124.32,0,1.4,0,20.56,26.39,0,0,683.14,0,0,0,0,4.31,0,41.65,0,16.48,0,0,0,53.43,0,0,0,20,0,0,0,0,44.83,0,0,18.2,0,0,0,118.75,0,0,1.11,0,148.3,0,43.57,92,0,0,0,0,0,0

6,01:15-01:30,436.2,45.22,8.88,339.75,0,125.96,7.81,42.39,0,23.57,0,71.46,5.48,0,0,0,0,0,124.32,0,1.4,0,20.56,26.39,0,0,683.14,0,0,0,0,4.31,0,41.65,0,16.48,0,0,0,53.43,0,0,0,20,0,0,0,0,44.83,0,0,18.2,0,0,0,118.75,0,0,1.11,0,148.3,0,43.57,92,0,0,0,0,0,0

7,01:30-01:45,436.2,45.22,8.88,339.75,0,125.96,7.81,42.39,0,23.57,0,71.46,5.48,0,0,0,0,0,124.32,0,1.4,0,20.56,26.39,0,0,683.14,0,0,0,0,4.31,0,41.65,0,16.48,0,0,0,53.43,0,0,0,20,0,0,0,0,44.83,0,0,18.2,0,0,0,118.75,0,0,1.11,0,148.3,0,43.57,92,0,0,0,0,0,0

8,01:45-02:00,436.2,45.22,8.88,339.75,0,125.96,7.81,42.39,0,23.57,0,71.46,5.48,0,0,0,0,0,124.32,0,1.4,0,20.56,26.39,0,0,683.14,0,0,0,0,4.31,0,41.65,0,16.48,0,0,0,53.43,0,0,0,20,0,0,0,0,44.83,0,0,18.2,0,0,0,118.75,0,0,1.11,0,148.3,0,43.57,92,0,0,0,0,0,0

9,02:00-02:15,436.2,45.22,8.88,339.75,0,125.96,7.81,42.39,0,23.57,0,71.46,5.48,0,0,0,0,0,124.32,0,1.4,0,20.56,26.39,0,0,683.14,0,0,0,0,4.31,0,41.65,0,16.48,0,0,0,53.43,0,0,0,20,0,0,0,0,44.83,0,0,18.2,0,0,0,118.75,0,0,1.11,0,148.3,0,43.57,92,0,0,0,0,0,0

