Block,Time,SINGRAULI_HYDRO,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,URI,URI2,RIHAND1,RIHAND3,SALAL,SEWA2,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,NAPP,NJPC,RAPPB,RAPPC,CHAMERA1,CHAMERA2,KOLDAM,PARBATI3,BSIUL,CHAMERA3,DHAULIGNGA,RAMPUR,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,1.01389,11.7852,0,19.414,42.392196,24.1675,47.472,32.2848,92,123.665625,84.9422,15.804048,36.792,0,139.3125,118.125,686.772522,49.436556,653.1525,0,7.888,39.6228,152.9405,0,51.1407,42.66,39.51012,0,19.095,13.1076,29.41554,36.5917,0,0,24.112,61.376,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,38.241,418.77

2,00:15-00:30,1.01389,11.7852,0,19.414,42.392196,24.1675,47.472,32.2848,92,123.665625,84.9422,15.804048,36.792,0,139.3125,118.125,686.772522,49.436556,653.1525,0,7.888,39.6228,152.9405,0,51.1407,42.66,39.51012,0,19.095,13.1076,29.41554,36.5917,0,0,24.112,61.376,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,38.241,418.77

3,00:30-00:45,1.01389,11.7852,0,19.414,42.392196,24.1675,47.472,32.2848,92,123.665625,84.9422,15.804048,27.594,0,139.3125,118.125,686.772522,49.436556,653.1525,0,7.888,39.6228,152.9405,0,51.1407,42.66,39.51012,0,19.095,13.1076,29.41554,36.5917,0,0,24.112,61.376,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,38.241,418.77

4,00:45-01:00,1.01389,11.7852,0,19.414,42.392196,24.1675,47.472,32.2848,92,123.665625,84.9422,15.804048,27.594,0,139.3125,118.125,686.772522,49.436556,653.1525,0,7.888,39.6228,152.9405,0,51.1407,42.66,39.51012,0,19.095,13.1076,29.41554,36.5917,0,0,24.112,61.376,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,38.241,418.77

5,01:00-01:15,1.01389,11.7852,0,19.414,42.392196,24.1675,47.472,32.2848,92,123.665625,84.9422,15.804048,27.594,0,139.3125,118.125,686.772522,49.436556,653.1525,0,5.916,39.6228,152.9405,0,51.1407,42.66,39.51012,0,19.095,13.1076,29.41554,36.5917,0,0,24.112,61.376,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,42.49,418.77

6,01:15-01:30,1.01389,11.7852,0,19.414,42.392196,24.1675,47.472,32.2848,92,123.665625,84.9422,15.804048,17.892,0,139.3125,118.125,686.772522,49.436556,653.1525,0,5.916,39.6228,152.9405,0,51.1407,42.66,39.51012,0,19.095,13.1076,29.41554,36.5917,0,0,24.112,61.376,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,42.49,418.77

7,01:30-01:45,1.01389,11.1447,0,19.414,42.392196,24.1675,47.472,32.2848,92,123.665625,84.9422,15.804048,17.829,0,139.3125,118.125,686.772522,49.436556,653.1525,0,5.916,39.6228,152.9405,0,51.1407,42.66,39.51012,0,31.825,13.1076,29.41554,36.5917,0,0,24.112,61.376,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,40.062,418.77

