Column1,Block,NR/2024/22899/A/36546,NR/2024/23069/C,NR/2024/22888/A/36796,NR/2024/22860/A/36809,NR/2024/22898/A/36547,NR/2024/23038/A/36556,NR/2024/22832/A/36775,NR/2024/22833/A/36774,NR/2024/22837/A/36773,NR/2024/22816/A/36522,NR/2024/23062/C,NR/2024/22802/A/36777,NR/2024/23063/C,NR/2024/23017/A/36548,NR/2024/21658/A/36530,NR/2024/22874/A/36779,NR/2024/22848/A/36810,NR/2024/22734/A/36728,NR/2024/23058/C,NR/2024/22839/A/36769,NR/2024/22753/A/36738,NR/2024/22754/A/36739,NR/2024/22820/A/36482,NR/2024/22835/A/36755,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/7196,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/2171,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/2024/23061/C,Total
,,SJVNL,SJVNL,APPCPL,APPCPL,SJVNL,IEXL,NVVNL,NVVNL,NVVNL,TPTCL,NVVNL,NVVNL,NVVNL,DIAPL,ITCLH,NVVNL,APPCPL,TPDDL,TPDDL,NVVNL,PTC,PTC,IEXL,MANIKARAN,BAWANA_GAS,AEL,DELHI,TPTCL,APPCPL,JITPL,MANIKARAN,NVVNL,MANIKARAN,PUNJAB,DELHI,INSTINCT,TPTCL,NVVNL,
,,NA,NA,KERALA_State,Nagaland_State,NA,MSEB_State,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,MP_State,UTTARAKHAND_STATE,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,KARNATAKA_STATE,MSEB_State,DELHI_UT,NA,HIMACHAL_STATE,NA,Arunachal_State,NA,MP_State,NA,ODISHA_STATE,DELHI_UT,NA,NA,NA,NA,
,,TPSL_BKN2,TPSL_BKN2,KSEB,Nagaland_Ben,RSRPL_BKN,A_A_Energy_MH_Bio,RKM_POWER,RKM_POWER,JPL2,SIMHAPURI,Kameng,JPNIGRIE_JNSTPP,SORANG_HEP,GBHHPL,ITCWIND,JP_BINA,UTTARAKHAND,JPL2,JHAJJAR,TRN_ENERGY,HP,HP,NSLSUGAR,AEML,BAWANA_GAS,APL_Raigarh_TPP,CHANJUII,SIMHAPURI,Arunachal_Ben,JITPL,BLAPOWER_MP,JPNIGRIE_JNSTPP,MAADURGA_THERMAL,BAWANA_GAS,SKS_Raigarh,JPL2,JITPL,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,BYPL,BYPL,NDMC,MES_Delhi,NDMC,NDMC,NDMC,BRPL,TPDDL,BRPL,TPDDL,DIAPL,ITCLH,TPDDL,BYPL,TPDDL,TPDDL,NDMC,BRPL,BYPL,MES_Delhi,BYPL,HARYANA,BRPL,TPDDL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,PUNJAB,NDMC,BRPL,BRPL,MES_Delhi,
,,North-North,North-North,South-West-North,North East-East-North,North-North,West-North,West-North,West-North,West-North,South-West-North,North East-East-North,West-North,North-North,North-North,South-West-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,South-West-North,West-North,North-North,West-North,North-North,South-East-North,North East-East-North,East-North,West-North,West-North,East-North,North-North,West-North,West-North,East-North,West-North,
1,00:00-00:15,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.87,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,25.56,41.16,14.05,41.16,32.93,24.8,18.4,82.32,1.94,32,12.47,82.32,20.58,0,1646.32

2,00:15-00:30,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.87,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,25.56,41.16,14.05,41.16,32.93,24.8,18.4,82.32,1.94,32,12.47,82.32,20.58,0,1646.32

