Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,SR/01102023/07102043/L_NR_2018_61,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/IEPL01,NR/01102023/06022042/L_NR_2012_07,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/15082037/GNA_NR_2012_01,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01102023/30042040/GNA_LT_36,NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01102023/31052040/LT-31,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/30062024/R2,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,262.210000,0.000000,9.21,24.140000,9.830000,38.630000,87.120000,15.030000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,9.320000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.620000,273.080000,38.630000,24.140000,29.260000,0,0,0,0,50.67,50.67,20,0,0,0,20,0,0,0,0,0,60,0,16,0

2,00:15-00:30,262.210000,0.000000,8.61,24.140000,9.830000,38.630000,87.120000,15.030000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,9.320000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.620000,273.080000,38.630000,24.140000,29.260000,0,0,0,0,49.33,49.33,19.17,0,0,0,19.16,0,0,0,0,0,57.5,0,15,0

3,00:30-00:45,262.210000,0.000000,8.21,24.140000,9.830000,38.630000,87.120000,15.030000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,9.320000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.620000,273.080000,38.630000,24.140000,29.260000,0,0,0,0,41.67,41.67,17.5,0,0,0,17.5,0,0,0,0,0,52.5,0,14,0

4,00:45-01:00,262.210000,0.000000,7.81,24.140000,9.830000,38.630000,87.120000,15.030000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,9.320000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.620000,273.080000,38.630000,24.140000,29.260000,0,0,0,0,40.33,40.33,16.67,0,0,0,16.66,0,0,0,0,0,50,0,12.66,0

5,01:00-01:15,262.210000,0.000000,7.41,24.140000,9.680000,38.630000,87.120000,14.840000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,9.090000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.480000,273.080000,38.630000,24.140000,28.760000,0,0,0,0,39.33,39.33,15.83,0,0,0,15.84,0,0,0,0,0,47.5,0,11.66,0

6,01:15-01:30,262.210000,0.000000,7.01,24.140000,9.680000,38.630000,87.120000,14.840000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,9.090000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.480000,273.080000,38.630000,24.140000,28.760000,0,0,0,0,41,41,15,0,0,0,15,0,0,0,0,0,45,0,10.66,0

7,01:30-01:45,262.210000,0.000000,7.01,24.140000,9.680000,38.630000,87.120000,14.840000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,9.090000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.480000,273.080000,38.630000,24.140000,28.760000,0,0,0,0,37.33,37.33,14.17,0,0,0,14.16,0,0,0,0,0,42.5,0,9,0

8,01:45-02:00,262.210000,0.000000,7.01,24.140000,9.680000,38.630000,87.120000,14.840000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,9.090000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.480000,273.080000,38.630000,24.140000,28.760000,0,0,0,0,38,38,15.33,0,0,0,15.34,0,0,0,0,0,46,0,9.34,0

9,02:00-02:15,262.210000,0.000000,7.01,24.140000,9.520000,38.630000,87.120000,14.660000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,8.860000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.290000,273.080000,38.630000,24.140000,28.760000,0,0,0,0,50,50,19.67,0,0,0,19.66,0,0,0,0,0,59,0,15.34,0

10,02:15-02:30,262.210000,0.000000,7.01,24.140000,9.520000,38.630000,87.120000,14.660000,100.620000,48.290000,24.140000,24.140000,24.140000,0.000000,0.000000,115.470000,8.860000,0.000000,30.910000,24.690000,0.000000,48.290000,15.820000,48.290000,24.140000,30.910000,7.290000,273.080000,38.630000,24.140000,28.260000,0,0,0,0,50.67,50.67,20.83,0,0,0,20.84,0,0,0,0,0,62.5,0,16,0

