Block,Time,ANTA_LF,RIHAND1,URI2,URI,CHAMERA3,RIHAND3,PARBATI3,DADRI_RF,ANTA_RF,SINGRAULI_HYDRO,SALAL,ANTA_GF,NAPP,KISHANGANGA,AURY_GF,DADRI_GF,AURY_CRF,ANTA_CRF,SEWA2,NJPC,TANAKPUR,JHAJJAR,TANDA2,KOLDAM,SINGRAULI,UNCHAHAR4,RAPPC,RAMPUR,DADRI_LF,DADRT2,DHAULIGNGA,TEHRI,AURY_LF,CHAMERA1,KOTESHWR,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,AURY_RF,BSIUL,DULHASTI,RAPPB,DADRI_CRF,KUDGI,BRBCL,KHSTPP-I,RIHAND2,CHAMERA2,KHSTPP-II,FSTPP I & II,TALA,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,88.789200,31.287886,40.487875,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,15.252487,148.242641,12.733819,630.355162,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,662.811337,35.314650,65.178994,0.000000,41.171166,34.257190,18.732062,25.469086,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,14.48,14.476493,31.048232,114.002438,38.131217,94.907934,13.752675,25.536546,402.778453,0,0,0,0,0

2,00:15-00:30,0.000000,88.789200,31.287886,40.487875,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,15.252487,148.242641,12.733819,630.355162,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,662.811337,35.314650,65.178994,0.000000,41.171166,34.257190,18.732591,25.469086,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,14.48,14.476493,31.048232,114.002438,38.131217,94.907934,13.752675,25.536546,402.808612,0,0,0,0,0

3,00:30-00:45,0.000000,88.789200,31.287886,40.487875,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,15.252487,148.242641,12.733819,630.355162,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,662.811337,35.314650,65.178994,0.000000,41.171166,34.257190,18.732591,25.469086,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,14.48,14.476493,31.600379,114.002438,38.131217,94.907934,13.752675,25.536546,402.808612,0,0,0,0,0

4,00:45-01:00,0.000000,88.789200,31.287886,40.487875,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,15.252487,148.242641,12.733819,630.355162,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,662.811337,35.314650,65.178994,0.000000,41.171166,34.257190,18.732591,25.469086,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,14.48,14.476493,31.634048,114.002438,38.131217,94.907934,13.752675,25.536546,402.808612,0,0,0,0,0

5,01:00-01:15,0.000000,88.789200,31.287886,40.487875,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,15.252487,148.242641,12.733819,630.355162,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,662.811337,35.314650,65.178994,0.000000,41.171166,34.257190,18.732591,25.469086,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,14.48,14.476493,31.634048,114.002438,38.131217,94.907934,13.752675,25.536546,402.808612,0,0,0,0,0

6,01:15-01:30,0.000000,88.789200,31.287886,40.487875,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,15.252487,148.242641,12.733819,630.355162,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,662.811337,35.314650,65.178994,0.000000,41.171166,34.257190,18.732591,25.469086,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,14.48,14.082022,31.634048,114.002438,38.131217,94.907934,13.752675,25.536546,402.808612,0,0,0,0,0

7,01:30-01:45,0.000000,88.789200,31.287886,40.487875,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,10.188908,148.242641,12.733819,630.355162,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,662.811337,35.314650,65.178994,0.000000,41.171166,34.257190,18.732591,25.469086,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,14.48,12.856336,31.634048,114.002438,38.131217,94.907934,13.752675,25.536546,402.808612,0,0,0,0,0

8,01:45-02:00,0.000000,88.789200,31.287886,47.946168,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,10.188908,148.242641,12.733819,630.355162,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,662.811337,35.314650,65.178994,0.000000,41.171166,34.257190,18.732591,25.469086,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,14.48,12.641244,31.634048,114.002438,38.131217,94.907934,13.752675,25.536546,402.808612,0,0,0,0,0

9,02:00-02:15,0.000000,88.789200,31.287886,31.964112,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,10.188908,148.242641,12.733819,624.154394,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,602.649071,35.314650,65.178994,0.000000,41.171166,34.257190,13.649756,17.178394,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,9.65,14.476493,31.634048,114.002438,38.131217,115.753997,13.752675,25.536546,399.551400,0,0,0,0,0

10,02:15-02:30,0.000000,88.789200,31.287886,31.964112,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,10.188908,148.242641,12.733819,624.154394,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,554.394071,35.314650,65.178994,0.000000,41.171166,34.257190,13.400510,17.178394,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,9.65,13.403047,31.634048,114.002438,38.131217,115.753997,13.752675,25.536546,399.551400,0,0,0,0,0

11,02:30-02:45,0.000000,88.789200,31.287886,31.964112,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,10.188908,148.242641,12.733819,525.014400,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,491.630529,35.314650,65.178994,0.000000,41.171166,34.257190,10.903586,8.685900,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,9.65,14.476493,31.634048,114.002438,38.131217,115.753997,13.752675,25.536546,399.551400,0,0,0,0,0

12,02:45-03:00,0.000000,88.789200,31.287886,31.964112,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,5.017265,148.242641,12.733819,525.014400,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,443.375529,35.314650,65.178994,0.000000,41.171166,34.257190,10.903586,8.685900,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,9.65,14.476493,31.634048,114.002438,38.131217,115.753997,13.752675,25.536546,399.551400,0,0,0,0,0

13,03:00-03:15,0.000000,88.789200,30.508934,35.160523,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,5.017265,148.242641,11.621155,562.653300,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,428.931071,35.314650,65.178994,0.000000,41.171166,34.257190,10.177849,10.132447,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,9.65,14.476493,31.634048,114.002438,38.131217,115.753997,13.752675,25.536546,399.551400,0,0,0,0,0

14,03:15-03:30,0.000000,88.789200,30.508934,35.160523,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,5.017265,148.242641,11.621155,562.653300,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,428.931071,35.314650,65.178994,0.000000,41.171166,34.257190,10.208350,11.486350,40.910686,0.000000,0.000000,47.711220,0.000000,0.000000,9.65,14.476493,31.634048,114.002438,38.131217,115.753997,13.752675,25.536546,399.551400,0,0,0,0,0

15,03:30-03:45,0.000000,88.789200,30.508934,35.160523,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,5.017265,148.242641,11.621155,562.653300,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,428.931071,35.314650,65.178994,0.000000,41.171166,34.257190,10.208350,11.486350,27.768243,0.000000,0.000000,47.711220,0.000000,0.000000,9.65,14.476493,31.634048,114.002438,38.131217,126.954476,13.752675,25.536546,399.551400,0,0,0,0,0

16,03:45-04:00,0.000000,88.789200,30.508934,35.160523,28.048516,119.349695,0.000000,0.000000,0.000000,0.904656,77.379788,0.000000,37.724601,0.000000,0.000000,0.000000,0.000000,0.000000,5.017265,148.242641,11.621155,562.653300,0.000000,0.000000,134.448081,0.000000,49.355890,0.000000,0.000000,428.931071,35.314650,65.178994,0.000000,41.171166,34.257190,10.208350,11.486350,27.768243,0.000000,0.000000,47.711220,0.000000,0.000000,9.65,14.476493,31.634048,114.002438,38.131217,127.809737,13.752675,25.536546,399.551400,0,0,0,0,0

