Block,Time,ANTA_RF,UNCHAHAR3,KISHANGANGA,SALAL,RAMPUR,SINGRAULI_HYDRO,RAPPC,URI,DADRT2,UNCHAHAR4,TANDA2,CHAMERA2,DADRI_GF,DADRI_RF,RIHAND1,RIHAND3,TANAKPUR,SEWA2,NAPP,RIHAND2,DADRI_CRF,DHAULIGNGA,AURY_GF,URI2,DULHASTI,UNCHAHAR2,AURY_LF,FSTPP I & II,KOLDAM,RAPPB,ANTA_GF,TALA,BSIUL,CHAMERA1,KHSTPP-II,KHSTPP-I,DADRI_LF,PARBATI3,TEHRI,ANTA_CRF,JHAJJAR,UNCHAHAR1,BRBCL,CHAMERA3,AURY_RF,NJPC,SINGRAULI,ANTA_LF,AURY_CRF,KOTESHWR,KUDGI,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,17.973295,0.000000,2.246843,0.000000,0.573341,25.518879,48.030624,318.544358,0.000000,0.000000,0.000000,0.000000,0.000000,43.506000,119.559926,4.953883,0.000000,19.308543,114.203250,0.000000,0.000000,0.000000,30.838389,15.931754,30.012566,0.000000,20.041764,0.000000,0.000000,0.000000,1.136957,0.000000,0.000000,95.075112,42.874196,0.000000,0.000000,0.000000,0.000000,349.425690,8.109132,19.336023,0.000000,0.000000,20.142311,85.561800,0.000000,0.000000,8.579383,73.48,404.866836,0,0,0,0,0

2,00:15-00:30,0.000000,17.973295,0.000000,2.246843,0.000000,0.573341,25.518879,48.030624,318.544358,0.000000,0.000000,0.000000,0.000000,0.000000,43.506000,119.559926,4.953883,0.000000,19.308543,114.203250,0.000000,0.000000,0.000000,30.838389,15.931754,30.012566,0.000000,20.041764,0.000000,0.000000,0.000000,1.136957,0.000000,0.000000,95.075112,42.874196,0.000000,0.000000,0.000000,0.000000,349.425690,8.109132,19.336023,0.000000,0.000000,20.142311,85.561800,0.000000,0.000000,8.579383,73.48,404.866836,0,0,0,0,0

3,00:30-00:45,0.000000,17.973295,0.000000,2.246843,0.000000,0.573341,25.518879,8.538778,304.042358,0.000000,0.000000,0.000000,0.000000,0.000000,43.506000,119.559926,4.953883,0.000000,19.308543,114.203250,0.000000,0.000000,0.000000,30.838389,15.931754,30.012566,0.000000,20.041764,0.000000,0.000000,0.000000,1.136957,0.000000,0.000000,95.075112,42.874196,0.000000,0.000000,0.000000,0.000000,349.425690,8.109132,19.336023,0.000000,0.000000,20.142311,85.561800,0.000000,0.000000,8.579383,73.48,404.866836,0,0,0,0,0

4,00:45-01:00,0.000000,17.973295,0.000000,2.246843,0.000000,0.573341,25.518879,6.404083,304.042358,0.000000,0.000000,0.000000,0.000000,0.000000,43.506000,119.559926,4.953883,0.000000,19.308543,114.203250,0.000000,0.000000,0.000000,30.838389,15.931754,30.012566,0.000000,20.041764,0.000000,0.000000,0.000000,1.136957,0.000000,0.000000,95.075112,42.874196,0.000000,0.000000,0.000000,0.000000,349.425690,8.109132,19.259480,0.000000,0.000000,20.142311,85.561800,0.000000,0.000000,8.579383,73.48,404.866836,0,0,0,0,0

5,01:00-01:15,0.000000,17.973295,0.000000,2.246843,0.000000,0.573341,25.518879,6.404083,304.042358,0.000000,0.000000,0.000000,0.000000,0.000000,43.506000,119.559926,11.526448,0.000000,19.308543,114.203250,0.000000,0.000000,0.000000,11.054585,15.931754,30.012566,0.000000,20.041764,0.000000,0.000000,0.000000,1.136957,0.000000,0.000000,95.075112,42.874196,0.000000,0.000000,0.000000,0.000000,349.425690,8.109132,18.309702,0.000000,0.000000,20.142311,85.561800,0.000000,0.000000,8.579383,63.81,404.866836,0,0,0,0,0

6,01:15-01:30,0.000000,17.973295,0.000000,2.246843,0.000000,0.573341,25.518879,6.404083,304.042358,0.000000,0.000000,0.000000,0.000000,0.000000,43.506000,119.559926,11.526448,0.000000,19.308543,114.203250,0.000000,0.000000,0.000000,9.103776,15.931754,30.012566,0.000000,20.041764,0.000000,0.000000,0.000000,1.136957,0.000000,0.000000,95.075112,42.874196,0.000000,0.000000,0.000000,0.000000,349.425690,8.109132,16.098225,0.000000,0.000000,20.142311,85.561800,0.000000,0.000000,8.579383,63.81,404.866836,0,0,0,0,0

7,01:30-01:45,0.000000,17.973295,0.000000,2.246843,0.000000,0.573341,25.518879,6.404083,304.042358,0.000000,0.000000,0.000000,0.000000,0.000000,43.506000,119.559926,11.526448,0.000000,19.308543,114.203250,0.000000,0.000000,0.000000,9.103776,15.931754,30.012566,0.000000,20.041764,0.000000,0.000000,0.000000,1.136957,0.000000,0.000000,95.075112,42.874196,0.000000,0.000000,0.000000,0.000000,349.425690,8.109132,15.800625,0.000000,0.000000,0.000000,85.561800,0.000000,0.000000,8.579383,63.81,404.866836,0,0,0,0,0

8,01:45-02:00,0.000000,17.973295,0.000000,2.246843,0.000000,0.573341,25.518879,6.404083,299.208358,0.000000,0.000000,0.000000,0.000000,0.000000,43.506000,119.559926,11.526448,0.000000,19.308543,114.203250,0.000000,0.000000,0.000000,9.103776,15.931754,30.012566,0.000000,20.041764,0.000000,0.000000,0.000000,1.136957,0.000000,0.000000,95.075112,42.874196,0.000000,0.000000,0.000000,0.000000,349.425690,8.109132,17.598528,0.000000,0.000000,0.000000,85.561800,0.000000,0.000000,8.579383,63.81,404.866836,0,0,0,0,0

