Column1,Block,NR/2025/25752/A/64261,GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/16/2139,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/1831,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/7960,NR/30092023/26122029/SH-06,NR/2025/25945/A/64729,NR/2025/25947/A/64727,NR/2025/25996/C,WR/2025/27361/A/64742,NR/2025/25924/A/64379,WR/2025/27350/A/64398,NR/2025/25955/A/64723,NR/2025/25948/A/64725,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/2341,GNA/WR/2025/04/01/4420,GNA/SR/2025/04/01/2597,Total
,,IEXL,SECI_Trader,PowerPulse,DELHI,NDMC,IEXL,HPXL,HPXL,HPXL,IEXL,BAWANA_GAS,IEXL,IEXL,IEXL,NDMC,PUNJAB,APPCPL,APPCPL,TPDDL,APPCPL,DIAPL,KEIPL,APPCPL,APPCPL,PXIL,IEXL,HPXL,IEXL,IVPL_Trader,APPCPL,
,,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,CSEB_State,NA,NA,HIMACHAL_STATE,DELHI_UT,SIKKIM_STATE,SIKKIM_STATE,SIKKIM_STATE,NA,DELHI_UT,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,UTTARPRADESH_STATE,SIKKIM_STATE,NA,NA,DELHI_UT,DELHI_UT,
,,TPSL_BKN2,APSEPL_FTG,APL_Raipur_TPP,CHANJUII,SKS_Raigarh,KGEPL_HP,MSPLTD,SIMHAPURI,JPL,RHPPL_HP,BAWANA_GAS,MEYONGCHU_HEP,Kalez_Khola_HEP,LLHEP1234,JPL2,BAWANA_GAS,RKM_POWER,RKM_POWER,JHAJJAR,BYPL,GBHHPL,BYPL,JIPL,TRN_ENERGY,LAPL_UP,RCHEP,JPL2,JPNIGRIE_JNSTPP,BYPL,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,KERALA_State,
,,MES_Delhi,TPDDL,BRPL,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,NDMC,PUNJAB,NDMC,NDMC,TPDDL,CSEB_Beneficiary,DIAPL,CSEB_Beneficiary,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,TPC_MSEB,KSEB,
,,North-North,North-North,West-North,North-North,West-North,North-North,West-North,South-East-North,West-North,North-North,North-North,East-North,East-North,East-North,West-North,North-North,West-North,West-North,North-North,North-West,North-North,North-West,East-North,West-North,North-North,East-North,West-North,West-North,North-West,North-West-South,
1,00:00-00:15,0,0,96.23,10.96,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,30,43.74,43.74,204.01,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,52.5,914.01

2,00:15-00:30,0,0,96.23,10.96,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,30,43.74,43.74,204.01,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,52.5,914.01

3,00:30-00:45,0,0,96.23,10.96,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,30,43.74,43.74,204.01,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,52.5,914.01

4,00:45-01:00,0,0,96.23,10.96,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,30,43.74,43.74,204.01,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,52.5,914.01

5,01:00-01:15,0,0,96.23,10.78,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,17.12,43.74,43.74,204.01,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,52.5,900.9499999999998

6,01:15-01:30,0,0,96.23,10.78,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,17.12,43.74,43.74,204.01,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,52.5,900.9499999999998

