Block,Time,ANTA_CRF,AURY_GF,RAPPB,KISHANGANGA,TEHRI,TANDA2,TANAKPUR,CHAMERA3,UNCHAHAR4,NAPP,SEWA2,SINGRAULI,BRBCL,KHSTPP-I,TALA,SASAN,FSTPP I & II,KHSTPP-II,DADRI_RF,SINGRAULI_HYDRO,DADRT2,JHAJJAR,ANTA_RF,AURY_RF,ANTA_LF,RIHAND3,KOTESHWR,UNCHAHAR2,AURY_CRF,CHAMERA1,NJPC,PARBATI3,KOLDAM,RIHAND2,UNCHAHAR3,AURY_LF,UNCHAHAR1,SALAL,CHAMERA2,URI2,DHAULIGNGA,RIHAND1,DADRI_CRF,BSIUL,DULHASTI,ANTA_GF,DADRI_LF,RAPPC,DADRI_GF,URI,RAMPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,8.055401,0.000000,5.174842,0.494876,33.640024,2.984322,47.305891,12.105090,144.859328,19.315955,42.794598,0.000000,383.543325,20.088640,143.228140,0.000000,1.108590,646.846953,347.713594,0.000000,0.000000,0.000000,126.114261,0.000000,43.370818,0.000000,40.706616,173.807738,0.000000,6.718203,120.126204,26.693728,0.000000,21.856054,76.661553,46.841134,36.594663,21.023601,93.736630,0.000000,6.297789,57.151604,0.000000,0.000000,65.341319,0.000000,31.987296,6.514819,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,8.055401,0.000000,5.174842,0.494876,33.640024,2.984322,47.305891,12.105090,144.859328,17.891892,42.794598,0.000000,383.543325,20.088640,143.228140,0.000000,1.108590,627.094616,347.713594,0.000000,0.000000,0.000000,126.114261,0.000000,43.370818,0.000000,40.706616,173.807738,0.000000,6.718203,120.126204,26.693728,0.000000,21.856054,76.661553,46.841134,36.594663,21.023601,93.736630,0.000000,6.297789,57.151604,0.000000,0.000000,65.341319,0.000000,31.987296,6.514819,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,8.055401,0.000000,5.174842,0.494876,33.640024,2.984322,47.305891,12.105090,144.859328,18.824728,42.794598,0.000000,383.543325,20.088640,143.228140,0.000000,1.108590,660.662734,297.641693,0.000000,0.000000,0.000000,126.114261,0.000000,43.370818,0.000000,40.706616,173.807738,0.000000,6.718203,120.126204,26.693728,0.000000,21.856054,76.661553,46.841134,36.594663,21.023601,93.736630,0.000000,6.297789,57.151604,0.000000,0.000000,65.341319,0.000000,31.987296,6.514819,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,8.055401,0.000000,5.174842,0.494876,33.640024,2.984322,47.305891,12.105090,144.859328,18.102158,42.794598,0.000000,383.543325,20.088640,143.228140,0.000000,1.108590,660.662734,201.061693,0.000000,0.000000,0.000000,126.114261,0.000000,43.370818,0.000000,40.706616,173.807738,0.000000,6.718203,120.126204,26.693728,0.000000,21.856054,76.661553,46.841134,36.594663,21.023601,93.736630,0.000000,6.297789,57.151604,0.000000,0.000000,65.341319,0.000000,31.987296,6.514819,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,8.055401,0.000000,5.174842,0.494876,33.640024,2.984322,47.305891,12.105090,144.859328,16.093990,42.794598,0.000000,383.543325,20.088640,143.228140,0.000000,1.108590,629.711934,114.405191,0.000000,0.000000,0.000000,126.114261,0.000000,43.370818,0.000000,27.137744,173.807738,0.000000,6.718203,120.126204,26.693728,0.000000,21.856054,76.661553,46.841134,36.594663,21.023601,93.736630,0.000000,12.595577,57.151604,0.000000,0.000000,65.341319,0.000000,31.987296,6.514819,0,0,0,0,0

