Block,Time,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,NR/05012024/31012024/SJVN050124NR1341,NR/05012024/31012024/SJVN050124NR1342,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01012024/31012024/HP-26,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31012024/52,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/06012024/31012024/NVVN/OA/16855,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/22012024/22012024/HPX-TAMCTG-210124-05859,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01012024/31012024/HP-28,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/22012024/22012024/IEX_240121_06149,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31012024/HP-27,NR/01102023/31052040/LT-31,NR/22012024/22012024/DD20240122NR22307,NR/01102023/23072042/L_NR_2012_04,NR/22012024/22012024/DD20240122NR22313,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/20122023/29022024/IEX_LDC_231218_00502,NR/20122023/29022024/IEX_LDC_231218_00501,NR/22012024/22012024/HPX-TAMCTG-210124-05860,NR/01012024/31032024/ ChanjuII,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,7.21,5.770000,152.330000,0.950000,0.000000,96.120000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,230.690000,0.000000,0.000000,22.480000,56.350000,0.690000,22.480000,1.380000,65.930000,11.530000,8.170000,0.000000,1.370000,204.650000

2,00:15-00:30,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,11.73,5.770000,152.330000,0.950000,0.000000,91.310000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,192.240000,0.000000,0.000000,22.480000,56.350000,0.690000,22.480000,1.380000,65.930000,11.530000,8.170000,0.000000,1.370000,204.650000

3,00:30-00:45,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,11.33,5.770000,152.330000,0.950000,0.000000,91.310000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,56.350000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,204.650000

4,00:45-01:00,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,10.92,5.770000,152.330000,0.950000,0.000000,91.310000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,56.350000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,204.650000

5,01:00-01:15,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,10.52,5.770000,152.330000,0.950000,0.000000,91.310000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,56.350000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,204.650000

6,01:15-01:30,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,10.11,5.770000,152.330000,0.950000,0.000000,74.970000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,56.350000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,204.650000

7,01:30-01:45,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,10.08,5.770000,152.330000,0.950000,0.000000,74.970000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,32.680000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,173.670000

8,01:45-02:00,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,9.52,5.770000,152.330000,0.950000,0.000000,74.970000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,32.680000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,144.830000

9,02:00-02:15,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,9.02,5.770000,152.330000,0.950000,0.000000,74.970000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,32.680000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,144.830000

10,02:15-02:30,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,8.53,5.770000,152.330000,0.950000,0.000000,74.970000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,32.680000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,144.830000

11,02:30-02:45,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,8.05,5.770000,152.330000,0.950000,0.000000,74.970000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,32.680000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,144.830000

12,02:45-03:00,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,7.81,5.770000,152.330000,0.950000,0.000000,74.970000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,32.680000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,144.830000

13,03:00-03:15,0,5,0,0,0,10.67,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,10.67,7.55,5.770000,152.330000,0.950000,0.000000,52.870000,0.000000,48.060000,6.730000,0.000000,48.060000,24.500000,24.030000,0.000000,0.000000,18.260000,57.240000,0.000000,0.000000,148.680000,0.000000,0.000000,22.480000,32.680000,0.690000,22.480000,1.380000,70.070000,11.530000,8.170000,0.000000,1.370000,110.540000

