Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/32857/A/95703,NR/2025/32534/A/95928,NR/2025/32653/A/95719,NR/2025/32535/A/95929,NR/2025/32535/A/95930,NR/2025/33346/C,NR/2025/32599/A/95912,NR/2025/32652/A/95718,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,NR/2025/33300/C,NR/2025/29992/A/95617,GNA/NR/2025/08/01/6187,NR/2025/33333/C,NR/2025/32397/A/95492,NR/2025/33330/C,NR/2025/33334/C,NR/2025/33260/C,NR/2025/31421/A/95975,NR/2025/32559/A/95940,GNA/NR/2025/08/01/4125,NR/2025/32610/A/95939,NR/2025/33316/C,NR/2025/33301/C,NR/2025/33287/C,NR/2025/32556/A/95941,NR/2025/32554/A/95894,NR/2025/32532/A/95920,NR/2025/32375/A/95972,NR/2025/31046/A/95937,NR/2025/32598/A/95961,NR/2025/32004/A/95945,NR/2025/33233/A/95960,NR/2025/32455/A/96035,NR/2025/32702/A/95601,NR/2025/32532/A/95919,NR/2025/31041/A/95935,NR/2025/31042/A/95936,NR/2025/33341/C,NR/2025/29440/A/95499,NR/2025/32534/A/95927,NR/2025/32262/A/95532,NR/2025/33343/C,NR/2025/31047/A/95938,Total
,,SECI_Trader,GMRETL,OIDLWM2_AEROCITY,GMRETL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,BRPL,GMRETL,MANIKARAN,MANIKARAN,NDMC,APPCPL,NVVNL,DELHI,PUNJAB,BAWANA_GAS,PowerPulse,MANIKARAN,APPCPL,MANIKARAN,PowerPulse,BYPL,NDMC,APPCPL,IEXL,APPCPL,APPCPL,BYPL,NVVNL,APPCPL,NDMC,APPCPL,APPCPL,PowerPulse,PowerPulse,APPCPL,PowerPulse,ABLWM1_AEROCITY,NVVNL,PowerPulse,PTC,APPCPL,PTC,MANIKARAN,DIAPL,ABLWM1_AEROCITY,PowerPulse,PowerPulse,NVVNL,ITCLH,OIDLWM2_AEROCITY,TPTCL,NVVNL,PowerPulse,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,MP_State,NA,GOA_State,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,NA,GOA_State,NA,NA,KERALA_State,NA,NA,MSEB_State,NA,NA,KERALA_State,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,MP_State,NA,GoHP_NJPC_STATE,MSEB_State,GoHP_NJPC_STATE,NA,HIMACHAL_STATE,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,MSEB_State,MP_State,NA,
,,APSEPL_FTG,JGCPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TESPL_BKN2,TCSPL_BKN2,NTPCREL_PSS2_KPS2_S,TS1PL_BKN,JGCPL_BKN2,AEML,BLAPOWER_MP,TRN_ENERGY,GOA_Beneficiary,JHABUA_IPP,CHANJUII,BAWANA_GAS,BAWANA_GAS,Vidarbha_Industry_MH,DBPL,GOA_Beneficiary,MBMP,MAHAN_ENERGEN,KSEB,JIPL,JPL2,A_A_Energy_MH_Bio,RKM_POWER,RKM_POWER,KSEB,JPNIGRIE_JNSTPP,RKM_POWER,SKS_Raigarh,RKM_POWER,AEML,APL_Raigarh_TPP,APL_Raipur_TPP,JPL2,APL_Raipur_TPP,TCSPL_BKN2,JP_BINA,APL_Raigarh_TPP,GoHP_NJPC,AEML,GoHP_NJPC,MBMP,GBHHPL,TESPL_BKN2,MAHAN_ENERGEN,MAHAN_ENERGEN,Kameng,ITCWIND,TESPL_BKN2,TPC_MSEB,JP_BINA,APL_Raigarh_TPP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,MAX_HPTL,OIDLWM2_AEROCITY,DTCP,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,BRPL,BLKMH,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,PUNJAB,HARYANA,BRPL,BRPL,BRPL,BRPL,TPDDL,BYPL,NDMC,NDMC,MES_Delhi,NDMC,NDMC,BYPL,TPDDL,NDMC,NDMC,NDMC,BYPL,TPDDL,BRPL,NDMC,BRPL,ABLWM1_AEROCITY,TPDDL,TPDDL,BRPL,BYPL,BRPL,BRPL,DIAPL,ABLWM1_AEROCITY,TPDDL,TPDDL,TPDDL,ITCLH,OIDLWM2_AEROCITY,BYPL,TPDDL,TPDDL,
,,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,East-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,West-North,West-North,North East-East-North,South-West-North,North-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.01,26.93,26.5,95.98,47.99,15.21,47.99,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,47.99,12.48,0,76.78,0,191.96,0.86,0,53.99,0,0,1420.31

2,00:15-00:30,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.01,26.93,26.5,95.98,47.99,15.21,47.99,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,47.99,12.48,0,76.78,0,191.96,0.86,0,53.99,0,0,1420.31

