Block,Time,LT-35,LT-36,LT-05,SH-07,L_NR_2012_04,L_NR_2019_11,L_NR_2020_02,LT-31,SH-06,LT-59,L_NR_2012_07,L_NR_2012_02,L_NR_2012_01,L_NR_2023_04,L_NR_2022_09,L_NR_2019_05,L_NR_2020_07,L_NR_2019_07,L_NR_2020_06,L_NR_2018_61,L_NR_2019_06,L_NR_2019_19,L_NR_2020_05,L_NR_2021_12,L_NR_2022_08,L_NR_2021_13,L_NR_2021_14,L_NR_2022_10,L_NR_2021_16,L_NR_2021_15,L_NR_2021_17
1,00:00-00:15,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,78.600000,261.940000,101.400000,24.200000,57.56,0,20.25,0,20.25,25.36,0,0,60.76,0,17.22,0,0,57.56,0,0,0

2,00:15-00:30,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,78.600000,261.940000,101.400000,25.170000,57.02,0,20.03,0,20.03,25.3,0,0,60.1,0,17.26,0,0,57.02,0,0,0

3,00:30-00:45,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,78.600000,261.940000,101.400000,26.140000,56.76,0,19.85,0,19.86,25.47,0,0,59.57,0,17.19,0,0,56.76,0,0,0

4,00:45-01:00,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,78.600000,261.940000,101.400000,26.140000,56.87,0,19.62,0,19.61,25.67,0,0,58.85,0,17.26,0,0,56.87,0,0,0

5,01:00-01:15,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,78.600000,261.940000,101.400000,25.170000,56.14,0,19.18,0,19.17,25.88,0,0,57.51,0,17.32,0,0,56.14,0,0,0

6,01:15-01:30,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,78.600000,261.940000,101.400000,25.170000,54.77,0,18.75,0,18.75,26.18,0,0,56.26,0,17.39,0,0,54.77,0,0,0

7,01:30-01:45,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,78.600000,261.940000,101.400000,25.170000,53.71,0,26.64,0,26.64,26.6,0,0,79.93,0,24.29,0,0,53.71,0,0,0

8,01:45-02:00,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,78.600000,261.940000,101.400000,25.170000,53.01,0,26.53,0,26.53,26.92,0,0,79.58,0,23.97,0,0,53.01,0,0,0

9,02:00-02:15,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,261.940000,101.400000,24.200000,52.61,0,26.21,0,26.22,27.39,0,0,78.65,0,23.78,0,0,52.61,0,0,0

10,02:15-02:30,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,261.940000,101.400000,24.200000,47.96,0,25.97,0,25.97,27.8,0,0,77.91,0,22.69,0,0,47.96,0,0,0

11,02:30-02:45,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,213.540000,101.400000,24.200000,46.89,0,25.28,0,25.3,27.93,0,0,75.89,0,22.2,0,0,46.89,0,0,0

12,02:45-03:00,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,201.700000,101.400000,24.200000,43.05,0,19.25,0,19.24,27.79,0,0,57.72,0,21.47,0,0,43.05,0,0,0

13,03:00-03:15,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,201.700000,101.400000,24.200000,39.31,0,18.9,0,18.89,27.98,0,0,56.68,0,16.55,0,0,39.31,0,0,0

14,03:15-03:30,0.000000,0.000000,107.650000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,201.700000,101.400000,24.200000,38.38,0,18.55,0,18.57,21.06,0,0,55.7,0,16.52,0,0,38.38,0,0,0

15,03:30-03:45,0.000000,0.000000,99.110000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,201.700000,101.400000,24.200000,38.04,0,18.2,0,18.21,20.66,0,0,54.62,0,16.36,0,0,38.04,0,0,0

16,03:45-04:00,0.000000,0.000000,70.630000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,201.700000,101.400000,23.230000,36.87,0,17.84,0,17.85,20.28,0,0,53.54,0,16.24,0,0,36.87,0,0,0

17,04:00-04:15,0.000000,0.000000,70.630000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,201.700000,101.400000,24.200000,33.84,0,17.45,0,17.46,20.06,0,0,52.38,0,16.08,0,0,33.84,0,0,0

